,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.9996,0.2817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-1,0.2838,-0.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.8872,0.0612999999999999,-0.6096,-0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,-1,0.3916,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-1,-1,0.5642,0.104,-0.1294,0.9376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,-1,0.1773,-1,-1,-0.8156,-1,0.2442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,-1,0.3226,0.024,-1,0.77,0.1766,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,-1,0.4354,0.0489999999999999,0.0875999999999999,-0.3416,0.5434,-0.4266,-0.2582,-0.5282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.9984,0.4368,-0.4642,-0.684,-1,0.7964,-0.444,-1,-0.1738,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-1,0.118,0.5065,-0.2028,0.1171,-1,0.3772,0.325,0.9251,0.6955,0.7025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.9988,-1,0.6204,-0.0396,-1,0.9714,-0.8136,-1,0.5614,-1,0.3208,0.9255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-1,-1,-0.339,-0.0466,0.3357,-1,0.1476,-0.3044,0.1344,0.4138,0.1914,0.5689,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-1,0.2857,-0.9544,0.1458,0.2879,-1,0.3374,-0.338,0.2972,-0.8324,-1,0.5016,-1,-0.2302,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.9556,-0.8866,0.2827,0.2763,0.0570999999999999,0.6844,-0.3742,0.168,0.1504,0.4482,0.445,0.1168,0.2378,-0.721,0.2802,NA,NA,NA,NA,NA,NA,NA,NA
17,0.9672,0.0566,-0.5564,0.2916,0.0601,0.6946,-0.3534,0.1743,0.1594,-0.3758,-0.1482,0.1169,0.2162,-0.7068,-0.7662,0.0544,NA,NA,NA,NA,NA,NA,NA
18,-1,-1,0.707,0.6012,0.2664,0.9998,0.2722,0.5268,0.959,0.2954,0.0105999999999999,0.9045,0.8818,0.0454000000000001,0.1534,-1,-1,NA,NA,NA,NA,NA,NA
19,0.9862,0.7225,-0.6948,-0.6398,-1,0.7072,0.3848,-1,0.6444,-1,0.5318,0.6806,0.9592,0.43,-1,0.7103,-1,0.4144,NA,NA,NA,NA,NA
20,0.9894,0.0563,-0.5178,0.2831,0.0581,0.7838,-0.251,0.1766,0.209,-0.3284,-0.1282,0.1168,0.3202,-0.6262,-0.7328,0.0593999999999999,-0.8814,0.1734,0.4168,NA,NA,NA,NA
21,0.9664,0.0571999999999999,-0.5358,0.2868,0.0616000000000001,0.7224,-0.3674,0.1748,0.1746,-0.3482,-0.157,0.1194,0.2308,-0.69,-0.7752,0.0572999999999999,-0.8852,0.1154,0.4032,-0.8852,NA,NA,NA
22,1,-1,0.1564,-0.0194,-1,0.9836,-0.7546,-1,0.5464,-0.8916,0.3626,0.9456,0.8916,0.3296,0.1458,-1,-1,-0.7966,0.672,-1,-1,NA,NA
23,1,-1,-0.4334,-0.024,0.3945,-1,-0.2502,0.0593999999999999,-0.51,-0.9162,-0.986,0.6288,0.0624,-0.2044,-1,-1,-1,0.0662,-0.6136,-1,-1,-0.5102,NA
