RCBC,site1,site2
0.9276,10,30
0.1452,10,29
-1,10,28
-1,10,27
-1,10,26
0.859,10,25
0.9902,10,24
0.319,10,23
0.8158,10,22
0.9866,10,21
0.0593999999999999,10,20
0.6934,10,19
-1,10,18
-1,10,17
-1,10,16
-1,10,15
1,10,14
0.7282,10,13
-1,10,12
-1,10,11
-0.7772,9,37
-0.5792,9,36
-0.6458,9,35
-0.9066,9,34
0.629,9,33
-0.9608,9,32
-0.6496,9,31
-0.4668,9,30
0.5054,9,29
-0.2428,9,28
-0.2304,9,27
-0.9272,9,26
-0.941,9,25
-0.7972,9,24
-0.2216,9,23
-0.72,9,22
-0.2092,9,21
-0.9692,9,20
-0.7132,9,19
-0.7466,9,18
-0.8416,9,17
-0.5898,9,16
-0.754,9,15
0.3044,9,14
-1,12,23
-0.7534,12,22
0.4625,12,21
-0.8372,12,20
-0.8774,12,19
-0.5606,12,18
-0.672,12,17
-0.7564,12,16
-0.7238,12,15
-1,12,14
-0.848,12,13
-0.3748,11,37
-1,11,36
-0.5062,11,35
-0.1392,11,34
-0.8666,11,33
-0.5488,11,32
-0.5136,11,31
-0.1824,11,30
-0.756,11,29
0.3462,11,28
0.2398,11,27
-0.7584,11,26
-0.1762,11,25
0.0716000000000001,11,24
-0.8066,11,23
-0.2718,11,22
0.2268,11,21
-0.5522,11,20
-0.6314,11,19
-0.448,11,18
-1,11,17
-0.739,11,16
-0.5352,11,15
-0.6258,11,14
-0.4292,11,13
-1,11,12
-1,10,37
-1,10,36
0.7054,10,35
0.923,10,34
-0.633,10,33
0.0986,10,32
0.6904,10,31
0.3068,14,20
0.5858,14,19
-1,14,18
-1,14,17
-1,14,16
-1,14,15
0.1361,13,37
-0.8456,13,36
0.0499000000000001,13,35
0.0940000000000001,13,34
-1,13,33
0.0469999999999999,13,32
0.0432999999999999,13,31
0.0900000000000001,13,30
-1,13,29
0.2624,13,28
0.1739,13,27
0.14,13,26
0.0887,13,25
-0.7368,13,24
-1,13,23
0.0952999999999999,13,22
0.258,13,21
0.0469999999999999,13,20
0.0498000000000001,13,19
-1,13,18
0.1395,13,17
0.0948,13,16
0.0912999999999999,13,15
-1,13,14
-0.6542,12,37
-0.9112,12,36
-0.8624,12,35
-0.7132,12,34
-1,12,33
-0.8292,12,32
0.0914999999999999,12,31
-0.732,12,30
-0.048,12,29
0.4657,12,28
0.3383,12,27
-0.6732,12,26
-0.725,12,25
-0.6482,12,24
-0.9162,16,22
-0.188,16,21
-0.8302,16,20
-0.9074,16,19
-0.3772,16,18
-0.7602,16,17
-0.8428,15,37
-0.8506,15,36
-0.8336,15,35
-0.8582,15,34
-0.0546,15,33
-0.8618,15,32
0.0943000000000001,15,31
-0.7878,15,30
0.3296,15,29
0.4623,15,28
0.3272,15,27
-0.874,15,26
-0.8982,15,25
-0.7698,15,24
-0.0842000000000001,15,23
-0.9132,15,22
-0.1184,15,21
-0.873,15,20
-0.8644,15,19
-0.3592,15,18
-0.7244,15,17
-1,15,16
0.2442,14,37
-1,14,36
0.6484,14,35
0.8522,14,34
0.7314,14,33
0.2914,14,32
0.6462,14,31
0.8468,14,30
0.4644,14,29
0.6692,14,28
0.5436,14,27
-1,14,26
0.5846,14,25
0.9814,14,24
-0.3426,14,23
0.6318,14,22
0.922,14,21
-0.3174,18,28
-0.3628,18,27
-0.3202,18,26
-0.354,18,25
-0.2898,18,24
-0.955,18,23
-0.3872,18,22
-0.7818,18,21
-0.5972,18,20
-0.708,18,19
-0.8984,17,37
-0.8024,17,36
-0.8384,17,35
-0.7072,17,34
-1,17,33
-0.7718,17,32
-0.8708,17,31
-0.7234,17,30
0.0214000000000001,17,29
-0.098,17,28
0.4576,17,27
-0.9764,17,26
-0.7174,17,25
-0.563,17,24
-1,17,23
-0.7716,17,22
-0.0556,17,21
-0.7682,17,20
-0.9208,17,19
-0.5482,17,18
-0.8566,16,37
-0.8956,16,36
-0.8566,16,35
-0.8322,16,34
-1,16,33
-0.8412,16,32
0.0952,16,31
-0.8646,16,30
0.3026,16,29
0.464,16,28
0.3337,16,27
-0.8894,16,26
-0.8444,16,25
-0.7572,16,24
-0.3286,16,23
0.5826,2,10
-1,2,9
-0.901,2,8
-1,2,7
-1,2,6
-1,2,5
-0.9094,2,4
-0.9138,2,3
