,711_S-1-S,711_S-1-M,711_S-2-M,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-3-S,713_S-1-S,713_S-1-M,713_S-1-X0,713_S-2-S,713_S-2-M,713_S-2-D,713_S-3-S,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S2_1-5,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,715_S1_1-5,715_S3_20-24,715_S3_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S3_10-14,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5
711_S-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,0.261969015578781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-M,0.261969015578781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-3-M,0.261969015578781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-S,-0.523293035817267,0.872275174313543,0.872275174313543,0.872275174313543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-M,-1.11400118943459,1.0902554427144,1.0902554427144,1.0902554427144,-1.38590382276076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-D,0.571230717737447,1.39625188634189,1.39625188634189,1.39625188634189,0.0872287610402318,-0.516859364852709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-X,0.261969015578781,NA,NA,NA,0.872275174313543,1.0902554427144,1.39625188634189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-D,-0.523423812964315,0.731902295911152,0.731902295911152,0.731902295911152,-1.09664175020789,-1.28626153822726,-1.14152926173284,0.731902295911152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,-0.838692329903863,0.848757413739159,0.848757413739159,0.848757413739159,0.902214489104501,-1.26640794263276,0.311082805930628,0.848757413739159,-0.708295016755647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-1.64466505891966,0.595128939040555,0.595128939040555,0.595128939040555,-1.03502150568541,-1.23148336044421,0.28868582708753,0.595128939040555,-1.32759402665725,-1.58739724962984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,-0.588715406027401,0.524505424430601,0.524505424430601,0.524505424430601,-0.879916006908985,-1.20174220305345,-0.235741754815591,0.524505424430601,-1.37534967145027,-1.0537647377917,-1.21045604009871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-0.332441781802831,0.524505424430602,0.524505424430602,0.524505424430602,-1.26809056555318,-0.990418526091229,0.481725295707441,0.524505424430602,-1.16415341617023,-1.34294748568835,-1.06793087490968,0.524505424430602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,-0.531628484329184,0.732025026873438,0.732025026873438,0.732025026873438,-1.06959011636682,-0.569713713316237,0.501037213463038,0.732025026873438,-0.920547784216751,-0.677733100540023,-0.971109491913176,0.497510498272638,0.0575581290578852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,0.664329244160636,0.472755271155428,0.472755271155428,0.472755271155428,0.557805706652254,0.722656398285731,1.46720987955092,0.472755271155428,-0.981200811241849,0.972062470741998,0.902131450433997,0.689353031919319,0.601524306185308,1.27331332963911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,0.664329244160636,0.472755271155428,0.472755271155428,0.472755271155428,0.557805706652254,0.722656398285731,1.46720987955092,0.472755271155428,-0.984901405238043,0.972062470741998,0.902131450433997,0.69598137211786,0.597608249090645,1.27331332963911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,-0.615416030758338,1.40324410270742,1.40324410270742,1.40324410270742,0.0456684397610139,-0.125710586326098,-0.792483420960738,1.40324410270742,0.286698382514307,-0.296149740080118,-1.2559180589377,-1.54834335768963,-1.40801100176146,0.776575185714138,1.39440035027196,1.37561676645341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,-0.520497050386492,0.622869583090733,0.622869583090733,0.622869583090733,-0.948619437561792,-0.0942624166386467,-0.658470637597832,0.622869583090733,-1.11058239812763,-0.59766813818225,-0.536036549192897,-1.08427319730151,-1.67445450112475,-0.940252370653443,-0.807026670913547,-0.831361313822983,0.818857326785436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_5-9,0.261969015578781,NA,NA,NA,0.872275174313543,1.0902554427144,1.39625188634189,NA,0.731902295911152,0.848757413739159,0.595128939040555,0.524505424430601,0.524505424430602,0.732025026873438,0.472755271155428,0.472755271155428,1.40324410270742,0.622869583090733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_10-14,0.261969015578781,NA,NA,NA,0.872275174313543,1.0902554427144,1.39625188634189,NA,0.731902295911152,0.848757413739159,0.595128939040555,0.524505424430601,0.524505424430602,0.732025026873438,0.472755271155428,0.472755271155428,1.40324410270742,0.622869583090733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_1-5,0.318480817073511,0.428206233464156,0.428206233464156,0.428206233464156,0.682535344229847,0.740005273383767,-0.339625516730273,0.428206233464156,0.338529487019431,1.29256232608173,-0.854161703618599,-1.04815430970314,-1.56029693182403,1.2781309064361,-0.567737465242053,-0.601495881191915,1.14415440003377,-0.981409776503445,0.428206233464156,0.428206233464156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_20-24,0.808666283098794,-2.89447047849613,-2.89447047849613,-2.89447047849613,2.12154751138534,1.19390184324269,-0.837086576080297,-2.89447047849613,0.329708881980002,1.28022496609001,0.727396545597414,0.163670898061524,0.780589176564226,0.978401927969442,-0.490728751976617,-0.37035143024336,0.732338395467322,0.525650437916511,-2.89447047849613,-2.89447047849613,0.764675445914321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
