RCBC,site1,site2
0.8046,1,57
1,1,56
1,1,55
1,1,54
1,1,53
1,1,52
1,1,51
1,1,50
1,1,49
0.9812,1,48
1,1,47
1,1,46
1,1,45
1,1,44
1,1,43
-1,1,42
1,1,41
1,1,40
1,1,39
0.9994,1,38
1,1,37
1,1,36
1,1,35
1,1,34
1,1,33
0.9998,1,32
1,1,31
1,1,30
1,1,29
1,1,28
1,1,27
0.9874,1,26
1,1,25
1,1,24
1,1,23
1,1,22
1,1,21
1,1,20
1,1,19
1,1,18
1,1,17
1,1,16
1,1,15
1,1,14
-0.9428,1,13
1,1,12
1,1,11
1,1,10
1,1,9
0.9986,1,8
0.1244,1,7
1,1,6
1,1,5
1,1,4
1,1,3
1,1,2
1,10,61
-0.969,10,60
-0.986,10,59
-1,10,58
1,10,57
-1,10,56
-1,10,55
-1,10,54
-1,10,53
0.6778,10,52
-0.9938,10,51
-1,10,50
-1,10,49
1,10,48
-1,10,47
-1,10,46
-1,10,45
-1,10,44
0.9962,10,43
1,10,42
-1,10,41
-1,10,40
0.9254,10,39
1,10,38
-0.999,10,37
-1,10,36
-1,10,35
-1,10,34
-0.4338,10,33
1,10,32
-1,10,31
-1,10,30
-1,10,29
-1,10,28
0.121,10,27
1,10,26
-1,10,25
-1,10,24
-1,10,23
1,10,22
-0.7008,10,21
-0.6644,10,20
-0.9916,10,19
-1,10,18
0.6362,10,17
1,10,16
-1,10,15
-1,10,14
1,10,13
-1,10,12
-1,10,11
-0.3042,9,74
0.0629999999999999,9,73
1,9,72
0.65,9,71
-0.269,9,70
-0.891,11,54
-0.4216,11,53
-0.1154,11,52
0.25,11,51
-0.6028,11,50
-0.9998,11,49
1,11,48
-0.429,11,47
-0.2504,11,46
-0.9686,11,45
-0.2732,11,44
0.9908,11,43
1,11,42
-0.3602,11,41
-0.9998,11,40
0.9676,11,39
1,11,38
0.255,11,37
0.23,11,36
-0.0672,11,35
-0.9896,11,34
-1,11,33
1,11,32
-0.2984,11,31
-0.9224,11,30
-0.9996,11,29
-0.5496,11,28
-0.7864,11,27
1,11,26
-1,11,25
0.166,11,24
-0.8754,11,23
1,11,22
0.0089999999999999,11,21
-0.8264,11,20
0.2794,11,19
-0.9812,11,18
0.9256,11,17
1,11,16
-0.8598,11,15
-0.9368,11,14
1,11,13
0.7478,11,12
-1,10,74
-1,10,73
1,10,72
-1,10,71
-0.9262,10,70
-1,10,69
1,10,68
-1,10,67
-0.9862,10,66
0.8752,10,65
-0.9778,10,64
-0.691,10,63
-0.537,10,62
1,12,48
-0.6972,12,47
-0.731,12,46
-1,12,45
0.787,12,44
0.9486,12,43
1,12,42
-1,12,41
-0.9996,12,40
0.8554,12,39
1,12,38
-0.6398,12,37
-0.8056,12,36
-0.084,12,35
0.3428,12,34
-1,12,33
1,12,32
-0.9978,12,31
-0.5256,12,30
-0.4356,12,29
0.214,12,28
-0.659,12,27
1,12,26
-0.9994,12,25
0.1304,12,24
0.0593999999999999,12,23
1,12,22
-0.9824,12,21
-0.9998,12,20
-0.2036,12,19
-0.5938,12,18
0.7758,12,17
1,12,16
-1,12,15
-1,12,14
1,12,13
-1,11,74
-0.897,11,73
1,11,72
0.3032,11,71
-0.7608,11,70
-1,11,69
1,11,68
-0.9726,11,67
0.2208,11,66
0.7472,11,65
0.1024,11,64
0.4918,11,63
0.7048,11,62
1,11,61
-0.0208,11,60
-0.0222,11,59
-0.8858,11,58
1,11,57
0.215,11,56
-0.444,11,55
1,13,43
-0.987,13,42
1,13,41
1,13,40
1,13,39
0.966,13,38
1,13,37
1,13,36
1,13,35
1,13,34
1,13,33
0.9742,13,32
1,13,31
1,13,30
1,13,29
1,13,28
1,13,27
0.4282,13,26
1,13,25
1,13,24
1,13,23
1,13,22
1,13,21
1,13,20
1,13,19
1,13,18
1,13,17
0.9876,13,16
1,13,15
1,13,14
-0.6068,12,74
0.3086,12,73
1,12,72
-0.779,12,71
-0.8296,12,70
-1,12,69
1,12,68
-0.4754,12,67
-0.0639999999999999,12,66
0.7498,12,65
