,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,0.1314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,-0.2328,0.6456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,0.7572,0.8376,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,0.0247999999999999,-0.2792,0.291,0.4418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.1244,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.9986,1,1,1,1,1,-0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,-0.5354,0.5776,0.4772,0.593,0.7886,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,-0.7612,-0.9604,-1,-1,-1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,0.6724,-0.1966,-0.5092,0.6714,-0.8862,1,1,0.0742,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,0.813,-0.9708,0.1538,0.5048,-0.1688,1,1,0.725,-1,0.7478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-0.9428,1,1,1,1,1,0.2384,0.6322,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,-0.5446,-0.5538,0.5812,0.2852,-0.9816,1,1,0.558,-1,-0.9368,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,-0.3932,-0.4678,0.59,0.3166,-0.925,1,1,0.6234,-1,-0.8598,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,1,1,1,1,-0.1308,0.4436,1,1,1,1,0.9876,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,0.5268,0.7664,0.0791999999999999,0.5928,0.1174,1,1,0.12,0.6362,0.9256,0.7758,1,-0.2664,-0.2662,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,-0.913,-0.8478,0.3674,-0.0284,-0.6064,1,1,-0.1784,-1,-0.9812,-0.5938,1,-0.0656,-0.0142,1,-0.5746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,0.869,-0.4996,-0.4302,-0.1026,-0.9076,1,1,0.7852,-0.9916,0.2794,-0.2036,1,-0.9606,-0.9482,1,0.8044,-0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,-0.8938,-1,-0.9804,-0.9494,-1,1,1,-0.9322,-0.6644,-0.8264,-0.9998,1,-1,-1,1,-0.1772,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,0.5332,-0.3518,0.8906,0.916,0.0529999999999999,1,1,0.8352,-0.7008,0.0089999999999999,-0.9824,1,-0.3924,-0.3174,1,0.7666,-0.0714,0.1274,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,1,1,1,1,-0.8996,0.9882,1,1,1,1,1,1,1,0.9662,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,-0.8932,0.2782,-0.2792,-0.3972,0.0176000000000001,1,1,-0.8914,-1,-0.8754,0.0593999999999999,1,0.0711999999999999,0.177,1,-0.3478,-0.3616,-0.2768,-0.9996,0.5524,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,-0.131,0.7798,-0.9938,-0.9942,0.323,1,1,0.3858,-1,0.166,0.1304,1,0.1886,0.2398,1,0.123,-0.2032,0.00819999999999999,-0.9998,0.8122,1,-0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,0.0995999999999999,-0.8704,-1,-1,-1,1,1,-0.9814,-1,-1,-0.9994,1,-1,-1,1,0.4942,-1,-0.9968,-0.9956,-0.5886,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.9874,1,1,1,1,1,0.6558,0.68,1,1,1,1,0.4282,1,1,0.5998,1,1,1,1,1,0.8932,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,-0.9884,-0.8924,-0.9138,-0.9782,-0.991,1,1,-0.662,0.121,-0.7864,-0.659,1,-0.9324,-0.9426,1,-0.2774,-0.983,-0.957,0.0107999999999999,-0.5644,1,-0.9468,-0.8512,-0.7402,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,-0.5548,-0.505,0.0653999999999999,0.6164,-0.387,1,1,-0.5988,-1,-0.5496,0.214,1,-0.6932,-0.5958,1,0.29,-1,0.1846,-1,0.0194000000000001,1,-0.7658,-0.03,-1,1,-0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,-0.9602,-0.6074,-0.566,-1,-0.6986,1,1,0.184,-1,-0.9996,-0.4356,1,-0.033,-0.00139999999999996,1,-0.198,-0.6408,-0.985,-1,0.4716,1,-0.5296,-0.9968,-1,1,-0.9784,-0.8644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,-0.438,-0.7906,0.214,0.2376,-0.856,1,1,0.3888,-1,-0.9224,-0.5256,1,-0.6724,-0.6148,1,-0.0584,-0.9546,-1,-1,0.0336000000000001,1,-0.3128,0.2642,-1,1,-0.9876,-0.9188,-0.8926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,0.6078,-0.8218,0.3856,0.728,-0.817,1,1,0.834,-1,-0.2984,-0.9978,1,-1,-1,1,0.5696,-0.7682,-0.5806,-1,-0.6084,1,0.2862,0.6038,-1,1,-0.953,0.00239999999999996,-0.7784,-0.8772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.9998,1,1,1,1,1,0.6062,-0.9138,1,1,1,1,0.9742,1,1,-0.2686,1,1,1,1,1,0.977,1,1,1,0.8566,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,-1,-1,-1,-1,-1,1,1,-1,-0.4338,-1,-1,1,-1,-1,1,-1,-1,-1,-0.7888,-0.9822,1,-1,-1,-0.999,1,-0.9982,-1,-1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,-0.9176,0.0356000000000001,-0.2924,-0.1654,-0.2596,1,1,-0.4856,-1,-0.9896,0.3428,1,-0.276,-0.1378,1,-0.0964,-0.7196,-0.6508,-1,0.6204,1,-0.9946,-0.3994,-1,1,-0.9108,-0.9186,-0.6666,-0.7446,0.3026,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,0.2622,0.2634,-1,-1,-0.7374,1,1,-0.5268,-1,-0.0672,-0.084,1,-0.9842,-0.9754,1,0.3598,-1,-0.5106,-0.9896,0.6322,1,-1,-1,-1,1,-0.8732,-0.5718,-1,-0.8868,-0.171,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,0.365,-0.0162,-1,-0.9262,-0.9428,1,1,-0.4612,-1,0.23,-0.8056,1,-1,-1,1,0.4386,-1,-0.1528,-0.9986,-0.1856,1,-0.9994,-0.999,-1,1,-0.3414,-0.9466,-1,-0.997,-0.5674,1,-0.994,-1,-0.9996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,-0.814,-0.1056,-1,-0.91,-0.8336,1,1,-1,-0.999,0.255,-0.6398,1,-1,-1,1,0.0978000000000001,-1,0.2848,-0.9998,-0.3878,1,-1,-1,-0.9758,1,-0.28,-1,-1,-0.9892,-0.562,1,-0.9524,-1,-0.9968,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.9994,1,1,1,1,1,0.7158,0.9034,1,1,1,1,0.966,1,1,0.4478,1,1,1,1,1,0.9912,1,1,1,0.9392,1,1,1,1,1,0.812,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,0.9008,0.579,0.389,0.6848,0.4522,1,1,0.539,0.9254,0.9676,0.8554,1,0.7214,0.7122,1,-0.688,0.4716,0.777,0.5418,0.4842,0.9994,0.685,0.7786,0.6426,0.9994,0.03,0.808,0.6034,0.4908,0.8218,0.9994,-0.2748,0.6448,0.8584,0.8334,0.7868,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,-0.7,-0.9392,0.4676,0.3532,-0.6464,1,1,-0.2676,-1,-0.9998,-0.9996,1,-0.4132,-0.3368,1,-0.00439999999999996,-0.4856,-0.9952,-1,-0.0776,1,-0.5206,0.197,-1,1,-0.9916,-0.9978,-0.1998,-0.9394,-0.9618,1,-1,-0.6898,-0.9256,-0.9982,-0.973,1,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,0.5922,-0.6914,0.2468,0.5284,-0.4616,1,1,0.6892,-1,-0.3602,-1,1,-1,-1,1,0.5166,-0.5946,-0.2308,-1,-0.9398,1,0.0744,0.5026,-1,1,-0.7788,-0.195,-0.58,-0.6096,-0.9804,1,-1,0.215,-0.29,-0.9898,-0.9666,1,0.7292,-0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,1,1,1,1,1,0.9996,-0.7426,1,1,1,1,-0.987,1,1,0.8334,1,1,1,1,1,0.9882,1,1,1,-0.9986,1,1,1,1,1,0.9582,1,1,1,1,1,0.8768,0.999,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,0.999,0.4148,0.5958,0.6474,0.292,1,1,0.9126,0.9962,0.9908,0.9486,1,0.378,0.4298,1,0.9992,-0.00380000000000003,0.4662,0.999,0.9916,1,0.7102,0.954,0.9072,1,0.9552,0.9918,0.5488,0.24,0.8586,1,0.9982,0.5948,0.8986,0.98,0.9952,1,0.9906,0.6692,0.9702,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,0.353,0.338,0.0509999999999999,0.7578,-0.5038,1,1,0.3142,-1,-0.2732,0.787,1,-0.6396,-0.4976,1,0.2084,-0.5666,0.014,-1,0.6854,1,-0.615,0.474,-0.9996,1,-1,-0.001,-0.3494,-0.5044,0.2982,1,-1,-0.826,0.0266,0.3968,0.202,1,0.2002,-0.7648,0.4484,1,-0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,-0.9946,-0.8532,0.2148,-0.1946,-0.855,1,1,-0.2012,-1,-0.9686,-1,1,-0.6564,-0.6282,1,-0.556,-0.59,-0.603,-1,-0.408,1,-0.837,-0.3596,-1,1,-0.9584,-0.8926,-0.6414,-0.6912,-0.9934,1,-1,-0.8458,-1,-1,-1,1,0.3806,-0.876,-0.9818,1,0.7246,-0.7492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,-0.412,-0.6666,0.2386,0.4304,-0.2794,1,1,-0.187,-1,-0.2504,-0.731,1,-0.4792,-0.365,1,0.3462,-0.8972,-0.8802,-1,0.0926,1,-0.4932,0.1218,-1,1,-0.9752,-0.8944,-0.721,-0.9306,-0.246,1,-1,-0.6092,-0.5786,-0.7958,-0.5664,1,0.784,-1,-0.2978,1,0.7578,0.0571999999999999,-0.8258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,0.384,-0.8352,0.2626,0.6156,-0.7436,1,1,0.4266,-1,-0.429,-0.6972,1,-0.8746,-0.779,1,0.7366,-0.9576,-0.545,-1,-0.8146,1,-0.274,0.6028,-0.9998,1,-0.9014,-0.4906,-0.9738,-0.9706,-0.7758,1,-1,-0.3346,-0.1582,-0.6452,-0.447,1,0.8334,-1,-0.9186,1,0.891,0.4584,-0.999,-0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.9812,1,1,1,1,1,0.9998,-0.814,1,1,1,1,0.8828,1,1,-0.893,1,1,1,1,1,0.7768,1,1,1,-0.5404,1,1,1,1,1,-0.991,1,1,1,1,1,-0.9586,0.9888,1,1,0.9984,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
