,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
711_S-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,0.753853904746118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-D,1.8865304624165,0.459570155510428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-M,-0.459083748392956,-0.601178026370264,-0.10161202079306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-D,-1.77569471384219,-1.43842129322414,-0.997144423063567,-0.265879859161764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-3-M,0.0303238422392181,-0.298094436540007,-0.503334208936253,-0.194735923745383,0.4698157448351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-S,0.853649970588407,0.790236108765276,0.878082367691465,-0.0306924455047842,-0.846264487990731,-0.107226118404706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-M,0.165840793433223,1.50914915719621,0.697488559381941,-0.152396756839658,-0.982291216882106,0.680750435119453,0.429577544594569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-D,0.547529974263711,-0.493482922991728,-0.13019641609563,-0.493363815674963,-0.209812534931892,-0.685857287354913,-0.0362379578557647,2.95227501946101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-X,-1.23014843300417,-0.650906911361496,0.45655338575781,1.34802450905952,0.557009817453328,-0.607350567859021,-1.05262055648423,-0.878025387273696,-1.05375307192391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-D,-0.254387381900723,-0.350878135980492,0.247822104293046,-0.0506625909063611,-0.1724297246559,0.601279715860832,0.223824835116446,1.65126707775511,2.82901093479971,0.528149501481225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-X,0.568585147016826,2.11893730902728,1.19331050903703,1.21157053630614,3.14530671067312,1.31170507107609,-0.507150114028264,-0.378093214291804,0.28243246973998,1.49624301212183,2.63271793207707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,-0.819266948448639,-1.47040888254264,-1.23572964855599,-1.21225305837151,-1.71062111841668,-1.27674434533181,-0.841098424446811,-1.06669404711208,-0.909410266057381,-1.36033210621555,-1.1857644523855,-1.49175986243208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-D,-0.0408554908442297,0.711959238658526,0.0494063867234321,1.32206481467817,1.61181457205902,-0.305658772748388,-0.188925047038121,0.0674949994661117,1.76596080485498,-0.233747780937057,0.517244132001832,-0.862031131422613,-1.41469562672288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-X,-0.0630531081400432,1.08696526609065,0.316299776883897,2.0634555303713,1.91920778965351,-0.579609387369092,-0.235678062262752,-0.275949677435698,2.67450370790472,0.256883529063484,0.928433532837101,-0.0185453296162178,-1.44083326367451,1.56155964767522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-0.717951126697082,0.391783833373652,1.14605929619376,-0.757061634098111,-1.01468142159629,0.00420811098563521,-0.5487689475555,-0.235924575747066,0.314964249138421,-0.621621174581533,0.181938563191665,0.432373459910447,-1.02272959266545,0.927583808473895,0.605447729350197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,0.659682685057931,2.88775225020237,0.764402523070552,-0.746350030583302,-0.553581381698382,-0.581531892200197,-0.759626217783371,0.589980119560183,-0.388704302565137,-1.22355606815121,1.22937455944829,-0.524551339376521,-0.725103276400255,-0.215591523560642,-0.374175628897246,-0.0135187978724488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,-0.703220736803352,0.459491465050175,0.474091218586481,-0.225061934896012,0.890069680036487,-0.771985903037775,-0.60044440409136,0.742531219262918,-0.897927772641022,-0.714612586478879,1.0713895756036,-1.17588940698831,-1.5093563941326,-0.104025292889231,-0.528117196904237,1.01333937457388,1.11967996422519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-0.929149576924851,-1.06737174009024,-0.329120390255469,-0.535046876381076,1.48259376663176,-1.21613227566457,-0.525589952099204,-0.148862162398302,-1.57578110272914,-0.389373406644972,-0.0492225032498689,1.31173372548091,-1.60125521795812,1.24333392262923,1.24804722901838,-0.117502437509177,-0.544589278782426,-1.75814123876559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,0.708407610190354,2.03371285032944,1.43206795684501,1.76017723585168,0.999049538056077,1.12132625057439,0.608869946310008,0.338450071358256,1.11617700850545,1.08789449777977,1.188256922283,-0.933625101231332,-0.206041568111035,0.193447838451053,0.223589818284651,0.565327880998695,0.0111059915899007,-1.33777647742259,2.01867353161839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,-0.76619650900729,1.66311969089691,0.65649322503274,0.038356605859848,-0.96352702646909,0.133922352281883,-0.136487763892076,1.76491094312011,3.22755073202005,-0.688201287307115,2.77027214107183,-0.495151556393161,-1.31429831320602,-0.422822343612021,-0.494319657503154,1.686544334298,0.794228450085317,1.92546211906071,0.161607410991606,0.380607955561322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,-0.473529308459665,0.0560244310474715,-0.235364780654981,-0.446296892148515,-0.789588957212005,-0.522768265082669,-0.428963255463616,0.5673511932636,-0.725755378757738,-1.07345669168581,1.09539638202526,0.814545076883531,-1.04207511522916,1.37721492395588,2.71325108240972,-0.0792738244170186,0.112333989705989,-0.816793067016919,-1.32464145068925,1.05184552258608,1.18076865400338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,-0.542827721034082,-0.0603350586528005,-0.0191707227348018,1.40521375796039,-0.396071682984696,-0.452985908709519,0.33276742793979,1.18110221898015,0.833058651154702,0.622839668613154,0.332589106896225,0.339215885623241,-1.21282247603004,0.70763342769429,2.59599193789929,0.349605220713738,0.344053895048952,-0.705155906628772,-1.07021866030957,0.63191960134571,1.67106577801959,0.21250488851311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,-1.55400483630289,-0.566331442983839,0.364211828569848,0.68693264532307,1.0780163118505,0.281818357127721,-0.359273906780044,-0.968394272244045,0.81811236071866,0.731594197141167,0.398883852688494,2.15795171493602,-1.68866302044013,0.799878309735608,1.85661483788843,-0.740485935762605,0.298343692603489,-0.0497295889022284,1.07220093440418,1.02837727403811,-1.02320280324087,-0.370624453914757,-0.30784176223482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,-0.529834599841362,-0.714215715985271,-0.306202668229285,-0.686690835758491,-0.696774793377237,-0.504713530089901,1.24423498943426,-0.044096916584846,-0.0136096880491156,-0.0986465626705899,-0.0569472395583978,0.0466110016225081,-1.65819244417903,-0.340845535462653,-0.418386500988652,-0.545480672655002,0.660627810960743,-0.607945477355902,-0.441872065575595,0.343414556965831,-0.638564439968267,-0.397307446197075,-0.268384380815145,-0.82071394515332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,-0.571927297128974,-0.980316954480435,-0.383267394226756,-1.0175832676394,-0.995117221206062,-0.437328634779185,0.613054910877896,1.4666531360927,-0.982793559420937,-0.553311857749907,-0.712650174103025,0.0402698034021202,-1.41676175655848,0.467249281249122,0.190409208677539,-0.170713597784815,0.788919012641907,0.598175667493626,-0.41499371495034,0.261689441286094,2.03146768521081,-1.01539762042585,-0.629802397446679,-0.767346864008565,0.04852243324417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
