RCBC,site1,site2
0.7318,1,47
1,1,46
-1,1,45
-1,1,44
1,1,43
0.6746,1,42
0.9022,1,41
0.9998,1,40
1,1,39
0.9648,1,38
0.9984,1,37
0.9998,1,36
1,1,35
0.879,1,34
-1,1,33
0.992,1,32
0.9244,1,31
1,1,30
0.9218,1,29
0.9954,1,28
0.9276,1,27
1,1,26
1,1,25
0.745,1,24
-1,1,23
-1,1,22
1,1,21
0.9296,1,20
0.9442,1,19
0.9736,1,18
1,1,17
1,1,16
-1,1,15
0.9894,1,14
1,1,13
0.8014,1,12
0.993,1,11
-1,1,10
0.9998,1,9
0.9992,1,8
1,1,7
0.9296,1,6
0.4778,1,5
-1,1,4
0.9928,1,3
1,1,2
-1,10,22
-1,10,21
-0.839,10,20
-0.8564,10,19
-0.8096,10,18
-1,10,17
-1,10,16
-0.9984,10,15
-0.8006,10,14
-1,10,13
-0.8868,10,12
-1,10,11
-1,9,65
0.9266,9,64
-0.7526,9,63
-1,9,62
-0.313,9,61
0.9994,9,60
-0.2508,9,59
0.5726,9,58
-0.7884,9,57
-0.7722,9,56
0.6184,9,55
0.9506,9,54
-1,9,53
-1,9,52
-1,9,51
0.989,9,50
-0.3918,9,49
-0.9504,9,48
-0.1058,9,47
0.93,9,46
-1,9,45
-0.6378,9,44
0.5714,9,43
-0.2066,9,42
-1,9,41
0.0964,9,40
0.7272,9,39
0.8576,9,38
-1,9,37
-0.7316,9,36
0.9872,9,35
0.054,9,34
-1,9,33
-0.9866,9,32
-0.05,11,14
0.8162,11,13
-0.245,11,12
-0.777,10,65
-1,10,64
-0.953,10,63
-0.7232,10,62
-0.7454,10,61
-1,10,60
-0.8934,10,59
-1,10,58
-0.8388,10,57
-0.7884,10,56
-0.0706,10,55
0.3112,10,54
-0.7732,10,53
-0.7424,10,52
-0.754,10,51
-1,10,50
-0.9978,10,49
-0.9698,10,48
-0.856,10,47
0.3236,10,46
-0.9108,10,45
-0.8876,10,44
-1,10,43
-0.8928,10,42
-0.7206,10,41
-1,10,40
-1,10,39
-1,10,38
-0.8618,10,37
-1,10,36
-1,10,35
-0.864,10,34
-1,10,33
-1,10,32
-1,10,31
-1,10,30
-0.7052,10,29
-0.7594,10,28
-0.8292,10,27
-1,10,26
-1,10,25
-0.907,10,24
-1,10,23
0.9332,11,60
-0.4766,11,59
0.2456,11,58
-0.834,11,57
0.1502,11,56
0.6658,11,55
0.8108,11,54
-1,11,53
0.1206,11,52
-1,11,51
0.9274,11,50
-0.8924,11,49
-0.9742,11,48
-0.3576,11,47
0.6208,11,46
-1,11,45
-0.4628,11,44
-0.747,11,43
-0.4346,11,42
-1,11,41
-0.9864,11,40
0.2112,11,39
0.8546,11,38
-0.1114,11,37
-0.8248,11,36
-1,11,35
-0.0728,11,34
-1,11,33
-0.8962,11,32
-0.7326,11,31
-1,11,30
-1,11,29
-1,11,28
-1,11,27
-0.2612,11,26
-0.8212,11,25
-0.2916,11,24
-1,11,23
-1,11,22
0.3798,11,21
0.0589999999999999,11,20
-1,11,19
-0.2098,11,18
-0.7194,11,17
0.1238,11,16
-1,11,15
-1,12,53
-1,12,52
0.0633999999999999,12,51
-1,12,50
-1,12,49
-1,12,48
0.0203,12,47
-0.099,12,46
-0.9248,12,45
-1,12,44
-1,12,43
0.0186999999999999,12,42
-0.9228,12,41
-1,12,40
-1,12,39
-1,12,38
-1,12,37
-1,12,36
-1,12,35
-0.9588,12,34
-0.952,12,33
-1,12,32
-1,12,31
-1,12,30
-0.8232,12,29
-1,12,28
-1,12,27
-1,12,26
-1,12,25
-0.9578,12,24
-1,12,23
-1,12,22
-1,12,21
-0.9546,12,20
-1,12,19
-1,12,18
-1,12,17
-1,12,16
-1,12,15
-1,12,14
-1,12,13
-1,11,65
0.1912,11,64
-0.4014,11,63
-0.3972,11,62
0.0482,11,61
0.5648,13,47
0.9998,13,46
-1,13,45
-1,13,44
0.999,13,43
0.4552,13,42
-1,13,41
0.9246,13,40
1,13,39
0.9908,13,38
0.4784,13,37
0.9588,13,36
1,13,35
0.7248,13,34
-1,13,33
0.1638,13,32
0.7322,13,31
0.9996,13,30
-1,13,29
-1,13,28
-1,13,27
0.9964,13,26
0.9958,13,25
0.5898,13,24
-1,13,23
-1,13,22
0.9968,13,21
0.8134,13,20
-1,13,19
0.5426,13,18
0.9976,13,17
1,13,16
-1,13,15
-1,13,14
0.0608,12,65
-1,12,64
-1,12,63
-1,12,62
-1,12,61
-1,12,60
0.0229999999999999,12,59
-1,12,58
0.0208999999999999,12,57
-1,12,56
-1,12,55
-1,12,54
-0.9018,14,42
-1,14,41
-1,14,40
-1,14,39
0.3074,14,38
-0.773,14,37
-0.8222,14,36
-1,14,35
-0.881,14,34
-1,14,33
-0.6192,14,32
-0.3998,14,31
-1,14,30
-0.8698,14,29
-0.9098,14,28
-0.7876,14,27
-0.5,14,26
-1,14,25
-0.9248,14,24
-0.7656,14,23
-0.768,14,22
-1,14,21
-0.8662,14,20
-0.7772,14,19
-0.96,14,18
-1,14,17
-1,14,16
-1,14,15
-1,13,65
0.9978,13,64
-1,13,63
-1,13,62
0.1464,13,61
1,13,60
0.3748,13,59
0.9968,13,58
-0.4956,13,57
-1,13,56
0.998,13,55
0.8452,13,54
-1,13,53
-1,13,52
-1,13,51
0.999,13,50
-1,13,49
-1,13,48
-1,15,38
-0.891,15,37
-1,15,36
-1,15,35
-0.9292,15,34
-1,15,33
-1,15,32
-1,15,31
-1,15,30
-0.9372,15,29
-1,15,28
-1,15,27
-1,15,26
-1,15,25
-0.958,15,24
-1,15,23
-1,15,22
-1,15,21
-0.9124,15,20
-0.9028,15,19
-0.8866,15,18
-1,15,17
-1,15,16
-0.9988,14,65
-1,14,64
-0.6256,14,63
-0.9294,14,62
-0.9798,14,61
