RCBC,site1,site2
1,1,47
0.9918,1,46
0.8256,1,45
0.62,1,44
1,1,43
1,1,42
0.9984,1,41
1,1,40
0.816,1,39
-1,1,38
-1,1,37
0.868,1,36
-0.3768,1,35
-1,1,34
-1,1,33
0.9612,1,32
1,1,31
1,1,30
1,1,29
0.9792,1,28
0.9998,1,27
1,1,26
1,1,25
0.3446,1,24
0.1188,1,23
0.9752,1,22
1,1,21
-0.7334,1,20
-0.3298,1,19
-0.8408,1,18
1,1,17
0.5306,1,16
1,1,15
1,1,14
-0.6118,1,13
0.2988,1,12
0.9596,1,11
-0.0996,1,10
1,1,9
0.8274,1,8
0.9452,1,7
0.999,1,6
0.4384,1,5
0.5688,1,4
0.9994,1,3
0.9802,1,2
0.6784,10,21
-0.7736,10,20
-0.6532,10,19
-0.7216,10,18
1,10,17
0.1262,10,16
0.9136,10,15
0.919,10,14
-0.6626,10,13
-0.4032,10,12
-0.8756,10,11
1,9,60
1,9,59
1,9,58
1,9,57
1,9,56
1,9,55
1,9,54
1,9,53
-1,9,52
1,9,51
1,9,50
0.9938,9,49
-1,9,48
1,9,47
-1,9,46
1,9,45
-1,9,44
1,9,43
1,9,42
1,9,41
1,9,40
-1,9,39
-1,9,38
-1,9,37
-1,9,36
-1,9,35
-1,9,34
-1,9,33
-1,9,32
1,9,31
1,9,30
1,9,29
1,9,28
1,9,27
1,9,26
-0.7214,11,18
1,11,17
0.9656,11,16
0.9998,11,15
0.9986,11,14
-0.9434,11,13
-0.5318,11,12
1,10,60
0.7128,10,59
0.359,10,58
0.9642,10,57
0.2666,10,56
0.6786,10,55
1,10,54
0.773,10,53
0.0298,10,52
0.9454,10,51
0.7744,10,50
0.312,10,49
0.3554,10,48
0.7516,10,47
0.5936,10,46
-0.5352,10,45
0.596,10,44
1,10,43
0.829,10,42
0.1138,10,41
0.6334,10,40
-0.885,10,39
-1,10,38
-1,10,37
-0.4204,10,36
-0.9822,10,35
-0.9576,10,34
-0.991,10,33
0.5324,10,32
0.8388,10,31
0.8248,10,30
0.9762,10,29
-0.1068,10,28
0.964,10,27
0.971,10,26
0.9916,10,25
0.1108,10,24
-0.3872,10,23
-0.3684,10,22
0.8608,12,16
0.8106,12,15
-1,12,14
-0.8756,12,13
1,11,60
0.996,11,59
0.504,11,58
0.9846,11,57
0.8762,11,56
0.9,11,55
1,11,54
0.9748,11,53
-0.8574,11,52
0.9868,11,51
0.977,11,50
0.6244,11,49
-0.7276,11,48
0.9118,11,47
0.6516,11,46
0.1524,11,45
-0.0776,11,44
1,11,43
1,11,42
0.857,11,41
0.9912,11,40
0.2984,11,39
-1,11,38
-1,11,37
-0.9212,11,36
-0.939,11,35
-0.7866,11,34
-0.8928,11,33
0.5284,11,32
0.8098,11,31
0.818,11,30
1,11,29
0.7878,11,28
0.8558,11,27
0.9284,11,26
0.9998,11,25
0.9804,11,24
0.8892,11,23
0.2526,11,22
0.6612,11,21
-0.6722,11,20
-0.19,11,19
0.6788,13,15
-1,13,14
-1,12,60
-0.6448,12,59
0.8286,12,58
0.8502,12,57
0.0706,12,56
0.6838,12,55
-1,12,54
-0.1624,12,53
0.002,12,52
-1,12,51
0.8378,12,50
0.195,12,49
0.3134,12,48
0.4478,12,47
-0.173,12,46
-0.3316,12,45
-0.3104,12,44
-1,12,43
-1,12,42
0.4728,12,41
-0.0702,12,40
-0.6624,12,39
-1,12,38
-1,12,37
0.1454,12,36
-0.4714,12,35
-0.3608,12,34
0.1744,12,33
0.4404,12,32
0.9718,12,31
0.9156,12,30
-1,12,29
-0.641,12,28
0.8974,12,27
0.759,12,26
0.489,12,25
-0.9018,12,24
0.2882,12,23
-0.4338,12,22
0.7882,12,21
-0.7448,12,20
-0.4546,12,19
-0.6274,12,18
-1,12,17
0.9776,14,15
-1,13,60
-1,13,59
-0.2924,13,58
0.3056,13,57
-0.7676,13,56
-1,13,55
-1,13,54
-1,13,53
-0.167,13,52
-1,13,51
0.1512,13,50
-0.6318,13,49
-0.1806,13,48
-0.0602,13,47
-0.7192,13,46
-0.9958,13,45
-0.6784,13,44
-1,13,43
-1,13,42
-0.916,13,41
-1,13,40
-0.7712,13,39
-0.9304,13,38
-0.9742,13,37
0.0691999999999999,13,36
-0.6316,13,35
-0.616,13,34
0.0780000000000001,13,33
0.4822,13,32
0.5556,13,31
-0.2236,13,30
0.6656,13,29
-0.8788,13,28
0.5188,13,27
0.6178,13,26
-1,13,25
-0.2872,13,24
0.1954,13,23
-0.7264,13,22
0.0680000000000001,13,21
-0.6778,13,20
-0.707,13,19
-0.6946,13,18
-1,13,17
-0.4014,13,16
0.9996,15,16
1,14,60
0.9736,14,59
0.9064,14,58
1,14,57
0.9468,14,56
1,14,55
1,14,54
1,14,53
-1,14,52
1,14,51
0.8878,14,50
0.5788,14,49
-1,14,48
0.9906,14,47
-1,14,46
0.8318,14,45
-1,14,44
1,14,43
1,14,42
