RCBC,site1,site2
0.0158,11,19
0.016,11,18
0.0152000000000001,11,17
0.0155000000000001,11,16
0.0145999999999999,11,15
0.0174000000000001,11,14
0.0161,11,13
0.0454000000000001,11,12
0.0622,10,47
0.1895,10,46
-0.9228,10,45
-0.4484,10,44
0.3116,10,43
-1,10,42
0.2346,10,41
-0.0548,10,40
0.969,10,39
0.8576,10,38
0.123,10,37
0.0653999999999999,10,36
-0.9162,10,35
-1,10,34
0.0641,10,33
-0.3584,10,32
-0.0268,10,31
0.2391,10,30
-0.8472,10,29
-0.7768,10,28
-0.9206,10,27
-0.7664,10,26
-0.6816,10,25
-0.9236,10,24
0.0644,10,23
-0.9364,10,22
-0.9612,10,21
0.0641,10,20
0.0649999999999999,10,19
0.0693999999999999,10,18
0.0628,10,17
0.0660000000000001,10,16
-0.9632,10,15
-0.9586,10,14
0.0616000000000001,10,13
0.1849,10,12
0.0646,10,11
0.0835999999999999,9,47
-0.6786,9,46
0.3482,12,31
-0.9294,12,30
-0.9084,12,29
-0.9152,12,28
0.2165,12,27
-0.8242,12,26
-0.9068,12,25
0.0467,12,24
-0.9382,12,23
0.0468,12,22
0.0485,12,21
-0.9308,12,20
-0.955,12,19
-0.957,12,18
-0.9602,12,17
-0.9584,12,16
0.0476000000000001,12,15
0.0486,12,14
0.0488,12,13
0.0170999999999999,11,47
0.0528999999999999,11,46
0.0152000000000001,11,45
-1,11,44
-1,11,43
-1,11,42
0.0662,11,41
-1,11,40
-1,11,39
-1,11,38
0.0327,11,37
0.0173000000000001,11,36
0.0143,11,35
-1,11,34
0.0186999999999999,11,33
-1,11,32
-1,11,31
0.0665,11,30
0.0346,11,29
0.0801000000000001,11,28
-1,11,27
-1,11,26
0.0669999999999999,11,25
0.0169999999999999,11,24
0.0172000000000001,11,23
0.0166999999999999,11,22
0.0182,11,21
0.0142,11,20
0.3212,13,44
-1,13,43
-1,13,42
0.0601,13,41
0.4911,13,40
-1,13,39
-1,13,38
0.0327999999999999,13,37
0.0157,13,36
0.0158,13,35
-1,13,34
0.0154000000000001,13,33
0.3703,13,32
0.5025,13,31
0.0673999999999999,13,30
0.0343,13,29
0.0754999999999999,13,28
0.0775999999999999,13,27
0.1419,13,26
0.0665,13,25
0.014,13,24
0.0174000000000001,13,23
0.0150999999999999,13,22
0.016,13,21
0.0155000000000001,13,20
0.0166999999999999,13,19
0.0162,13,18
0.0145999999999999,13,17
0.0166999999999999,13,16
0.0150999999999999,13,15
0.0153000000000001,13,14
0.0483,12,47
-0.9406,12,46
0.0465,12,45
-0.0962,12,44
-1,12,43
-1,12,42
-0.8026,12,41
-1,12,40
-1,12,39
-1,12,38
-0.8968,12,37
-0.9478,12,36
0.048,12,35
-1,12,34
-0.9628,12,33
0.0533999999999999,12,32
0.1429,15,26
0.0684,15,25
0.0164,15,24
0.0159,15,23
-0.9656,15,22
-0.9636,15,21
0.0154000000000001,15,20
0.0170999999999999,15,19
0.0157,15,18
0.0142,15,17
0.0157,15,16
0.0154000000000001,14,47
0.0463,14,46
0.0163,14,45
-1,14,44
-1,14,43
-1,14,42
0.0632999999999999,14,41
-1,14,40
-1,14,39
0.4868,14,38
0.0302,14,37
0.0168999999999999,14,36
-0.9642,14,35
-1,14,34
0.0147999999999999,14,33
-1,14,32
-1,14,31
0.0644,14,30
-0.9502,14,29
-0.8874,14,28
-1,14,27
-1,14,26
0.0623,14,25
0.0139,14,24
0.0165,14,23
0.0158,14,22
0.0157,14,21
0.014,14,20
0.0141,14,19
0.0179,14,18
0.0154000000000001,14,17
0.0164,14,16
0.0150999999999999,14,15
0.0154000000000001,13,47
0.048,13,46
0.0147999999999999,13,45
-1,16,42
0.0689,16,41
-1,16,40
-1,16,39
-1,16,38
0.0301,16,37
0.0165,16,36
0.0148999999999999,16,35
-1,16,34
0.0155000000000001,16,33
0.3666,16,32
0.4868,16,31
-0.9098,16,30
-1,16,29
-1,16,28
0.0792999999999999,16,27
-1,16,26
-0.9086,16,25
0.0157,16,24
0.0176000000000001,16,23
0.0153000000000001,16,22
0.0147999999999999,16,21
0.0177,16,20
0.0163,16,19
-0.967,16,18
-0.9742,16,17
0.0179,15,47
0.0503,15,46
0.0165,15,45
0.3169,15,44
-1,15,43
-1,15,42
0.0647,15,41
0.4774,15,40
0.9442,15,39
0.8585,15,38
0.0311999999999999,15,37
0.0145,15,36
0.0182,15,35
-1,15,34
0.0154000000000001,15,33
0.3728,15,32
0.4915,15,31
0.0691999999999999,15,30
0.0291999999999999,15,29
0.0802,15,28
0.0787,15,27
-1,18,30
-1,18,29
-1,18,28
0.0752999999999999,18,27
-1,18,26
-1,18,25
0.0147999999999999,18,24
0.0150999999999999,18,23
0.016,18,22
0.0155000000000001,18,21
0.0158,18,20
0.0163,18,19
0.0175000000000001,17,47
-0.9192,17,46
0.0192000000000001,17,45
0.305,17,44
-1,17,43
-1,17,42
0.0659000000000001,17,41
-1,17,40
-1,17,39
-1,17,38
0.0348999999999999,17,37
0.0154000000000001,17,36
0.0184,17,35
-1,17,34
0.0149999999999999,17,33
0.3731,17,32
0.493,17,31
-0.9096,17,30
-1,17,29
-1,17,28
0.0798000000000001,17,27
-1,17,26
-0.9092,17,25
0.0150999999999999,17,24
0.0173000000000001,17,23
0.0158,17,22
0.0156000000000001,17,21
0.0153000000000001,17,20
0.0167999999999999,17,19
-0.97,17,18
0.0173000000000001,16,47
-0.9182,16,46
0.0182,16,45
0.3147,16,44
-1,16,43
0.1539,2,3
0.0672999999999999,1,47
-0.9714,1,46
