RCBC,site1,site2
0.1316,1,47
0.6402,1,46
-0.2234,1,45
-0.6692,1,44
0.293,1,43
0.3092,1,42
-0.665,1,41
0.6204,1,40
0.7794,1,39
-1,1,38
-0.1232,1,37
0.7192,1,36
-0.4034,1,35
0.0266,1,34
-0.7786,1,33
-0.6408,1,32
-0.5142,1,31
-0.46,1,30
-0.1736,1,29
0.2542,1,28
-0.4884,1,27
-0.1164,1,26
-0.2958,1,25
-0.3746,1,24
-1,1,23
-0.335,1,22
0.00740000000000007,1,21
0.1808,1,20
-1,1,19
-1,1,18
0.45,1,17
-1,1,16
-0.3536,1,15
0.8426,1,14
-0.3434,1,13
0.757,1,12
0.6356,1,11
0.0334000000000001,1,10
0.0993999999999999,1,9
-0.3588,1,8
-0.7036,1,7
0.862,1,6
-1,1,5
-0.0125999999999999,1,4
0.52,1,3
0.5984,1,2
0.9758,10,21
0.889,10,20
0.9774,10,19
0.971,10,18
0.9054,10,17
-1,10,16
0.8218,10,15
0.9588,10,14
0.8634,10,13
0.9942,10,12
0.4252,10,11
-0.9836,9,60
0.0975999999999999,9,59
0.2868,9,58
0.3378,9,57
0.9446,9,56
-0.691,9,55
-0.9828,9,54
-0.8036,9,53
0.7016,9,52
-0.9932,9,51
-0.9978,9,50
0.5592,9,49
0.0232000000000001,9,48
0.3182,9,47
0.8312,9,46
0.3936,9,45
0.1852,9,44
-0.9556,9,43
-1,9,42
-0.0764,9,41
-0.8088,9,40
-1,9,39
0.9896,9,38
0.442,9,37
0.956,9,36
0.9996,9,35
0.8936,9,34
-1,9,33
-1,9,32
-0.167,9,31
-0.0562,9,30
-0.9998,9,29
-0.2612,9,28
-0.2386,9,27
-0.983,9,26
0.7246,11,18
-0.1342,11,17
-1,11,16
-1,11,15
0.2748,11,14
0.4146,11,13
0.5708,11,12
0.5832,10,60
0.9236,10,59
0.0686,10,58
0.1,10,57
0.6876,10,56
-0.4396,10,55
0.8312,10,54
0.8782,10,53
-0.0728,10,52
0.8102,10,51
0.8366,10,50
0.9496,10,49
-0.224,10,48
0.2072,10,47
0.1406,10,46
-0.3256,10,45
0.00239999999999996,10,44
0.8052,10,43
0.6264,10,42
-1,10,41
0.8672,10,40
0.9866,10,39
0.6244,10,38
0.507,10,37
0.466,10,36
-0.9696,10,35
