RCBC,site1,site2
-0.2896,1,47
-0.535,1,46
-0.5352,1,45
0.155,1,44
0.0484,1,43
-0.1484,1,42
-0.0942,1,41
-0.2178,1,40
-0.3958,1,39
-0.5786,1,38
-0.6614,1,37
-0.0548,1,36
-0.4212,1,35
-0.5336,1,34
-0.6416,1,33
0.7234,1,32
0.8026,1,31
-1,1,30
-0.4882,1,29
-0.732,1,28
0.8812,1,27
-0.3894,1,26
-0.2484,1,25
-0.5524,1,24
-0.7334,1,23
0.6638,1,22
-1,1,21
-0.831,1,20
-0.6698,1,19
-0.5872,1,18
-0.383,1,17
-0.7452,1,16
0.5194,1,15
-0.3916,1,14
-0.5292,1,13
-0.6476,1,12
-0.0212,1,11
-0.5724,1,10
-0.4356,1,9
-0.6692,1,8
-0.4126,1,7
-0.5308,1,6
-0.3896,1,5
-0.6918,1,4
-0.1144,1,3
-0.6,1,2
-1,10,21
-1,10,20
-0.9564,10,19
-0.911,10,18
-0.5534,10,17
-0.1218,10,16
0.4356,10,15
-0.9698,10,14
-0.5828,10,13
-0.947,10,12
0.1268,10,11
-0.7814,9,60
-0.9666,9,59
-0.5794,9,58
-0.6782,9,57
-0.9206,9,56
-0.973,9,55
-0.784,9,54
-0.999,9,53
0.3083,9,52
-0.8996,9,51
-0.9268,9,50
-0.9766,9,49
-0.3928,9,48
-0.8354,9,47
-0.9958,9,46
-1,9,45
0.3002,9,44
-0.7992,9,43
-0.97,9,42
-0.9924,9,41
-0.9886,9,40
-0.3084,9,39
-0.3452,9,38
-0.1626,9,37
-0.1746,9,36
-0.1034,9,35
-0.311,9,34
-0.5308,9,33
-1,9,32
-1,9,31
-1,9,30
-1,9,29
-0.9714,9,28
-1,9,27
-0.0732,9,26
0.00439999999999996,11,18
-0.0532,11,17
0.3026,11,16
0.5262,11,15
0.1838,11,14
0.2664,11,13
-0.0962,11,12
0.2482,10,60
-0.5558,10,59
-0.6198,10,58
0.44,10,57
-0.7256,10,56
-0.7442,10,55
0.2794,10,54
-0.3684,10,53
0.3129,10,52
-0.2196,10,51
-0.1058,10,50
-0.3882,10,49
-0.3784,10,48
0.1476,10,47
-0.6934,10,46
-0.9386,10,45
0.3086,10,44
0.2336,10,43
-0.3278,10,42
-0.4018,10,41
-0.3428,10,40
-0.353,10,39
-0.575,10,38
-0.2412,10,37
-1,10,36
-0.9124,10,35
-0.9712,10,34
-0.8436,10,33
-1,10,32
-1,10,31
-1,10,30
-0.3118,10,29
-0.6452,10,28
-1,10,27
-0.2758,10,26
-0.1304,10,25
-0.4716,10,24
0.3002,10,23
-1,10,22
-0.0742,12,16
0.561,12,15
-0.8708,12,14
-0.896,12,13
0.3652,11,60
0.243,11,59
-0.00480000000000003,11,58
-0.0578,11,57
0.3876,11,56
0.00619999999999998,11,55
0.2064,11,54
0.1044,11,53
0.4801,11,52
-0.111,11,51
0.3698,11,50
0.0942000000000001,11,49
0.0374000000000001,11,48
-0.3094,11,47
-0.0184,11,46
0.2538,11,45
0.4808,11,44
-0.2848,11,43
-0.0478,11,42
0.0840000000000001,11,41
0.0968,11,40
0.401,11,39
-0.3394,11,38
0.465,11,37
-0.2318,11,36
-0.2058,11,35
-0.2294,11,34
0.115,11,33
-1,11,32
0.7378,11,31
0.817,11,30
-0.013,11,29
-0.222,11,28
0.6566,11,27
0.7454,11,26
0.2276,11,25
-0.27,11,24
0.4756,11,23
0.4048,11,22
0.4452,11,21
-0.2238,11,20
-0.0746,11,19
0.8528,13,15
-0.4396,13,14
0.3368,12,60
-0.8522,12,59
-0.8794,12,58
0.2534,12,57
-0.7434,12,56
-0.867,12,55
0.1822,12,54
-0.4976,12,53
0.3725,12,52
-0.6624,12,51
-0.2058,12,50
-0.5652,12,49
-0.2836,12,48
-0.1558,12,47
-0.884,12,46
-0.935,12,45
-0.584,12,44
0.0938000000000001,12,43
-0.3842,12,42
-0.4638,12,41
-0.4666,12,40
-0.7074,12,39
-0.7716,12,38
-0.8872,12,37
-0.573,12,36
-0.7226,12,35
-0.851,12,34
-0.9952,12,33
0.8004,12,32
0.7374,12,31
0.7956,12,30
-0.3032,12,29
-0.7526,12,28
0.8508,12,27
-0.4238,12,26
-0.2828,12,25
-0.452,12,24
0.3721,12,23
0.553,12,22
0.6198,12,21
-0.942,12,20
-0.9168,12,19
-0.9806,12,18
-0.8198,12,17
0.2778,14,15
0.7612,13,60
-0.367,13,59
-0.802,13,58
0.5806,13,57
0.0136000000000001,13,56
-0.585,13,55
0.5684,13,54
-0.0846,13,53
-0.5716,13,52
-0.0144,13,51
0.1076,13,50
-0.2498,13,49
-0.2604,13,48
0.2356,13,47
-0.4966,13,46
-0.6136,13,45
-0.4612,13,44
0.4372,13,43
-0.076,13,42
-0.142,13,41
-0.197,13,40
-0.3888,13,39
-0.6206,13,38
-0.8294,13,37
0.1838,13,36
-0.3658,13,35
-0.599,13,34
-0.9526,13,33
0.8654,13,32
0.8704,13,31
0.9278,13,30
0.0411999999999999,13,29
-0.4146,13,28
0.8976,13,27
0.3068,13,26
0.1716,13,25
-0.011,13,24
0.3681,13,23
0.698,13,22
0.8292,13,21
-0.8462,13,20
-0.5696,13,19
-0.769,13,18
-0.16,13,17
-0.00480000000000003,13,16
0.5127,15,16
-0.7672,14,60
-0.8432,14,59
-0.4284,14,58
-0.1204,14,57
-0.91,14,56
-0.972,14,55
-0.6104,14,54
-0.9796,14,53
0.3611,14,52
-0.6966,14,51
-0.6442,14,50
-0.7754,14,49
-0.222,14,48
-0.364,14,47
-0.8478,14,46
-0.9756,14,45
0.3686,14,44
-0.5432,14,43
-0.6926,14,42
-1,14,41
-0.6968,14,40
-0.123,14,39
-0.502,14,38
0.0494000000000001,14,37
-0.537,14,36
-0.547,14,35
-0.8098,14,34
-0.7212,14,33
-1,14,32
