RCBC,site1,site2
0.4526,1,57
0.6708,1,56
-0.4864,1,55
0.446,1,54
0.445,1,53
-0.407,1,52
0.2591,1,51
0.2532,1,50
0.4492,1,49
-0.0916,1,48
-0.6936,1,47
0.4722,1,46
0.9394,1,45
0.9598,1,44
0.8398,1,43
0.7111,1,42
0.7358,1,41
0.5212,1,40
0.8458,1,39
-0.2082,1,38
0.2565,1,37
0.2545,1,36
0.2488,1,35
0.2609,1,34
-0.0396,1,33
-0.187,1,32
0.2557,1,31
0.253,1,30
-0.5106,1,29
-0.4912,1,28
-0.1824,1,27
0.4566,1,26
0.2622,1,25
0.453,1,24
0.7598,1,23
0.9868,1,22
0.9668,1,21
0.634,1,20
0.8474,1,19
-0.5272,1,18
0.0489999999999999,1,17
-0.0702,1,16
0.9197,1,15
0.6696,1,14
0.831,1,13
0.4484,1,12
0.7792,1,11
0.6992,1,10
0.7948,1,9
-0.1806,1,8
0.5026,1,7
0.8866,1,6
0.9922,1,5
-0.3568,1,4
-0.001,1,3
0.0669999999999999,1,2
-0.627,10,61
0.6039,10,60
0.3795,10,59
0.6108,10,58
0.1306,10,57
-0.181,10,56
-0.3654,10,55
0.6087,10,54
-0.1908,10,53
-0.609,10,52
0.3736,10,51
-0.7002,10,50
0.6064,10,49
0.4278,10,48
-0.6902,10,47
-0.1616,10,46
0.983,10,45
0.8526,10,44
0.9929,10,43
-0.4026,10,42
0.5024,10,41
-0.7248,10,40
0.7852,10,39
0.0666,10,38
0.3677,10,37
0.38,10,36
0.3715,10,35
0.3787,10,34
-0.0178,10,33
0.0736000000000001,10,32
0.3685,10,31
0.3774,10,30
-0.3444,10,29
-0.3442,10,28
-0.5382,10,27
0.0291999999999999,10,26
0.3728,10,25
0.607,10,24
0.7562,10,23
0.938,10,22
0.9948,10,21
0.9515,10,20
0.9502,10,19
-0.3346,10,18
0.375,10,17
0.7543,10,16
0.909,10,15
0.7814,10,14
0.7912,10,13
-0.1196,10,12
0.9186,10,11
-0.9206,9,74
0.7461,9,73
0.4836,9,72
0.5235,9,71
0.2489,9,70
-0.3796,11,54
0.3761,11,53
-0.0182,11,52
0.2076,11,51
0.2114,11,50
0.3771,11,49
-0.712,11,48
0.2039,11,47
0.7042,11,46
-0.968,11,45
0.7292,11,44
-0.5508,11,43
-0.0484,11,42
0.4436,11,41
0.796,11,40
0.7136,11,39
-0.3026,11,38
0.2103,11,37
0.2084,11,36
0.212,11,35
-0.8688,11,34
0.364,11,33
0.3811,11,32
0.2098,11,31
0.2088,11,30
-0.6252,11,29
0.2113,11,28
0.3818,11,27
-0.3564,11,26
-0.7992,11,25
0.3801,11,24
-0.7622,11,23
0.5102,11,22
0.5246,11,21
0.768,11,20
-0.8006,11,19
-0.3246,11,18
-0.01,11,17
-0.2718,11,16
-0.4792,11,15
-0.2616,11,14
-0.23,11,13
-0.3828,11,12
0.7653,10,74
0.9895,10,73
0.0544,10,72
0.145,10,71
-1,10,70
-0.849,10,69
0.7284,10,68
-0.5068,10,67
0.1978,10,66
-0.5582,10,65
0.622,10,64
-0.2568,10,63
0.7607,10,62
0.1991,12,48
0.0561,12,47
0.3707,12,46
-0.6118,12,45
0.6159,12,44
0.4462,12,43
-0.7228,12,42
-1,12,41
-0.2364,12,40
-0.2074,12,39
0.1111,12,38
0.0539000000000001,12,37
0.0570999999999999,12,36
-0.9334,12,35
0.056,12,34
0.3369,12,33
0.1088,12,32
0.0562,12,31
0.0561,12,30
0.0517000000000001,12,29
0.0531999999999999,12,28
0.1078,12,27
0.1082,12,26
0.056,12,25
-0.8912,12,24
-0.4828,12,23
-0.1254,12,22
0.114,12,21
0.2989,12,20
-0.6962,12,19
0.2053,12,18
0.1585,12,17
0.1571,12,16
-0.8252,12,15
-0.1966,12,14
-0.2794,12,13
-0.75,11,74
0.8974,11,73
0.9208,11,72
0.7043,11,71
0.3777,11,70
0.8655,11,69
0.9114,11,68
