RCBC,site1,site2
0.404,1,47
-0.2162,1,46
-1,1,45
-0.013,1,44
0.3782,1,43
0.2156,1,42
0.5262,1,41
0.0349999999999999,1,40
0.2049,1,39
0.3856,1,38
-0.3736,1,37
-0.3646,1,36
0.2087,1,35
-1,1,34
-0.2652,1,33
0.4566,1,32
0.9754,1,31
0.9872,1,30
0.5458,1,29
-0.97,1,28
0.9406,1,27
-1,1,26
0.2165,1,25
0.2087,1,24
0.2071,1,23
-0.5884,1,22
-1,1,21
-0.3758,1,20
0.2067,1,19
0.2122,1,18
0.4296,1,17
0.3886,1,16
0.7993,1,15
0.0327999999999999,1,14
-0.3576,1,13
-0.6254,1,12
-1,1,11
0.2144,1,10
-0.6398,1,9
-0.4656,1,8
0.3885,1,7
-0.0407999999999999,1,6
-0.9558,1,5
-0.427,1,4
0.3707,1,3
-0.9242,1,2
-1,10,11
-0.2102,9,56
-0.1824,9,55
-0.036,9,54
0.929,9,53
0.8268,9,52
0.1622,9,51
-0.1028,9,50
-0.35,9,49
0.537,9,48
0.0524,9,47
-1,9,46
0.2196,9,45
-0.0881999999999999,9,44
0.126,9,43
-0.5844,9,42
0.2946,9,41
-0.5772,9,40
-0.0724,9,39
-1,9,38
-0.5636,9,37
-1,9,36
0.00340000000000007,9,35
-0.8218,9,34
-1,9,33
0.8724,9,32
0.6202,9,31
0.9684,9,30
0.5236,9,29
-0.5622,9,28
0.3552,9,27
0.7114,9,26
0.0356000000000001,9,25
-0.0622,9,24
0.0274000000000001,9,23
0.4782,9,22
-1,9,21
-1,9,20
-0.0928,9,19
0.0125999999999999,9,18
0.3848,9,17
0.3656,9,16
0.8956,9,15
0.0578000000000001,9,14
-1,9,13
-0.876,9,12
-1,11,12
-1,10,56
-0.8452,10,55
0.0719000000000001,10,54
-1,10,53
-0.2128,10,52
-0.5932,10,51
-1,10,50
-0.8628,10,49
-1,10,48
-1,10,47
-1,10,46
-1,10,45
-1,10,44
0.1405,10,43
0.0752999999999999,10,42
-1,10,41
-1,10,40
0.0736000000000001,10,39
-0.7622,10,38
-1,10,37
0.1391,10,36
0.0723,10,35
-1,10,34
-1,10,33
-1,10,32
-1,10,31
-1,10,30
-1,10,29
-0.2214,10,28
-1,10,27
-1,10,26
0.0779000000000001,10,25
-0.848,10,24
0.0725,10,23
0.6035,10,22
-1,10,21
-1,10,20
-0.8518,10,19
-0.8626,10,18
-1,10,17
0.143,10,16
0.3988,10,15
-1,10,14
0.2075,10,13
-0.5438,10,12
0.3508,12,15
-1,12,14
-0.9876,12,13
0.2378,11,56
0.0138,11,55
-0.000800000000000023,11,54
0.1588,11,53
-0.7974,11,52
-0.542,11,51
0.0458000000000001,11,50
0.0192000000000001,11,49
0.828,11,48
-0.313,11,47
-1,11,46
-0.3164,11,45
-1,11,44
-0.4374,11,43
0.0264,11,42
-0.5452,11,41
-1,11,40
0.0396000000000001,11,39
-1,11,38
-1,11,37
-1,11,36
0.018,11,35
0.0833999999999999,11,34
-1,11,33
-0.1416,11,32
0.7636,11,31
0.9916,11,30
-0.688,11,29
-0.936,11,28
0.7238,11,27
0.9998,11,26
0.0354000000000001,11,25
0.0105999999999999,11,24
0.0187999999999999,11,23
-0.3312,11,22
0.9996,11,21
-1,11,20
0.0376000000000001,11,19
0.0167999999999999,11,18
-0.9772,11,17
0.7726,11,16
0.6292,11,15
-0.9944,11,14
-1,11,13
0.2108,13,19
0.2088,13,18
-1,13,17
0.3862,13,16
-0.2402,13,15
-1,13,14
-0.5272,12,56
-0.658,12,55
-0.6278,12,54
0.3788,12,53
0.0529999999999999,12,52
-0.5084,12,51
-0.901,12,50
-0.6212,12,49
-1,12,48
-0.5332,12,47
-0.8884,12,46
-1,12,45
-0.8394,12,44
-0.5232,12,43
-0.8488,12,42
-0.6122,12,41
-0.75,12,40
-0.6988,12,39
-0.7656,12,38
-0.9532,12,37
-1,12,36
-0.5986,12,35
-1,12,34
-0.8378,12,33
-1,12,32
-1,12,31
-1,12,30
-0.1692,12,29
-0.8918,12,28
-1,12,27
-1,12,26
-0.5642,12,25
-0.68,12,24
-0.5708,12,23
-0.2712,12,22
-1,12,21
-0.6664,12,20
-0.6766,12,19
-0.6034,12,18
-0.6338,12,17
0.4818,12,16
-0.2238,14,24
-0.1482,14,23
0.4248,14,22
-1,14,21
-1,14,20
-0.2276,14,19
-0.1694,14,18
-0.999,14,17
0.1558,14,16
0.3006,14,15
-0.686,13,56
0.2074,13,55
-0.7422,13,54
0.0822000000000001,13,53
-0.2506,13,52
-0.6992,13,51
-1,13,50
0.2085,13,49
-1,13,48
-0.7034,13,47
-0.6244,13,46
-1,13,45
-0.8082,13,44
-0.8102,13,43
-0.9394,13,42
-1,13,41
-0.8802,13,40
-0.8162,13,39
-0.8268,13,38
-0.797,13,37
-0.9612,13,36
-0.7358,13,35
-1,13,34
-0.84,13,33
-1,13,32
-1,13,31
-1,13,30
-1,13,29
-0.6328,13,28
-1,13,27
-1,13,26
-0.7106,13,25
0.1967,13,24
-0.7012,13,23
-1,13,22
-1,13,21
-0.3774,13,20
0.9932,15,30
-0.705,15,29
0.93,15,28
0.8944,15,27
-1,15,26
-0.182,15,25
0.3892,15,24
-0.2164,15,23
0.8926,15,22
0.9988,15,21
0.649,15,20
0.4021,15,19
0.3986,15,18
-0.0944,15,17
-1,15,16
-0.9094,14,56
-0.3084,14,55
-0.1972,14,54
0.421,14,53
0.131,14,52
-0.641,14,51
-0.9168,14,50
-0.4192,14,49
-0.3288,14,48
-0.5196,14,47
-1,14,46
0.7,14,45
-0.9652,14,44
-0.6596,14,43
-0.584,14,42
-0.253,14,41
-1,14,40
-0.2264,14,39
-1,14,38
-1,14,37
-1,14,36
-0.1656,14,35
-0.9844,14,34
-1,14,33
0.8684,14,32
-1,14,31
0.2576,14,30
-0.9164,14,29
-0.0354,14,28
-0.091,14,27
0.9954,14,26
-0.1536,14,25
0.5688,16,37
0.2678,16,36
0.1424,16,35
0.8201,16,34
0.4962,16,33
-1,16,32
-1,16,31
-1,16,30
-0.3108,16,29
0.766,16,28
-1,16,27
-1,16,26
0.144,16,25
0.1446,16,24
0.1411,16,23
0.4672,16,22
0.9828,16,21
0.2647,16,20
0.1404,16,19
0.1373,16,18
-1,16,17
-0.5356,15,56
0.402,15,55
0.3851,15,54
-0.998,15,53
-0.8858,15,52
-0.832,15,51
-0.6178,15,50
0.4063,15,49
0.7154,15,48
0.5274,15,47
0.3512,15,46
0.9444,15,45
-0.3032,15,44
-0.6594,15,43
-0.307,15,42
-0.379,15,41
-0.1022,15,40
-0.2068,15,39
-0.2688,15,38
0.773,15,37
-0.2642,15,36
-0.1936,15,35
0.8414,15,34
0.2864,15,33
0.9484,15,32
0.9968,15,31
0.6794,17,45
-0.896,17,44
-0.7268,17,43
-0.7322,17,42
-0.69,17,41
-1,17,40
-0.2212,17,39
-1,17,38
-0.8402,17,37
-1,17,36
-0.1516,17,35
-0.9494,17,34
-1,17,33
0.9676,17,32
-1,17,31
-1,17,30
-0.9522,17,29
0.6224,17,28
-1,17,27
0.9938,17,26
-0.1238,17,25
-0.2162,17,24
-0.1172,17,23
0.543,17,22
0.8034,17,21
-1,17,20
-0.2154,17,19
-0.1334,17,18
-0.4446,16,56
0.1402,16,55
0.1408,16,54
-1,16,53
-0.012,16,52
0.3909,16,51
-0.1324,16,50
0.1412,16,49
0.7022,16,48
0.5676,16,47
