RCBC,site1,site2
0.9992,1,47
1,1,46
1,1,45
1,1,44
-1,1,43
1,1,42
1,1,41
1,1,40
1,1,39
-1,1,38
-1,1,37
0.9146,1,36
-1,1,35
-1,1,34
-1,1,33
-1,1,32
0.9752,1,31
0.979,1,30
0.9096,1,29
1,1,28
0.975,1,27
0.9824,1,26
0.9972,1,25
1,1,24
1,1,23
0.7192,1,22
0.9996,1,21
-1,1,20
0.9094,1,19
0.7748,1,18
1,1,17
1,1,16
1,1,15
1,1,14
0.9034,1,13
0.9998,1,12
0.885,1,11
0.6696,1,10
1,1,9
1,1,8
1,1,7
0.892,1,6
0.998,1,5
1,1,4
0.9814,1,3
1,1,2
-0.3436,10,30
-0.3264,10,29
-1,10,28
0.2414,10,27
0.8366,10,26
-0.3484,10,25
0.8614,10,24
0.9962,10,23
-0.0964,10,22
0.0780000000000001,10,21
-0.878,10,20
-1,10,19
-0.9352,10,18
0.4108,10,17
0.997,10,16
0.9952,10,15
0.5284,10,14
0.2678,10,13
0.3002,10,12
-0.9188,10,11
0.6984,9,59
0.9976,9,58
1,9,57
0.734,9,56
0.0762,9,55
0.1128,9,54
0.6846,9,53
0.9602,9,52
1,9,51
0.2918,9,50
0.0326,9,49
0.6966,9,48
0.9338,9,47
0.7708,9,46
0.0884,9,45
0.9666,9,44
-1,9,43
0.486,9,42
0.9222,9,41
0.995,9,40
0.8858,9,39
-1,9,38
-1,9,37
0.6614,9,36
-1,9,35
0.7614,9,34
-0.0562,11,28
-0.5106,11,27
0.204,11,26
0.3582,11,25
0.4626,11,24
0.7632,11,23
-0.586,11,22
-1,11,21
-0.9232,11,20
-0.853,11,19
-0.9456,11,18
-1,11,17
-1,11,16
0.7848,11,15
-1,11,14
-1,11,13
-0.1862,11,12
0.5744,10,59
-1,10,58
-1,10,57
-1,10,56
-1,10,55
-1,10,54
0.1934,10,53
-1,10,52
0.9986,10,51
-0.1102,10,50
-0.1184,10,49
0.4712,10,48
0.7096,10,47
-0.2078,10,46
-0.167,10,45
0.3292,10,44
0.808,10,43
0.4584,10,42
-0.476,10,41
0.4774,10,40
-1,10,39
-0.7718,10,38
-1,10,37
-0.6642,10,36
-0.868,10,35
-0.1534,10,34
-1,10,33
-0.1374,10,32
0.0304,10,31
-0.0402,12,27
0.7526,12,26
0.9668,12,25
0.9958,12,24
1,12,23
-0.4808,12,22
0.2612,12,21
-0.7998,12,20
-0.4816,12,19
-0.2078,12,18
0.5918,12,17
0.9998,12,16
0.9988,12,15
0.6916,12,14
-0.4598,12,13
-1,11,59
-1,11,58
-1,11,57
-1,11,56
-1,11,55
-1,11,54
-1,11,53
-1,11,52
0.9588,11,51
-0.052,11,50
-1,11,49
-1,11,48
0.0688,11,47
-1,11,46
-1,11,45
-1,11,44
0.4634,11,43
-1,11,42
-1,11,41
-1,11,40
-1,11,39
-0.8994,11,38
-0.8294,11,37
-0.8566,11,36
-0.7806,11,35
0.2212,11,34
0.1539,11,33
-0.5812,11,32
-0.5966,11,31
-1,11,30
0.0833999999999999,11,29
-0.6194,13,27
0.6172,13,26
0.9894,13,25
1,13,24
0.995,13,23
-0.7762,13,22
-0.701,13,21
-0.8232,13,20
-0.2222,13,19
-0.7862,13,18
0.8522,13,17
-1,13,16
0.8928,13,15
0.852,13,14
0.86,12,59
0.9154,12,58
1,12,57
0.6134,12,56
0.7166,12,55
0.9366,12,54
0.9732,12,53
0.8834,12,52
0.9996,12,51
0.4712,12,50
0.7138,12,49
0.8148,12,48
0.8864,12,47
0.7152,12,46
-0.1396,12,45
-0.4128,12,44
-0.3088,12,43
0.379,12,42
0.3466,12,41
0.9384,12,40
-0.0876,12,39
-0.8484,12,38
-1,12,37
-0.3414,12,36
-0.4576,12,35
0.2578,12,34
0.2182,12,33
-0.4998,12,32
-0.2826,12,31
-0.305,12,30
0.7718,12,29
-0.0901999999999999,12,28
0.814,14,28
-0.704,14,27
0.4182,14,26
0.6966,14,25
1,14,24
1,14,23
-0.6694,14,22
-0.9606,14,21
-1,14,20
-0.1016,14,19
-0.5056,14,18
-0.99,14,17
0.9992,14,16
1,14,15
0.8456,13,59
0.9994,13,58
1,13,57
0.9612,13,56
0.9786,13,55
0.4872,13,54
0.966,13,53
0.9988,13,52
0.9888,13,51
0.902,13,50
0.5746,13,49
0.917,13,48
-0.1068,13,47
0.7494,13,46
0.0536000000000001,13,45
0.0649999999999999,13,44
-0.7438,13,43
0.708,13,42
0.705,13,41
0.9896,13,40
0.7066,13,39
-1,13,38
-1,13,37
-0.1592,13,36
-0.5692,13,35
0.1918,13,34
0.3964,13,33
-0.7434,13,32
-0.5916,13,31
-0.8992,13,30
0.816,13,29
0.933,13,28
0.9234,15,30
1,15,29
1,15,28
0.9664,15,27
0.9376,15,26
1,15,25
1,15,24
1,15,23
0.7732,15,22
0.8664,15,21
0.962,15,20
0.9994,15,19
0.9986,15,18
1,15,17
-1,15,16
-0.6458,14,59
0.941,14,58
1,14,57
-0.7038,14,56
-0.8084,14,55
0.3806,14,54
-0.479,14,53
0.212,14,52
1,14,51
-0.3446,14,50
-0.8972,14,49
0.0142,14,48
0.9792,14,47
-0.5266,14,46
-0.9694,14,45
0.2202,14,44
0.6794,14,43
-0.8604,14,42
-0.3948,14,41
-0.0654,14,40
-0.3046,14,39
-0.5826,14,38
-1,14,37
0.2786,14,36
-1,14,35
0.2476,14,34
0.3208,14,33
-1,14,32
-0.7866,14,31
-0.9334,14,30
0.5216,14,29
-1,16,33
-1,16,32
0.9916,16,31
0.9906,16,30
1,16,29
1,16,28
0.9932,16,27
-1,16,26
1,16,25
0.9956,16,24
0.9956,16,23
0.9266,16,22
0.9964,16,21
-1,16,20
0.9998,16,19
0.977,16,18
0.9914,16,17
0.9984,15,59
1,15,58
1,15,57
0.9996,15,56
1,15,55
1,15,54
1,15,53
1,15,52
0.9934,15,51
1,15,50
1,15,49
1,15,48
0.9974,15,47
0.9996,15,46
1,15,45
1,15,44
-1,15,43
1,15,42
1,15,41
1,15,40
1,15,39
0.9628,15,38
0.848,15,37
0.497,15,36
0.8592,15,35
0.9924,15,34
0.9168,15,33
0.853,15,32
0.94,15,31
-1,17,37
0.2828,17,36
-1,17,35
0.8156,17,34
0.2282,17,33
-1,17,32
-0.6136,17,31
-0.771,17,30
0.3104,17,29
0.9542,17,28
-0.4172,17,27
-0.3278,17,26
0.5548,17,25
1,17,24
1,17,23
-0.6038,17,22
-0.909,17,21
-0.4978,17,20
0.4104,17,19
-0.4362,17,18
0.5936,16,59
1,16,58
1,16,57
1,16,56
1,16,55
1,16,54
1,16,53
1,16,52
1,16,51
1,16,50
1,16,49
1,16,48
0.996,16,47
0.969,16,46
0.9976,16,45
1,16,44
-1,16,43
0.9996,16,42
1,16,41
1,16,40
1,16,39
-1,16,38
-1,16,37
0.9568,16,36
-1,16,35
0.9904,16,34
-0.4324,18,42
-0.8352,18,41
0.5178,18,40
-1,18,39
-1,18,38
-1,18,37
-0.595,18,36
-0.8344,18,35
-0.2706,18,34
-0.402,18,33
-0.9266,18,32
-0.8466,18,31
-0.9632,18,30
-0.0744,18,29
-0.6154,18,28
-0.7782,18,27
0.2948,18,26
0.0728,18,25
0.8156,18,24
0.9922,18,23
-0.8932,18,22
-0.9132,18,21
-0.9896,18,20
-1,18,19
-0.9764,17,59
0.9226,17,58
1,17,57
-0.8682,17,56
-0.9824,17,55
0.036,17,54
-0.728,17,53
0.4024,17,52
1,17,51
-0.3594,17,50
-0.58,17,49
0.7914,17,48
0.942,17,47
-0.7546,17,46
-0.7372,17,45
0.5862,17,44
0.5968,17,43
-0.7918,17,42
0.11,17,41
-0.28,17,40
0.4776,17,39
-0.2108,17,38
-0.1144,19,48
0.3638,19,47
-0.0526,19,46
-0.913,19,45
0.0922000000000001,19,44
0.9064,19,43
0.2756,19,42
-0.2792,19,41
0.8518,19,40
-0.7028,19,39
-1,19,38
-1,19,37
-0.4902,19,36
-1,19,35
-0.8794,19,34
-1,19,33
-0.8358,19,32
-0.2222,19,31
-0.09,19,30
-0.988,19,29
-0.994,19,28
-0.622,19,27
0.657,19,26
-0.522,19,25
0.9582,19,24
0.998,19,23
-0.766,19,22
0.2574,19,21
-1,19,20
0.2196,18,59
0.3396,18,58
1,18,57
-1,18,56
-1,18,55
-1,18,54
-0.6486,18,53
0.091,18,52
0.9992,18,51
-0.6426,18,50
-1,18,49
-1,18,48
-0.4458,18,47
-0.2322,18,46
-0.8646,18,45
-0.6972,18,44
0.8666,18,43
0.8306,2,36
-1,2,35
-1,2,34
-1,2,33
-1,2,32
0.7294,2,31
0.582,2,30
0.3348,2,29
0.9758,2,28
0.8576,2,27
0.9968,2,26
0.7896,2,25
1,2,24
1,2,23
0.4194,2,22
0.8824,2,21
-1,2,20
0.2802,2,19
-1,2,18
0.9918,2,17
1,2,16
1,2,15
0.9078,2,14
0.9312,2,13
0.7952,2,12
-1,2,11
-1,2,10
0.998,2,9
1,2,8
0.991,2,7
0.633,2,6
0.1846,2,5
0.985,2,4
-1,2,3
1,1,59
1,1,58
1,1,57
1,1,56
1,1,55
1,1,54
1,1,53
1,1,52
1,1,51
1,1,50
1,1,49
1,1,48
-1,20,55
-1,20,54
-0.2324,20,53
-1,20,52
0.9694,20,51
-1,20,50
-1,20,49
-1,20,48
-1,20,47
-1,20,46
-1,20,45
-0.3524,20,44
0.7261,20,43
-0.6898,20,42
-1,20,41
0.2012,20,40
-1,20,39
-0.9968,20,38
-1,20,37
-0.749,20,36
-1,20,35
-0.4454,20,34
-0.5022,20,33
-0.779,20,32
-0.8914,20,31
-0.938,20,30
-0.3388,20,29
-1,20,28
-0.838,20,27
-0.000399999999999956,20,26
-0.096,20,25
0.6552,20,24
0.99,20,23
-0.7658,20,22
-0.829,20,21
0.6712,19,59
0.0955999999999999,19,58
0.981,19,57
0.2902,19,56
-1,19,55
-0.0242,19,54
0.4264,19,53
0.178,19,52
0.9998,19,51
-0.4304,19,50
-0.3724,19,49
-0.6352,22,26
-1,22,25
0.7564,22,24
0.932,22,23
-0.9784,21,59
0.9964,21,58
0.9996,21,57
0.4714,21,56
0.633,21,55
0.856,21,54
-0.7234,21,53
0.6814,21,52
1,21,51
-0.884,21,50
-0.6316,21,49
-0.4162,21,48
-0.417,21,47
-0.9554,21,46
-0.8786,21,45
-0.1008,21,44
0.466,21,43
-0.8568,21,42
-0.0264,21,41
-0.7366,21,40
0.3388,21,39
-0.9584,21,38
-0.321,21,37
-0.3968,21,36
-0.2274,21,35
0.1364,21,34
0.5106,21,33
-1,21,32
-0.9256,21,31
-0.995,21,30
-0.5856,21,29
0.637,21,28
-0.9738,21,27
-0.865,21,26
-0.0402,21,25
0.984,21,24
0.9958,21,23
-1,21,22
-0.3092,20,59
-1,20,58
-1,20,57
-1,20,56
0.9312,23,36
0.9906,23,35
0.9998,23,34
0.925,23,33
0.946,23,32
0.9864,23,31
0.9588,23,30
1,23,29
1,23,28
0.9992,23,27
0.9978,23,26
