,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.0814999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,-0.7848,0.1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.0898000000000001,-0.8334,0.1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-0.8412,0.0864,-0.7762,0.0818000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.0818000000000001,-0.825,0.17,-0.8326,0.0857000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-0.7806,-0.7598,-0.6924,-1,-0.7818,-0.7706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,-1,-1,-0.1204,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-1,-1,0.5632,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,-0.8368,0.0846,-0.7838,0.0817000000000001,-0.8222,0.0848,-0.7934,-0.5216,0.0462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-0.055,-1,0.3022,-1,-0.0674,-1,-0.524,0.2108,0.7878,-0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-0.8286,0.0864,-0.8062,0.0914999999999999,-0.8378,0.0876999999999999,-0.799,-0.3898,0.1744,-0.8364,-0.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-1,-1,0.123,-1,-1,-1,-1,-0.4338,-0.3446,-1,0.4582,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-1,-1,0.1144,-1,-1,-1,-1,-0.4274,-0.399,-1,0.4942,-1,-0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-1,-1,0.9444,-1,-1,-1,-1,-1,0.9224,-1,0.9958,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0819000000000001,-0.8226,0.1647,-0.834,0.0810999999999999,-0.8328,-0.789,-0.423,0.146,0.0787,-0.1354,0.0874999999999999,-0.3724,-0.3314,0.8216,NA,NA,NA,NA,NA,NA,NA,NA
17,0.0852999999999999,-0.8306,0.1611,-0.8336,0.083,-0.8276,-0.7922,-0.3744,0.1622,0.0863,-0.0986,0.0801000000000001,-0.2944,-0.263,0.849,-0.8366,NA,NA,NA,NA,NA,NA,NA
18,-0.8316,0.0837000000000001,-0.7858,0.0853999999999999,-0.841,0.0852999999999999,-0.8144,-0.3774,0.157,-0.8306,-0.1112,-0.8308,-0.2994,-0.265,0.8538,0.0878000000000001,0.0829,NA,NA,NA,NA,NA,NA
19,0.0847,-0.8278,0.1602,-0.8174,0.0847,-0.8238,-0.7896,-0.367,0.1786,0.0831999999999999,-0.1056,0.0880000000000001,-0.2784,-0.2506,0.8452,-0.8388,-0.8374,0.0817000000000001,NA,NA,NA,NA,NA
20,0.0871,0.0851,0.1627,0.0869,0.0841000000000001,0.0915999999999999,0.1572,0.3613,0.1692,0.0851999999999999,-0.118,0.0811999999999999,-0.3068,0.4749,0.8314,0.0832999999999999,0.0891,0.0854999999999999,0.0805,NA,NA,NA,NA
21,0.0903,-0.8298,0.1598,-0.826,0.0842000000000001,-0.833,-0.7838,-0.4014,0.1418,0.0847,-0.1162,0.0832999999999999,-0.3354,-0.307,0.8298,-0.8308,-0.8306,0.0842000000000001,-0.8268,0.0869,NA,NA,NA
22,-0.833,0.0848,-0.7804,0.0822000000000001,-0.8244,0.0805,-0.7818,-0.516,0.0414000000000001,-0.8254,-0.1124,-0.8328,-0.5338,-0.4716,0.732,0.0833999999999999,0.0820000000000001,-0.825,0.0846,0.081,0.0800000000000001,NA,NA
23,-1,-0.7238,-0.652,-1,-0.779,-1,-0.9794,-1,-1,-0.7698,0.0938000000000001,-1,-1,-1,-1,-1,-1,-1,-0.7358,0.1564,-1,-0.78,NA
