,711_E-1-S,711_E-2-S,711_E-2-M,711_E-3-S,712_E-2-D,712_E-3-M,712_E-3-D,713_E-1-X0,713_E-1-X1,713_E-2-M,713_E-2-X1,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,715_E2_1-5,716_E1_30-34,716_E3_10-14,716_E3_30-34,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
711_E-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-S,0.286820327497239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-M,0.340141587654689,-1.65500106606508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-S,0.286820327497239,NA,-1.65500106606508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,NA,0.286820327497239,0.340141587654689,0.286820327497239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,0.286820327497239,NA,-1.65500106606508,NA,0.286820327497239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-D,0.286820327497239,0.286820327497239,-2.17646482139652,0.286820327497239,0.286820327497239,0.286820327497239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X0,-1.15587000129088,-0.471105828740257,-1.59485408978857,-0.471105828740257,-1.15587000129088,-0.471105828740257,-1.51630062396588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X1,-2.1198115833589,0.0819546936938187,-1.61437324039132,0.0819546936938187,-2.1198115833589,0.0819546936938187,-2.00955213984709,0.769910417427714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-M,NA,0.286820327497239,0.340141587654689,0.286820327497239,NA,0.286820327497239,0.286820327497239,-1.15587000129088,-2.1198115833589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X1,-0.0631580058722716,-1.10243559793776,-1.14692884334398,-1.10243559793776,-0.0631580058722716,-1.10243559793776,-1.0875644948295,1.02917509075764,1.58890913265756,-0.0631580058722716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-M,NA,0.286820327497239,0.340141587654689,0.286820327497239,NA,0.286820327497239,0.286820327497239,-1.15587000129088,-2.1198115833589,NA,-0.0631580058722716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-D,-0.211028866883344,0.18774255162067,-1.13578923352173,0.18774255162067,-0.211028866883344,0.18774255162067,-0.426189079895058,1.41206649037021,-0.773365793151016,-0.211028866883344,1.1620992087173,-0.211028866883344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
