RCBC,site1,site2
0.252,1,47
-0.0688,1,46
0.984,1,45
-1,1,44
-0.6716,1,43
-0.197,1,42
0.7868,1,41
-0.8484,1,40
-1,1,39
0.9916,1,38
0.6112,1,37
0.9952,1,36
0.934,1,35
0.7372,1,34
0.5706,1,33
0.4702,1,32
0.1176,1,31
0.924,1,30
0.7986,1,29
-0.9872,1,28
0.5554,1,27
-0.3976,1,26
0.5322,1,25
0.5388,1,24
-1,1,23
0.9928,1,22
0.9998,1,21
-1,1,20
0.1238,1,19
0.0982000000000001,1,18
0.4836,1,17
-0.995,1,16
0.9548,1,15
0.492,1,14
0.5148,1,13
0.9942,1,12
0.7976,1,11
0.4886,1,10
0.487,1,9
0.6106,1,8
0.7092,1,7
-1,1,6
0.987,1,5
0.97,1,4
0.1654,1,3
-0.919,1,2
0.994,10,21
1,10,20
0.9998,10,19
1,10,18
0.9008,10,17
-0.2884,10,16
0.909,10,15
0.9088,10,14
0.6978,10,13
0.9308,10,12
1,10,11
0.9916,9,60
0.553,9,59
-1,9,58
1,9,57
0.9926,9,56
0.7606,9,55
0.9388,9,54
1,9,53
-1,9,52
0.9908,9,51
1,9,50
0.9962,9,49
-1,9,48
1,9,47
0.9994,9,46
0.7892,9,45
-1,9,44
0.9902,9,43
1,9,42
0.511,9,41
1,9,40
1,9,39
-1,9,38
0.9568,9,37
0.951,9,36
1,9,35
1,9,34
-1,9,33
-1,9,32
-1,9,31
0.5116,9,30
0.962,9,29
0.3732,9,28
-1,9,27
0.0773999999999999,9,26
1,11,18
1,11,17
-1,11,16
0.2598,11,15
1,11,14
0.4384,11,13
0.9388,11,12
0.9952,10,60
0.8698,10,59
-0.5068,10,58
0.987,10,57
0.9848,10,56
0.6984,10,55
0.988,10,54
1,10,53
-1,10,52
0.9882,10,51
1,10,50
0.9992,10,49
-0.293,10,48
0.9426,10,47
0.9578,10,46
0.3684,10,45
-1,10,44
0.9356,10,43
0.9908,10,42
0.7826,10,41
0.9702,10,40
1,10,39
-0.6982,10,38
0.8438,10,37
0.9056,10,36
0.9692,10,35
0.9982,10,34
-0.8642,10,33
0.5858,10,32
0.184,10,31
0.4888,10,30
1,10,29
0.9794,10,28
0.1722,10,27
0.1822,10,26
0.7378,10,25
0.991,10,24
0.1182,10,23
0.9764,10,22
-1,12,16
0.9302,12,15
