,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_1-5,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
711_E-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-1-M,1.84484745027128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-1-D,1.00802619814501,-0.757545326123957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-S,1.11346744514659,0.0340258612681244,0.592045388259133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-M,2.52556520978998,-0.467905217857592,2.82122931017082,-0.309141450927402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-2-D,1.680044414597,-0.87069731752018,-0.342876558252372,1.8527600911842,1.24429440271671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-S,2.33605354225193,-0.740549208921224,0.0624453101423599,0.860958552173831,1.23919531298134,-0.0294139588745754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-M,1.95517644366171,-0.777424194891699,0.114121615594573,0.204339729961138,0.797297092168167,0.0549216003486777,-0.577919846435606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_E-3-D,0.921503884450923,-0.671486607028414,-0.259692991255802,0.982446558917144,1.01368283495316,1.45952428148582,-0.0742885045514083,0.0026510978246422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-M,1.1195515122863,-0.724141616458121,2.7243781812225,1.27295710831578,1.79083122011829,0.776939604713967,0.101459958544876,0.398563800584743,0.506465917633445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-D,0.728277180680071,1.19319047133374,-0.361925301294153,0.68993798421991,1.7861579294328,0.7426814714128,0.793549902508351,0.649475008437072,0.899245982617434,2.22383014715478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-S,0.628528516372863,-0.874741292767454,-0.183616202798809,1.70449951400076,0.471879752619341,2.32290479771658,-0.474124102908898,-0.221285984062339,1.30518189751831,-0.157190282486393,1.83728189938383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-M,0.138631106805755,-0.546887710023472,-0.324479456396116,1.57253885777412,-0.30762420601183,0.292455650864548,-0.792252388426538,-0.406690656660073,0.00782146832543734,-0.141041890802316,1.45452623370245,-0.604961105929421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,1.60584792230452,-0.23150683337249,-0.0655800581302546,2.05643166963262,2.27651273020871,1.45952428148582,-0.0700546358176045,0.473351526814462,NA,2.20041191996925,0.0579766407107742,2.06895037441755,1.57516918251992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-S,2.22135120420927,-1.1132257749094,1.67703137251808,1.63074894510103,1.29535724273904,-0.0229429684446684,0.00439946191771522,0.0663448356174246,-0.248112383444097,1.1797525430931,1.94277654266909,-0.398384130934572,-0.462362148166866,1.67097472392204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,0.893374135480649,1.58652150105822,1.17359534597725,-0.633163004161132,-0.620358566283011,2.20169295838486,1.43391773378844,0.403481795353138,2.53238782761853,0.577633256347074,2.40178029981661,0.815650225377259,0.590177418090009,1.29709310684027,2.53793172313056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-D,1.6416081876034,-0.176540289398437,-0.0742212499890524,1.45882531657747,2.11811695630629,1.45952428148582,0.0421035048386031,0.236408308339184,NA,1.96833810391589,0.418308752247391,1.99144394341177,1.21956600728386,NA,1.41117914089995,2.27244506987812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-S,0.448459480977765,-0.895920889394456,-0.0771455412664806,0.366397786666745,-0.035555992598128,2.32290479771658,-0.0446827234998028,-0.118394425324495,1.30518189751831,-0.167677420623934,2.21552762312215,NA,-0.604961105929421,2.06895037441755,-0.401814175262335,0.89018771282781,1.99144394341177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-M,0.676638738445393,-0.738455417841648,-0.110854744758433,0.413042453235929,0.0947538118685007,2.32290479771658,-0.00499643828206736,-0.118063683064423,1.30518189751831,-0.175229052910026,2.28046833810558,NA,-0.604961105929421,2.06895037441755,-0.393687256841873,1.30394691420137,1.99144394341177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-D,0.730468240638894,-0.823041920673888,-0.193415525252018,1.06490299233236,0.444159705370622,1.91240416569212,-0.0422245273245004,-0.00996615845558223,1.9234643050541,0.330627481949065,2.15815779211927,1.40293876614262,0.501575268547466,2.48527985601752,-0.159055745038887,1.31545065290024,2.52470485674374,1.40293876614262,1.40293876614262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X0,-0.0159018117298578,0.418690015690637,-0.118489365688525,-0.649044360890421,-0.663818070755312,1.63596504396444,0.061016365129613,0.133268456022991,1.04118307981941,0.10577494169849,1.35003670646973,0.643697540875731,-0.264670843570885,1.46738445405848,1.82259258483552,1.29667261055936,1.36248817001008,0.0148972198022713,0.646107849778901,0.715010074477173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X1,-0.732535692239079,-0.879939200500234,-1.07369705333152,-1.07899518887074,-1.12067215288732,-0.609181775184064,-0.99980755762761,-1.12353284337736,-0.782389936950824,-1.1069742169753,-0.474530406610635,-0.889214658899664,-1.08179071529683,-0.68419229881172,-0.803398011536309,0.0132356262492063,-0.834428765350692,-0.689858479760315,-0.666317415823935,-0.636079485563845,-0.730411420113795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-S,1.68067157535319,2.03542036493541,0.697338875366585,0.692701860270919,0.157129446814994,1.9430579000987,1.57686597777328,1.24496016570773,1.55057527299525,0.301234750266188,0.977840299589027,1.17539024571785,0.143400001619322,2.04544710869302,2.42072678192723,0.293607445878221,2.00442901655777,0.360771955694591,0.656486384424907,0.864190499086751,1.10230874084038,-0.355916437645913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-M,2.8065304300648,-0.984298201895366,0.192176210270412,1.1160124234121,1.2288626463507,-0.493356323688369,-0.241221113420445,-0.220659000333022,-0.632898002744777,0.88394851603939,1.98904160293753,-0.736504467198815,-0.507075673075931,-0.190386276439608,-0.609523749978569,2.02191482350403,-0.115689183671133,-0.570920174195537,-0.501310774972571,-0.496418251572442,0.550793714707781,-1.02166390764712,2.35069797090928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-D,2.00590509104447,0.668791683678577,-0.784611155060494,-0.081754001463421,-0.895776884801857,0.117521653074829,0.420376770623967,-0.454714979901052,0.68397600953182,0.0482780653830958,0.566957501692765,0.0609073377440364,-0.395395562206673,1.7332945192165,0.0894028215228758,1.00405682084798,1.44403521371539,-0.5435853399403,-0.282899891810493,-0.200542013093702,0.429331749480598,-1.10968649412269,2.02607007078277,0.83088554682815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
