RCBC,site1,site2
-0.535,1,47
-0.6276,1,46
-0.5554,1,45
-0.5386,1,44
-0.8428,1,43
-0.7658,1,42
-0.1772,1,41
-0.2744,1,40
-0.3784,1,39
-0.5194,1,38
-0.7276,1,37
0.1638,1,36
-0.524,1,35
-0.6936,1,34
-0.7296,1,33
-1,1,32
-1,1,31
-1,1,30
-0.8632,1,29
-0.767,1,28
0.263,1,27
-0.3084,1,26
-0.737,1,25
-0.993,1,24
-0.913,1,23
-1,1,22
-1,1,21
-0.1056,1,20
-0.055,1,19
-0.0954,1,18
-0.81,1,17
-0.5866,1,16
-0.8624,1,15
-1,1,14
0.0744,1,13
0.0384,1,12
-0.5976,1,11
-0.7046,1,10
-0.7696,1,9
-0.7066,1,8
-0.7248,1,7
-0.8206,1,6
-0.0614,1,5
-0.1024,1,4
-0.8872,1,3
-0.9738,1,2
-1,10,21
-0.9096,10,20
-0.9466,10,19
-0.981,10,18
-0.7522,10,17
-0.623,10,16
-0.794,10,15
-1,10,14
-0.8198,10,13
-0.9656,10,12
-0.7826,10,11
-0.9186,9,60
-0.9092,9,59
-0.6022,9,58
-0.8298,9,57
-0.8878,9,56
-0.976,9,55
-0.9686,9,54
-0.9964,9,53
-0.2406,9,52
-0.9582,9,51
-0.9984,9,50
-0.9824,9,49
-1,9,48
-0.9734,9,47
-0.9952,9,46
-0.979,9,45
-0.2524,9,44
-0.9774,9,43
-1,9,42
-0.9668,9,41
-0.996,9,40
-0.474,9,39
-0.5798,9,38
-0.2434,9,37
0.3466,9,36
-0.2182,9,35
-0.1372,9,34
-0.2634,9,33
1,9,32
0.9442,9,31
-1,9,30
-0.999,9,29
-1,9,28
-1,9,27
-0.7078,9,26
-0.54,11,18
-0.2356,11,17
-0.8586,11,16
-0.4922,11,15
-0.2194,11,14
-0.3852,11,13
-0.4546,11,12
-0.2604,10,60
-1,10,59
-0.7072,10,58
-0.2668,10,57
-1,10,56
-1,10,55
-0.2702,10,54
-0.8798,10,53
-0.8534,10,52
-0.0828,10,51
-0.4838,10,50
-1,10,49
-0.7894,10,48
-0.252,10,47
-0.942,10,46
-0.8634,10,45
-0.8188,10,44
-0.594,10,43
-0.8122,10,42
-0.8522,10,41
-0.914,10,40
-1,10,39
-0.9738,10,38
-0.8962,10,37
-0.8134,10,36
-0.9632,10,35
-0.8704,10,34
-0.8888,10,33
-1,10,32
-1,10,31
-1,10,30
-0.3592,10,29
-0.8596,10,28
-1,10,27
-0.0496,10,26
-0.5246,10,25
-0.5498,10,24
-0.7042,10,23
-1,10,22
0.1898,12,16
0.2092,12,15
-0.4944,12,14
-0.8608,12,13
-0.1084,11,60
-0.5824,11,59
-0.6348,11,58
-0.027,11,57
-0.2862,11,56
-0.4416,11,55
-0.2558,11,54
-0.6894,11,53
0.1778,11,52
-0.0362,11,51
-0.5544,11,50
-0.8542,11,49
-0.8806,11,48
-0.3928,11,47
-0.7414,11,46
-0.9656,11,45
0.18,11,44
-0.3948,11,43
-0.624,11,42
-0.8348,11,41
-0.8616,11,40
-0.5326,11,39
-0.7182,11,38
0.1751,11,37
-0.8272,11,36
-0.5988,11,35
-0.4544,11,34
0.1767,11,33
-1,11,32
0.9828,11,31
0.9898,11,30
-0.3866,11,29
-0.9662,11,28
-1,11,27
-0.0476,11,26
-0.6588,11,25
-0.6172,11,24
-0.8466,11,23
-1,11,22
-1,11,21
-0.2846,11,20
-0.4778,11,19
0.1544,13,15
0.0646,13,14
-0.21,12,60
0.0888,12,59
-0.0542,12,58
0.4394,12,57
0.00380000000000003,12,56
-0.235,12,55
-0.1856,12,54
-0.0570000000000001,12,53
-0.8162,12,52
0.056,12,51
-0.4774,12,50
-0.346,12,49
-0.4414,12,48
0.4434,12,47
-0.2464,12,46
-0.1332,12,45
-0.5374,12,44
-0.0488,12,43
-0.164,12,42
-0.0638,12,41
-0.2996,12,40
-0.7556,12,39
-1,12,38
-0.74,12,37
-0.269,12,36
-0.748,12,35
-1,12,34
-0.7232,12,33
-1,12,32
-1,12,31
-1,12,30
-0.3412,12,29
-0.1506,12,28
0.7508,12,27
0.639,12,26
0.2516,12,25
0.2136,12,24
-0.0664,12,23
-1,12,22
-1,12,21
-0.759,12,20
-0.8696,12,19
-0.9876,12,18
-0.265,12,17
-0.9864,14,15
0.2538,13,60
0.000799999999999912,13,59
-0.348,13,58
0.3506,13,57
0.0786,13,56
-0.134,13,55
0.2348,13,54
-0.1714,13,53
-0.8512,13,52
0.476,13,51
-0.091,13,50
-0.4218,13,49
-0.5514,13,48
0.3644,13,47
-0.3122,13,46
-0.1338,13,45
-0.5294,13,44
-0.105,13,43
-0.233,13,42
-0.206,13,41
-0.4002,13,40
-0.3098,13,39
-1,13,38
-0.7364,13,37
-0.5178,13,36
-0.8316,13,35
-0.8282,13,34
-0.7284,13,33
-1,13,32
0.8758,13,31
-1,13,30
0.0786,13,29
-0.235,13,28
0.937,13,27
0.5732,13,26
0.173,13,25
0.2916,13,24
-0.179,13,23
-1,13,22
0.8976,13,21
-0.288,13,20
-0.4918,13,19
-0.6402,13,18
0.226,13,17
0.1022,13,16
-0.995,15,16
-0.7576,14,60
-0.9952,14,59
-0.6452,14,58
-0.5752,14,57
-0.6944,14,56
-0.9824,14,55
-0.8576,14,54
-1,14,53
-0.2782,14,52
-0.781,14,51
-1,14,50
-1,14,49
-1,14,48
-0.9658,14,47
-1,14,46
-0.9896,14,45
-0.0628,14,44
-0.923,14,43
-0.9842,14,42
-0.9302,14,41
-1,14,40
-0.9006,14,39
-1,14,38
-0.1184,14,37
0.3082,14,36
-0.1908,14,35
-0.4736,14,34
-0.1324,14,33
1,14,32
0.9564,14,31
0.7758,14,30
-1,14,29
-1,14,28
-0.1804,14,27
-0.2028,14,26
-1,14,25
-0.9646,14,24
-1,14,23
1,14,22
0.9404,14,21
-0.9562,14,20
-0.9468,14,19
-0.911,14,18
-0.9818,14,17
-0.9746,14,16
-0.1066,16,19
-0.036,16,18
-1,16,17
-0.984,15,60
-0.9584,15,59
-0.709,15,58
-0.9958,15,57
-0.9958,15,56
-0.6972,15,55
-0.9838,15,54
-0.979,15,53
-0.358,15,52
-0.9794,15,51
-0.6024,15,50
-0.8802,15,49
-1,15,48
-0.996,15,47
-0.8918,15,46
-0.9872,15,45
-0.361,15,44
-1,15,43
-0.7736,15,42
-0.958,15,41
-0.8972,15,40
-0.13,15,39
-0.4336,15,38
-0.3728,15,37
0.3614,15,36
-0.1512,15,35
-0.2674,15,34
-0.3736,15,33
1,15,32
-1,15,31
-1,15,30
-0.9088,15,29
-0.9988,15,28
-1,15,27
-0.9808,15,26
-0.9906,15,25
-0.7968,15,24
-0.98,15,23
-1,15,22
-1,15,21
0.075,15,20
0.052,15,19
-0.00660000000000005,15,18
-0.9866,15,17
-0.9522,17,23
1,17,22
0.6826,17,21
-0.00419999999999998,17,20
-0.63,17,19
-0.836,17,18
-0.9714,16,60
-0.9504,16,59
-0.8726,16,58
-0.9174,16,57
-0.9844,16,56
-0.9972,16,55
-0.9736,16,54
-0.9968,16,53
-0.6082,16,52
-0.9146,16,51
-0.979,16,50
-0.9822,16,49
-1,16,48
-0.9186,16,47
-0.999,16,46
-0.9852,16,45
-0.5238,16,44
-0.9892,16,43
-0.9974,16,42
-0.9716,16,41
-0.9602,16,40
-0.8306,16,39
-0.4572,16,38
-0.6568,16,37
0.075,16,36
-0.398,16,35
-0.4062,16,34
-0.6538,16,33
1,16,32
-1,16,31
-1,16,30
-0.9576,16,29
-0.9822,16,28
-1,16,27
-0.8286,16,26
-0.9984,16,25
-0.4776,16,24
-0.9946,16,23
-1,16,22
-1,16,21
-0.1582,16,20
-0.3568,18,28
0.294,18,27
0.4812,18,26
0.0244,18,25
-0.0377999999999999,18,24
-0.3036,18,23
-1,18,22
0.6638,18,21
-0.9714,18,20
-0.987,18,19
-0.993,17,60
-0.8914,17,59
-0.571,17,58
-0.9684,17,57
-0.8146,17,56
-0.9568,17,55
-0.9998,17,54
-1,17,53
-0.0931999999999999,17,52
-0.999,17,51
-1,17,50
-0.9714,17,49
-1,17,48
-0.9816,17,47
-1,17,46
-0.9532,17,45
-0.0718,17,44
-0.991,17,43
-1,17,42
-0.977,17,41
-1,17,40
-0.0848,17,39
-0.5234,17,38
-0.0814,17,37
0.4184,17,36
-0.118,17,35
-0.093,17,34
-0.0872000000000001,17,33
1,17,32
0.9336,17,31
-1,17,30
-0.9422,17,29
-1,17,28
-0.2932,17,27
-0.3732,17,26
-1,17,25
-0.6654,17,24
-0.6076,19,34
-0.6412,19,33
-1,19,32
-1,19,31
-1,19,30
-0.939,19,29
-0.3592,19,28
-1,19,27
0.533,19,26
0.0456000000000001,19,25
-0.0356,19,24
-0.242,19,23
-1,19,22
0.9556,19,21
-0.9844,19,20
-0.525,18,60
-0.1012,18,59
-0.1526,18,58
0.2446,18,57
0.00760000000000005,18,56
-0.1818,18,55
-0.6244,18,54
-0.2218,18,53
-0.7646,18,52
-0.5126,18,51
-0.7038,18,50
-0.5104,18,49
-0.5448,18,48
0.2302,18,47
-0.3958,18,46
-0.2376,18,45
-0.6048,18,44
-0.1972,18,43
-0.3126,18,42
-0.293,18,41
-0.43,18,40
-0.9816,18,39
-1,18,38
-0.7676,18,37
-0.3048,18,36
-0.7448,18,35
-0.6936,18,34
-0.7718,18,33
-1,18,32
-1,18,31
-1,18,30
-0.7794,18,29
-0.5132,2,35
-0.699,2,34
-0.6802,2,33
1,2,32
-1,2,31
-1,2,30
-0.946,2,29
-0.9998,2,28
-1,2,27
-0.8396,2,26
-0.9686,2,25
-0.8776,2,24
-1,2,23
-1,2,22
-1,2,21
