RCBC,site1,site2
-1,1,46
-1,1,45
-0.9954,1,44
-1,1,43
-1,1,42
-0.9884,1,41
-1,1,40
-1,1,39
0.138,1,38
-0.8454,1,37
0.9992,1,36
-1,1,35
-1,1,34
-0.7736,1,33
-0.833,1,32
-0.00739999999999996,1,31
-0.5386,1,30
-0.9786,1,29
-0.9078,1,28
0.1782,1,27
-0.3176,1,26
-0.949,1,25
-0.9962,1,24
-1,1,23
-0.9622,1,22
-0.6798,1,21
-0.4612,1,20
-1,1,19
-1,1,18
-1,1,17
-0.9978,1,16
-0.9698,1,15
-1,1,14
-0.9608,1,13
-0.9878,1,12
-1,1,11
-1,1,10
-1,1,9
-0.98,1,8
-0.9988,1,7
-1,1,6
-0.3834,1,5
-0.8706,1,4
-1,1,3
-0.9172,1,2
0.9996,10,36
-1,10,35
0.8924,10,34
0.479,10,33
0.8194,10,32
0.9174,10,31
0.887,10,30
0.4748,10,29
0.3156,10,28
0.9922,10,27
0.99,10,26
0.4468,10,25
-1,10,24
-1,10,23
0.7552,10,22
-0.5888,10,21
0.9894,10,20
0.9852,10,19
0.9734,10,18
0.959,10,17
-1,10,16
-0.0354,10,15
0.9692,10,14
-1,10,13
0.0713999999999999,10,12
1,10,11
-0.9692,9,58
-0.8976,9,57
-1,9,56
0.18,9,55
0.1348,9,54
-0.0358000000000001,9,53
-0.9912,9,52
-0.5856,9,51
-0.9776,9,50
-0.9718,9,49
-0.475,9,48
-1,9,47
-0.2066,9,46
0.9314,9,45
0.8214,9,44
-0.2286,9,43
-0.5082,9,42
-0.815,9,41
0.4578,9,40
0.9746,9,39
1,11,35
-1,11,34
-1,11,33
-1,11,32
-1,11,31
-1,11,30
-1,11,29
-1,11,28
1,11,27
-1,11,26
-1,11,25
-1,11,24
-1,11,23
-1,11,22
-1,11,21
-1,11,20
-1,11,19
-1,11,18
-1,11,17
-1,11,16
-1,11,15
1,11,14
-1,11,13
-1,11,12
0.835,10,58
0.1766,10,57
-1,10,56
0.5222,10,55
0.5156,10,54
0.0287999999999999,10,53
0.829,10,52
0.7482,10,51
0.7588,10,50
0.9104,10,49
0.9636,10,48
-1,10,47
0.9686,10,46
0.9014,10,45
-0.3266,10,44
0.946,10,43
0.9776,10,42
-1,10,41
0.9794,10,40
1,10,39
0.9922,10,38
-0.5494,10,37
-1,12,35
-0.7578,12,34
0.1228,12,33
-0.3116,12,32
-0.2798,12,31
-0.7282,12,30
-0.9034,12,29
0.1254,12,28
-0.29,12,27
0.6486,12,26
-0.7466,12,25
-0.6548,12,24
-1,12,23
-0.683,12,22
-0.9236,12,21
-0.8276,12,20
-0.9868,12,19
-0.8974,12,18
-0.6646,12,17
-1,12,16
-0.443,12,15
-0.8458,12,14
-0.922,12,13
-1,11,58
-1,11,57
-1,11,56
-1,11,55
-1,11,54
-1,11,53
-1,11,52
-1,11,51
-1,11,50
-1,11,49
-1,11,48
-1,11,47
1,11,46
-1,11,45
-1,11,44
1,11,43
-1,11,42
-1,11,41
-1,11,40
1,11,39
1,11,38
-1,11,37
1,11,36
-1,13,36
-1,13,35
-1,13,34
-0.8492,13,33
-0.8978,13,32
-0.5152,13,31
-0.893,13,30
-0.9328,13,29
-0.909,13,28
-0.3544,13,27
-0.4824,13,26
-0.887,13,25
-0.8938,13,24
-0.8294,13,23
-0.945,13,22
-0.986,13,21
-0.1284,13,20
-0.9266,13,19
-0.9366,13,18
-0.9012,13,17
-0.8986,13,16
-0.9682,13,15
-0.9106,13,14
-0.6476,12,58
0.1934,12,57
-1,12,56
-0.5026,12,55
-0.678,12,54
-0.5796,12,53
-0.3994,12,52
-0.026,12,51
-0.8606,12,50
-0.4034,12,49
-0.8676,12,48
-0.5106,12,47
-0.974,12,46
-0.2054,12,45
-0.1206,12,44
-0.5066,12,43
-0.5864,12,42
-0.6662,12,41
-0.7478,12,40
-1,12,39
-0.3934,12,38
-0.5726,12,37
0.9986,12,36
0.991,14,38
-0.385,14,37
0.999,14,36
0.3446,14,35
0.887,14,34
0.1876,14,33
-1,14,32
0.2878,14,31
-0.035,14,30
-1,14,29
0.521,14,28
0.8644,14,27
0.0249999999999999,14,26
-0.947,14,25
-1,14,24
-1,14,23
0.3904,14,22
-0.4784,14,21
0.9412,14,20
0.25,14,19
0.2116,14,18
-0.8536,14,17
-1,14,16
-1,14,15
-0.8886,13,58
-0.7704,13,57
-0.8968,13,56
-0.931,13,55
-0.9978,13,54
-0.9588,13,53
-0.745,13,52
-0.9684,13,51
-0.766,13,50
-0.6998,13,49
-0.817,13,48
-0.8784,13,47
-1,13,46
-0.7078,13,45
-0.9114,13,44
-0.6264,13,43
-0.8294,13,42
-0.9976,13,41
-0.8484,13,40
0.0158,13,39
0.5888,13,38
-0.8624,13,37
-0.9564,15,41
