RCBC,site1,site2
1,1,47
0.9748,1,46
0.7116,1,45
0.5716,1,44
1,1,43
1,1,42
0.9948,1,41
1,1,40
0.726,1,39
-1,1,38
-1,1,37
0.9824,1,36
0.2086,1,35
-1,1,34
-0.3778,1,33
0.956,1,32
1,1,31
0.9998,1,30
1,1,29
0.9126,1,28
0.9998,1,27
0.9998,1,26
1,1,25
0.0646,1,24
-0.1258,1,23
0.9588,1,22
0.9998,1,21
-0.8534,1,20
-0.4702,1,19
-0.905,1,18
1,1,17
0.3404,1,16
1,1,15
1,1,14
-0.7404,1,13
0.1104,1,12
0.9592,1,11
-0.248,1,10
1,1,9
0.7166,1,8
0.902,1,7
0.9998,1,6
0.0334000000000001,1,5
0.4878,1,4
0.9978,1,3
0.9218,1,2
0.7036,10,21
-0.7896,10,20
-0.7076,10,19
-0.7316,10,18
1,10,17
-0.00180000000000002,10,16
0.918,10,15
0.9248,10,14
-0.7626,10,13
-0.4884,10,12
-0.8356,10,11
1,9,60
1,9,59
1,9,58
1,9,57
1,9,56
1,9,55
1,9,54
1,9,53
-1,9,52
1,9,51
1,9,50
0.9882,9,49
-1,9,48
1,9,47
-1,9,46
1,9,45
-1,9,44
1,9,43
1,9,42
1,9,41
1,9,40
-1,9,39
-1,9,38
-1,9,37
1,9,36
1,9,35
-1,9,34
-1,9,33
-1,9,32
1,9,31
1,9,30
1,9,29
1,9,28
1,9,27
1,9,26
-0.6136,11,18
1,11,17
0.9754,11,16
0.9998,11,15
0.9982,11,14
-0.9408,11,13
-0.411,11,12
1,10,60
0.5524,10,59
0.1816,10,58
0.9594,10,57
0.3104,10,56
0.6768,10,55
1,10,54
0.5546,10,53
0.0751999999999999,10,52
0.9456,10,51
0.7726,10,50
0.198,10,49
0.2404,10,48
0.7496,10,47
0.589,10,46
-0.5976,10,45
0.5541,10,44
1,10,43
0.8282,10,42
-0.0828,10,41
0.6614,10,40
-0.8914,10,39
-1,10,38
-1,10,37
0.0533999999999999,10,36
-0.9708,10,35
-0.9548,10,34
-0.995,10,33
0.4618,10,32
0.8532,10,31
0.8398,10,30
0.9762,10,29
-0.2622,10,28
0.9552,10,27
0.982,10,26
0.9592,10,25
-0.0694,10,24
-0.4896,10,23
-0.3744,10,22
0.7904,12,16
0.7704,12,15
-1,12,14
-0.9392,12,13
1,11,60
0.9942,11,59
0.602,11,58
0.9882,11,57
0.8882,11,56
0.915,11,55
1,11,54
0.959,11,53
-1,11,52
0.9858,11,51
0.9858,11,50
0.611,11,49
-0.6788,11,48
0.9222,11,47
0.7332,11,46
0.2948,11,45
-0.0192,11,44
1,11,43
1,11,42
0.8402,11,41
0.995,11,40
0.3552,11,39
-1,11,38
-1,11,37
-0.0924,11,36
-0.8778,11,35
-0.7402,11,34
-0.861,11,33
0.5948,11,32
0.8792,11,31
0.9056,11,30
1,11,29
0.8096,11,28
0.9202,11,27
0.9768,11,26
0.9996,11,25
0.9742,11,24
0.9222,11,23
0.3474,11,22
0.767,11,21
-0.5726,11,20
-0.0570000000000001,11,19
0.0586,13,15
-1,13,14
-1,12,60
-0.815,12,59
0.719,12,58
0.8338,12,57
0.1038,12,56
0.684,12,55
-1,12,54
-0.49,12,53
0.0588,12,52
-1,12,51
0.8428,12,50
0.00980000000000003,12,49
0.2274,12,48
0.4622,12,47
-0.144,12,46
-0.4464,12,45
-0.3014,12,44
-1,12,43
-1,12,42
0.2924,12,41
-0.0582,12,40
-0.7296,12,39
-1,12,38
-1,12,37
0.6346,12,36
-0.3136,12,35
-0.3588,12,34
0.1128,12,33
0.3864,12,32
0.9792,12,31
0.9334,12,30
-1,12,29
-0.7742,12,28
0.9226,12,27
0.8338,12,26
-0.0426,12,25
-0.9358,12,24
0.1156,12,23
-0.444,12,22
0.8416,12,21
-0.7824,12,20
-0.5598,12,19
-0.6666,12,18
-1,12,17
0.9836,14,15
-1,13,60
-1,13,59
-0.3822,13,58
0.383,13,57
-0.7204,13,56
-1,13,55
-1,13,54
-1,13,53
-0.1094,13,52
-1,13,51
0.1732,13,50
-0.7472,13,49
-0.2654,13,48
-0.000600000000000045,13,47
-0.6512,13,46
-0.997,13,45
-0.6896,13,44
-1,13,43
-1,13,42
-0.9498,13,41
-1,13,40
-0.78,13,39
-0.9442,13,38
-0.9868,13,37
0.4598,13,36
-0.5558,13,35
-0.652,13,34
0.042,13,33
0.4034,13,32
0.5886,13,31
-0.1594,13,30
0.7004,13,29
-0.9228,13,28
0.5242,13,27
0.6184,13,26
-1,13,25
-0.4964,13,24
0.0891999999999999,13,23
-0.7638,13,22
0.0702,13,21
-0.7318,13,20
-0.8174,13,19
-0.7792,13,18
-1,13,17
-0.6752,13,16
0.9994,15,16
1,14,60
0.9396,14,59
0.9178,14,58
1,14,57
