RCBC,site1,site2
0.508,1,47
0.7094,1,46
-0.7358,1,45
0.8156,1,44
0.712,1,43
0.4484,1,42
0.4858,1,41
0.571,1,40
-0.7064,1,39
0.4012,1,38
0.951,1,37
0.9604,1,36
0.2078,1,35
0.9946,1,34
1,1,33
0.9132,1,32
0.9858,1,31
-0.4592,1,30
-0.2736,1,29
-0.4246,1,28
-0.2556,1,27
0.2178,1,26
0.0282,1,25
-0.618,1,24
-0.649,1,23
-0.8052,1,22
-0.2254,1,21
-0.5086,1,20
0.6184,1,19
0.875,1,18
0.775,1,17
0.2836,1,16
-0.8426,1,15
0.5798,1,14
-0.076,1,13
0.4114,1,12
0.9276,1,11
0.9856,1,10
0.5032,1,9
0.4478,1,8
-0.2198,1,7
0.5822,1,6
0.8478,1,5
-0.0377999999999999,1,4
0.9102,1,3
-0.00139999999999996,1,2
1,10,11
-0.5358,9,56
-0.6262,9,55
-0.0772,9,54
-0.2942,9,53
-0.4178,9,52
-0.2522,9,51
-0.8062,9,50
-0.868,9,49
-0.811,9,48
-0.8676,9,47
-0.674,9,46
-0.4144,9,45
-0.5406,9,44
-0.0834,9,43
-0.2174,9,42
-0.768,9,41
-0.5398,9,40
-0.2574,9,39
-0.595,9,38
-0.3306,9,37
-0.1116,9,36
-0.2002,9,35
0.3894,9,34
-1,9,33
-0.0542,9,32
0.8064,9,31
-0.4634,9,30
-0.4612,9,29
-0.7662,9,28
-0.0682,9,27
-0.457,9,26
-0.6618,9,25
-1,9,24
-0.7052,9,23
0.115,9,22
0.0411999999999999,9,21
-0.5316,9,20
-0.8556,9,19
-0.6754,9,18
-0.4322,9,17
-0.7056,9,16
-0.0898,9,15
-0.8414,9,14
0.249,9,13
0.2364,9,12
0.5828,11,12
0.8516,10,56
-1,10,55
0.8804,10,54
0.9648,10,53
0.6284,10,52
0.7742,10,51
0.6978,10,50
0.962,10,49
0.975,10,48
0.7022,10,47
0.9502,10,46
0.7262,10,45
0.9344,10,44
0.945,10,43
0.4746,10,42
0.944,10,41
0.8948,10,40
0.817,10,39
0.9554,10,38
0.9994,10,37
0.9568,10,36
-1,10,35
1,10,34
1,10,33
0.9898,10,32
0.974,10,31
0.5592,10,30
0.9946,10,29
0.9842,10,28
-1,10,27
-1,10,26
0.9922,10,25
-1,10,24
-1,10,23
0.9644,10,22
0.9954,10,21
0.928,10,20
0.9218,10,19
0.7012,10,18
0.9328,10,17
0.7704,10,16
0.8514,10,15
0.8734,10,14
0.9452,10,13
0.404,10,12
-1,12,15
0.1952,12,14
-0.419,12,13
-1,11,56
0.757,11,55
0.3386,11,54
0.945,11,53
0.999,11,52
0.8628,11,51
-1,11,50
0.8746,11,49
0.9346,11,48
0.5376,11,47
0.9102,11,46
0.625,11,45
-0.296,11,44
0.6342,11,43
0.8686,11,42
0.6684,11,41
0.9928,11,40
-1,11,39
0.9768,11,38
0.9118,11,37
1,11,36
-1,11,35
0.991,11,34
1,11,33
1,11,32
0.795,11,31
0.601,11,30
0.8492,11,29
0.2522,11,28
-1,11,27
0.832,11,26
0.9078,11,25
-1,11,24
-1,11,23
0.903,11,22
0.4688,11,21
