,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-0.00139999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.9102,-0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-0.0377999999999999,-0.4204,-0.4824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.8478,-0.5262,0.3958,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.5822,-0.0896,-0.4704,-0.4588,0.000599999999999934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-0.2198,-0.488,-0.4028,-0.3842,0.1396,0.5334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.4478,-0.2656,-0.552,-0.9224,-0.3202,0.0731999999999999,-0.9556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.5032,-0.7962,-0.798,-0.596,-0.4452,-0.7266,-0.1326,-0.7434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.9856,0.8582,0.985,0.5092,0.8498,0.8898,-1,-1,-0.0228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.9276,0.885,0.8412,-1,1,0.0529999999999999,0.4112,0.5404,0.5668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.4114,-0.3704,-0.2896,-0.6878,-1,0.3096,-0.2926,0.071,0.2364,0.404,0.5828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,-0.076,-0.1774,0.4528,-0.734,0.1682,0.2628,-0.6,-0.248,0.249,0.9452,0.6284,-0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.5798,-0.2676,-0.6168,-0.638,-0.2774,-0.4418,0.373,-0.4204,-0.8414,0.8734,0.8004,0.1952,-0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-0.8426,-0.2826,0.2614,-0.845,-1,-1,-0.488,0.0266,-0.0898,0.8514,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.2836,-0.6524,-0.879,-0.5274,-0.4622,-0.7042,0.0289999999999999,-0.606,-0.7056,0.7704,-1,-0.29,-0.1218,-0.9992,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.775,-0.853,-0.1632,-0.3956,-0.4958,0.4702,0.4452,-0.0358000000000001,-0.4322,0.9328,0.9112,0.1284,-0.1904,-0.5024,-1,-0.7698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.875,-0.6136,0.537,-0.5946,-0.0456,0.6226,-0.0262,-0.345,-0.6754,0.7012,0.9924,-0.9208,0.0973999999999999,-0.5306,0.199,-0.847,-0.9926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.6184,-0.8082,-0.2476,-0.7408,0.261,-0.5068,0.1602,-0.1712,-0.8556,0.9218,0.7224,-0.0911999999999999,0.2128,-0.3722,-0.081,-0.5708,-0.4768,-0.6484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.5086,-0.213,0.3272,-0.8398,0.5356,-0.2092,-0.245,-0.1866,-0.5316,0.928,0.0529999999999999,-0.186,-0.5618,-0.4126,-1,-0.3508,0.0387999999999999,0.3222,-0.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-0.2254,0.1662,0.7496,-0.045,0.8878,0.4204,-0.0344,0.5016,0.0411999999999999,0.9954,0.4688,0.2988,-0.1444,0.2948,-0.4256,-0.0552,0.5618,0.7422,0.2986,-0.6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.8052,-0.0194,0.6364,-0.184,0.8322,0.3282,-0.3642,0.308,0.115,0.9644,0.903,0.0835999999999999,-0.2816,0.3006,-0.8022,0.0291999999999999,0.4556,0.5696,0.1868,-0.3314,-0.0974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-0.649,-1,-1,-0.6556,-1,-1,-0.8186,-1,-0.7052,-1,-1,-0.5078,-1,-1,-0.8392,-0.7494,-1,-1,-0.5118,-0.5974,-1,-0.7266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.618,-1,-1,-0.8032,-1,-1,-0.6168,-1,-1,-1,-1,-0.7526,-0.6746,-1,-0.8196,-1,-1,-1,-1,-0.4624,-0.6548,-0.714,-0.9466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0282,-0.1894,0.5992,-0.5064,0.8132,0.2296,-0.0688,-0.084,-0.6618,0.9922,0.9078,-0.0134,-0.5814,-0.5474,-1,-0.9224,-0.1408,0.5304,-0.0336,-0.5102,-0.6768,0.1682,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.2178,-0.6664,-0.7732,-0.0986,-1,0.2372,-0.3216,-0.486,-0.457,-1,0.832,-0.0718,0.014,-0.8408,-0.2656,-0.6028,-0.9522,-0.9152,-0.1768,0.087,0.3122,0.0666,-0.679,-1,-0.4978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-0.2556,-1,-1,-0.3462,-1,-1,-0.1554,0.1012,-0.0682,-1,-1,-1,-0.283,-1,0.205,-0.5548,-1,-1,-1,0.4047,-0.305,0.2183,-0.7232,-0.7932,-0.0946,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.4246,-0.2158,0.5948,-0.7026,0.7894,-0.0468,-0.0416,0.0596000000000001,-0.7662,0.9842,0.2522,-0.205,-0.5094,-0.3032,-1,-0.5498,0.1512,0.4848,-0.1914,-0.9648,-0.6998,-0.0802,-1,-1,-0.567,0.0873999999999999,-0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.2736,0.0234000000000001,0.8052,-0.4772,0.9206,0.3048,0.1198,0.3716,-0.4612,0.9946,0.8492,-0.00339999999999996,-0.2324,0.0946,-1,-0.3236,0.427,0.746,0.1422,-0.8644,-0.8096,0.0506,-1,-1,-0.7752,0.3082,-0.2032,-0.9924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.4592,-0.4242,-0.3418,-0.1854,-0.0911999999999999,-0.0242,-0.3522,-0.5056,-0.4634,0.5592,0.601,-0.0894,-0.4224,-0.7844,-0.5676,-0.708,-0.6622,-0.3338,-0.1366,-0.455,-0.341,-0.3346,-0.9272,-1,-0.8164,-0.9148,-0.5286,-0.4408,-0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.9858,0.8032,0.7394,0.4548,0.8276,0.9254,0.3908,0.721,0.8064,0.974,0.795,0.4924,0.6408,0.9514,0.8785,0.7826,0.9594,0.744,0.813,0.7624,0.6234,0.8783,0.4962,0.2266,0.7578,0.851,0.3112,0.7392,0.8036,0.7182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.9132,0.8998,0.951,0.042,0.988,0.5702,-0.1916,0.3286,-0.0542,0.9898,1,0.4234,0.8884,0.8308,0.6686,0.7236,0.9308,0.7778,0.809,0.8778,0.9236,0.9002,0.4648,-1,0.9544,0.4466,0.7602,0.9602,0.991,0.5618,-0.7812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0.9998,-1,-1,-1,0.9998,-1,-1,1,-1,-1,-1,-1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.9946,0.9558,0.9922,-1,1,0.6882,0.8344,0.8086,0.3894,1,0.991,-0.249,-1,-1,-1,-1,0.9146,0.9912,0.914,-1,-1,0.9792,-1,-1,-1,0.568,-1,-1,-0.0102,-1,0.9328,0.9998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.2078,-0.4668,-0.9194,-0.9084,-0.1628,0.3176,-0.823,-1,-0.2002,-1,-1,-0.9176,-0.6958,0.1278,-0.291,-0.204,-0.1738,-0.6996,-0.2444,-0.2942,-0.3036,-0.1904,-0.56,-0.6244,-0.3266,-0.3956,-0.4532,-0.2874,-0.1272,-0.2886,-0.4876,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
