RCBC,site1,site2
-0.3568,1,47
-0.8798,1,46
-0.8482,1,45
-0.9092,1,44
-0.5026,1,43
-0.9152,1,42
-0.9964,1,41
-0.9574,1,40
-0.474,1,39
-0.598,1,38
-0.9996,1,37
-0.4706,1,36
-0.5878,1,35
-0.6786,1,34
-0.912,1,33
1,1,32
0.9982,1,31
0.9988,1,30
-0.8126,1,29
-0.9992,1,28
0.9986,1,27
0.938,1,26
-0.9828,1,25
-0.9982,1,24
-1,1,23
-0.623,1,22
0.6452,1,21
-0.868,1,20
-0.9426,1,19
-0.9886,1,18
-0.1524,1,17
-0.9432,1,16
0.5128,1,15
-0.2786,1,14
-0.9962,1,13
-0.9892,1,12
0.256,1,11
-0.9674,1,10
-0.8614,1,9
-0.9668,1,8
-0.9338,1,7
-0.4498,1,6
-0.9022,1,5
-0.9856,1,4
-0.684,1,3
-0.9998,1,2
0.9118,10,21
-0.9994,10,20
-1,10,19
-1,10,18
-0.891,10,17
-0.7238,10,16
0.6074,10,15
-0.962,10,14
-0.9688,10,13
-0.999,10,12
-0.3606,10,11
-1,9,60
-0.8612,9,59
-0.2772,9,58
-0.5144,9,57
-0.5816,9,56
-0.8678,9,55
-0.9998,9,54
-0.998,9,53
0.1696,9,52
-0.955,9,51
-0.999,9,50
-0.9726,9,49
-0.7594,9,48
0.9174,9,47
-0.3792,9,46
-0.5638,9,45
-1,9,44
-0.9974,9,43
-1,9,42
-0.8816,9,41
-0.9854,9,40
-0.9036,9,39
-0.3748,9,38
-0.8578,9,37
0.7882,9,36
0.9166,9,35
-0.5952,9,34
-0.286,9,33
1,9,32
0.9776,9,31
0.9838,9,30
-0.9996,9,29
-0.9996,9,28
0.69,9,27
1,9,26
0.584,11,18
0.785,11,17
0.6096,11,16
0.945,11,15
0.923,11,14
0.739,11,13
-0.3494,11,12
-0.9946,10,60
-0.9998,10,59
-0.5586,10,58
-0.9886,10,57
-0.9798,10,56
-0.9588,10,55
-0.9574,10,54
-1,10,53
-0.805,10,52
-0.4878,10,51
-0.9904,10,50
-1,10,49
