RCBC,site1,site2
0.9874,1,47
0.716,1,46
0.9762,1,45
-1,1,44
0.7566,1,43
0.9452,1,42
0.9942,1,41
1,1,40
0.8936,1,39
1,1,38
0.3062,1,37
0.9974,1,36
0.9598,1,35
0.9996,1,34
0.9628,1,33
-1,1,32
0.9972,1,31
0.9964,1,30
0.9986,1,29
0.988,1,28
1,1,27
-0.2374,1,26
1,1,25
0.999,1,24
-0.1172,1,23
0.999,1,22
0.969,1,21
0.999,1,20
0.9978,1,19
0.9994,1,18
0.7472,1,17
-0.2222,1,16
-0.2676,1,15
0.6884,1,14
1,1,13
1,1,12
0.9152,1,11
1,1,10
0.8884,1,9
0.996,1,8
0.9946,1,7
0.2634,1,6
1,1,5
0.979,1,4
0.6814,1,3
0.997,1,2
1,10,21
1,10,20
1,10,19
1,10,18
1,10,17
-1,10,16
-1,10,15
0.9948,10,14
1,10,13
1,10,12
1,10,11
0.5606,9,60
0.9066,9,59
-0.3838,9,58
0.9198,9,57
1,9,56
0.961,9,55
0.7276,9,54
0.9636,9,53
0.1008,9,52
0.7736,9,51
0.9566,9,50
0.9384,9,49
-0.3754,9,48
0.984,9,47
0.9948,9,46
0.9994,9,45
-1,9,44
0.2108,9,43
0.9472,9,42
0.9282,9,41
1,9,40
0.905,9,39
0.9042,9,38
-1,9,37
0.9278,9,36
0.9966,9,35
0.998,9,34
-0.0698,9,33
-1,9,32
-0.3486,9,31
-1,9,30
-1,9,29
0.9208,9,28
0.9106,9,27
-0.5978,9,26
0.999,11,18
0.8254,11,17
-0.4886,11,16
-0.9864,11,15
0.3616,11,14
0.9674,11,13
0.7546,11,12
1,10,60
1,10,59
-1,10,58
1,10,57
1,10,56
1,10,55
1,10,54
1,10,53
-1,10,52
1,10,51
1,10,50
1,10,49
1,10,48
1,10,47
1,10,46
1,10,45
-1,10,44
1,10,43
1,10,42
1,10,41
1,10,40
1,10,39
1,10,38
-1,10,37
1,10,36
0.992,10,35
1,10,34
-1,10,33
-1,10,32
1,10,31
1,10,30
1,10,29
1,10,28
1,10,27
