RCBC,site1,site2
-1,1,46
0.0754999999999999,1,45
-1,1,44
0.1197,1,43
-1,1,42
0.6646,1,41
0.0700000000000001,1,40
0.437,1,39
0.8791,1,38
-1,1,37
0.2413,1,36
-1,1,35
-1,1,34
-0.9226,1,33
-1,1,32
0.0782,1,31
0.0425,1,30
-0.926,1,29
0.7029,1,28
0.1585,1,27
0.3606,1,26
0.205,1,25
-1,1,24
-1,1,23
0.1267,1,22
0.5243,1,21
-1,1,20
0.2038,1,19
-1,1,18
0.405,1,17
-1,1,16
-1,1,15
-1,1,14
0.1224,1,13
-0.9156,1,12
0.9441,1,11
0.4014,1,10
-0.9114,1,9
-1,1,8
-1,1,7
0.7744,1,6
-1,1,5
-1,1,4
0.3159,1,3
-1,1,2
-0.9916,10,19
0.916,10,18
0.5832,10,17
-0.6888,10,16
-0.0806,10,15
-1,10,14
-1,10,13
0.403,10,12
0.7792,10,11
-1,9,49
-0.6344,9,48
-1,9,47
-1,9,46
0.0795999999999999,9,45
-1,9,44
0.1228,9,43
-1,9,42
0.6654,9,41
0.0854999999999999,9,40
0.4348,9,39
0.8896,9,38
-1,9,37
0.2462,9,36
-1,9,35
-1,9,34
-0.9174,9,33
-1,9,32
0.0798000000000001,9,31
0.0427999999999999,9,30
-0.919,9,29
0.7021,9,28
0.1651,9,27
0.3648,9,26
0.2023,9,25
-0.7872,9,24
-1,9,23
0.1255,9,22
0.5193,9,21
-1,9,20
0.1996,9,19
-1,9,18
0.4024,9,17
-1,9,16
-0.9418,9,15
-1,9,14
0.7834,11,26
0.6182,11,25
0.7186,11,24
1,11,23
-1,11,22
-1,11,21
-0.6988,11,20
-1,11,19
1,11,18
-1,11,17
-0.004,11,16
0.9254,11,15
1,11,14
0.6964,11,13
0.9427,11,12
0.9382,10,49
-0.9244,10,48
0.6914,10,47
0.917,10,46
-1,10,45
0.953,10,44
-0.9166,10,43
0.9784,10,42
0.2068,10,41
-0.765,10,40
-0.0138,10,39
0.9522,10,38
1,10,37
-0.9742,10,36
1,10,35
1,10,34
0.3979,10,33
0.2666,10,32
-0.8332,10,31
-0.884,10,30
0.4019,10,29
0.0651999999999999,10,28
-0.9282,10,27
-0.669,10,26
-0.9872,10,25
-0.8144,10,24
0.5646,10,23
0.6072,10,22
0.3868,10,21
0.6386,10,20
-1,12,34
-0.9084,12,33
0.6294,12,32
0.0832999999999999,12,31
0.0397000000000001,12,30
-0.9152,12,29
0.7066,12,28
0.162,12,27
0.3611,12,26
0.2028,12,25
-0.7924,12,24
-1,12,23
0.123,12,22
0.5204,12,21
-1,12,20
0.203,12,19
-1,12,18
0.397,12,17
-1,12,16
-0.9432,12,15
-1,12,14
0.1253,12,13
-0.6822,11,49
0.506,11,48
0.8584,11,47
1,11,46
-1,11,45
1,11,44
-1,11,43
1,11,42
0.8436,11,41
-1,11,40
-1,11,39
0.999,11,38
1,11,37
0.7758,11,36
0.8566,11,35
1,11,34
0.9469,11,33
0.9724,11,32
0.8532,11,31
0.873,11,30
0.9468,11,29
0.995,11,28
-1,11,27
-0.9978,13,43
0.6922,13,42
-0.4032,13,41
-0.9818,13,40
-0.66,13,39
-1,13,38
-1,13,37
-0.9966,13,36
0.771,13,35
-1,13,34
0.1268,13,33
-1,13,32
-0.9666,13,31
-0.9532,13,30
0.1241,13,29
-1,13,28
-0.988,13,27
-1,13,26
-1,13,25
-0.9612,13,24
-1,13,23
-0.3402,13,22
0.1974,13,21
-1,13,20
-0.9916,13,19
-1,13,18
-0.274,13,17
-0.9448,13,16
0.2369,13,15
-1,13,14
-1,12,49
-0.6398,12,48
-1,12,47
-1,12,46
0.0806,12,45
-1,12,44
0.1245,12,43
-1,12,42
0.6728,12,41
0.0817000000000001,12,40
0.446,12,39
0.8759,12,38
-1,12,37
0.2472,12,36
-1,12,35
-0.5134,15,19
0.7098,15,18
0.6559,15,17
-0.6388,15,16
-1,14,49
-1,14,48
1,14,47
1,14,46
-1,14,45
1,14,44
-1,14,43
1,14,42
1,14,41
-1,14,40
-1,14,39
1,14,38
1,14,37
-1,14,36
1,14,35
1,14,34
1,14,33
1,14,32
-1,14,31
1,14,30
1,14,29
1,14,28
-1,14,27
-1,14,26
-1,14,25
-1,14,24
1,14,23
-1,14,22
-1,14,21
1,14,20
-1,14,19
1,14,18
1,14,17
-1,14,16
-1,14,15
0.7624,13,49
-0.8972,13,48
0.7768,13,47
0.8344,13,46
-0.813,13,45
0.7478,13,44
-0.833,16,31
-0.937,16,30
-0.3912,16,29
0.0329999999999999,16,28
-0.7734,16,27
-0.9882,16,26
-0.7518,16,25
-1,16,24
0.623,16,23
0.6652,16,22
0.4282,16,21
0.2172,16,20
-0.6594,16,19
0.7264,16,18
0.3908,16,17
0.2326,15,49
-0.8048,15,48
-1,15,47
-1,15,46
-0.8602,15,45
-1,15,44
0.2265,15,43
0.7832,15,42
0.8936,15,41
0.1554,15,40
0.6976,15,39
0.9894,15,38
-1,15,37
-0.4226,15,36
0.6744,15,35
-1,15,34
-0.9496,15,33
0.537,15,32
0.1602,15,31
0.0860000000000001,15,30
-0.9632,15,29
0.9207,15,28
0.3021,15,27
0.6068,15,26
0.3596,15,25
-0.9664,15,24
-1,15,23
0.2325,15,22
0.7844,15,21
0.3818,15,20
0.9566,17,44
-0.3538,17,43
0.297,17,42
0.983,17,41
0.1276,17,40
0.0416000000000001,17,39
0.9762,17,38
1,17,37
-0.0248,17,36
0.9984,17,35
1,17,34
0.4022,17,33
0.9988,17,32
0.1122,17,31
0.3953,17,30
0.3936,17,29
0.9186,17,28
-0.0422,17,27
0.3288,17,26
0.0946,17,25
0.8013,17,24
1,17,23
-1,17,22
0.584,17,21
0.4244,17,20
0.2302,17,19
0.9072,17,18
0.2876,16,49
-0.744,16,48
0.7048,16,47
0.8166,16,46
-1,16,45
-0.0436,16,44
-0.946,16,43
0.2236,16,42
-0.8566,16,41
-0.8298,16,40
-0.654,16,39
0.2622,16,38
-1,16,37
-0.733,16,36
0.2462,16,35
-1,16,34
-0.3304,16,33
-0.0754,16,32
-0.3658,19,28
-0.983,19,27
-0.8482,19,26
-0.9708,19,25
-0.97,19,24
0.018,19,23
0.00520000000000009,19,22
0.3616,19,21
-0.226,19,20
0.8506,18,49
0.127,18,48
0.9816,18,47
1,18,46
0.7054,18,45
0.9998,18,44
-1,18,43
1,18,42
0.5458,18,41
-1,18,40
0.00380000000000003,18,39
0.805,18,38
0.9998,18,37
-0.1084,18,36
0.8146,18,35
1,18,34
0.7562,18,33
0.8306,18,32
-1,18,31
0.7286,18,30
0.757,18,29
0.9534,18,28
-1,18,27
0.8942,18,26
-1,18,25
0.3844,18,24
0.997,18,23
0.3822,18,22
0.3546,18,21
-0.4488,18,20
0.3468,18,19
0.784,17,49
-0.7552,17,48
0.9294,17,47
1,17,46
-0.332,17,45
-1,2,44
0.0174000000000001,2,43
0.9534,2,42
-0.8082,2,41
0.1654,2,40
-0.5896,2,39
-0.3586,2,38
1,2,37
0.619,2,36
0.3792,2,35
1,2,34
0.453,2,33
-0.5678,2,32
0.1306,2,31
-0.4092,2,30
0.438,2,29
-0.795,2,28
0.466,2,27
0.843,2,26
0.6036,2,25
0.2934,2,24
0.692,2,23
0.8744,2,22
1,2,21
0.908,2,20
0.4422,2,19
0.4668,2,18
0.999,2,17
-0.288,2,16
-1,2,15
-1,2,14
0.0506,2,13
0.3564,2,12
0.8002,2,11
0.9348,2,10
0.4298,2,9
1,2,8
0.8896,2,7
1,2,6
0.8968,2,5
-1,2,4
0.9674,2,3
-1,1,49
-1,1,48
-1,1,47
0.7612,20,44
-1,20,43
0.9814,20,42
0.8656,20,41
-1,20,40
-0.6196,20,39
0.6266,20,38
1,20,37
-0.3514,20,36
0.9018,20,35
1,20,34
0.5074,20,33
0.8958,20,32
0.2186,20,31
0.2056,20,30
0.4976,20,29
0.3104,20,28
-0.4526,20,27
0.6184,20,26
-0.592,20,25
-0.1378,20,24
0.983,20,23
-0.1506,20,22
0.9498,20,21
0.8482,19,49
-0.9908,19,48
0.7524,19,47
0.8764,19,46
-1,19,45
0.6172,19,44
-0.9246,19,43
0.8642,19,42
-0.485,19,41
-0.9648,19,40
-0.1948,19,39
0.353,19,38
-1,19,37
-0.997,19,36
0.8696,19,35
-1,19,34
0.2027,19,33
0.0588,19,32
-0.992,19,31
-0.9882,19,30
0.1994,19,29
-1,22,34
0.1245,22,33
0.9642,22,32
-0.5142,22,31
0.1206,22,30
0.1241,22,29
0.8946,22,28
-0.1682,22,27
0.512,22,26
0.000599999999999934,22,25
0.3339,22,24
0.9878,22,23
0.3638,21,49
-0.48,21,48
-0.271,21,47
1,21,46
-0.11,21,45
1,21,44
-0.0684,21,43
0.1636,21,42
0.9322,21,41
0.3768,21,40
-0.1372,21,39
0.9986,21,38
1,21,37
0.2528,21,36
0.9968,21,35
1,21,34
0.5263,21,33
0.9966,21,32
0.3914,21,31
0.5162,21,30
0.5198,21,29
0.9588,21,28
-0.0432,21,27
0.6732,21,26
0.4448,21,25
0.9023,21,24
0.9998,21,23
-0.6788,21,22
0.679,20,49
-0.529,20,48
0.9764,20,47
1,20,46
0.3926,20,45
-0.0276,24,28
-0.9356,24,27
-0.7382,24,26
-0.9142,24,25
0.9858,23,49
-1,23,48
1,23,47
1,23,46
-1,23,45
1,23,44
-1,23,43
1,23,42
1,23,41
-1,23,40
-0.186,23,39
0.987,23,38
1,23,37
-1,23,36
0.9998,23,35
1,23,34
0.7616,23,33
0.999,23,32
-1,23,31
0.7282,23,30
0.763,23,29
0.9994,23,28
-1,23,27
0.8568,23,26
-1,23,25
-1,23,24
-1,22,49
-0.051,22,48
-1,22,47
0.8606,22,46
-0.6458,22,45
-1,22,44
-0.3456,22,43
-1,22,42
0.8638,22,41
-0.53,22,40
0.423,22,39
-1,22,38
1,22,37
0.1422,22,36
-1,22,35
0.8734,25,49
-0.7534,25,48
0.9046,25,47
0.9358,25,46
-0.6868,25,45
0.859,25,44
-0.989,25,43
0.8514,25,42
-0.47,25,41
-0.9654,25,40
-0.465,25,39
-0.00480000000000003,25,38
-1,25,37
-0.9958,25,36
0.8682,25,35
-1,25,34
0.2025,25,33
-1,25,32
-0.9998,25,31
-0.982,25,30
0.2073,25,29
-0.7064,25,28
-0.986,25,27
-1,25,26
0.9128,24,49
-0.7484,24,48
-1,24,47
0.8726,24,46
-0.6818,24,45
-1,24,44
-0.9596,24,43
0.5924,24,42
-0.1196,24,41
-0.9444,24,40
0.1432,24,39
0.557,24,38
-1,24,37
-0.9556,24,36
0.547,24,35
-1,24,34
-0.8374,24,33
0.1104,24,32
-0.982,24,31
-0.993,24,30
-0.8518,24,29
0.7088,28,29
0.5936,27,49
-0.8312,27,48
0.658,27,47
0.812,27,46
-0.7494,27,45
0.649,27,44
-0.9822,27,43
0.5848,27,42
-1,27,41
-1,27,40
-0.611,27,39
0.163,27,38
-1,27,37
-0.9664,27,36
0.7734,27,35
-1,27,34
0.1625,27,33
-1,27,32
-0.9882,27,31
-0.9796,27,30
0.1614,27,29
-1,27,28
0.8004,26,49
-0.3448,26,48
0.9928,26,47
0.9262,26,46
-0.399,26,45
0.923,26,44
-1,26,43
0.879,26,42
0.0706,26,41
-1,26,40
-0.7916,26,39
0.7052,26,38
1,26,37
-0.957,26,36
0.927,26,35
1,26,34
0.3653,26,33
0.0406,26,32
-0.8922,26,31
-0.8982,26,30
0.3615,26,29
0.3908,26,28
-0.9548,26,27
-0.6036,3,43
-0.1226,3,42
0.4272,3,41
-0.0706,3,40
-0.2082,3,39
0.5324,3,38
1,3,37
-0.232,3,36
0.1084,3,35
-1,3,34
0.3302,3,33
0.776,3,32
-0.4008,3,31
0.3234,3,30
0.3298,3,29
0.4466,3,28
-0.3172,3,27
-0.2142,3,26
-0.1824,3,25
0.7093,3,24
0.9184,3,23
-0.2172,3,22
-0.9556,3,21
-0.5568,3,20
-0.0396,3,19
-0.3798,3,18
-0.7474,3,17
0.1726,3,16
0.5415,3,15
-1,3,14
-0.6262,3,13
0.3107,3,12
-1,3,11
0.099,3,10
0.3207,3,9
-1,3,8
-0.1166,3,7
-1,3,6
0.8912,3,5
-0.1186,3,4
0.8922,2,49
-0.2576,2,48
0.9928,2,47
-0.3878,2,46
-1,2,45
-1,30,36
0.7806,30,35
-1,30,34
0.0427999999999999,30,33
-1,30,32
-1,30,31
-1,29,49
-0.6238,29,48
-1,29,47
-1,29,46
0.0802,29,45
-1,29,44
0.1266,29,43
-1,29,42
0.679,29,41
0.0819000000000001,29,40
0.4382,29,39
0.8777,29,38
-1,29,37
0.2419,29,36
-1,29,35
-1,29,34
-0.9132,29,33
-1,29,32
0.0834999999999999,29,31
0.0375000000000001,29,30
-0.0536,28,49
-0.275,28,48
0.8748,28,47
0.9998,28,46
0.2854,28,45
0.9082,28,44
-1,28,43
0.9998,28,42
-0.9218,28,41
-1,28,40
-0.8294,28,39
0.873,28,38
0.9414,28,37
-0.79,28,36
-0.2178,28,35
1,28,34
0.709,28,33
0.7506,28,32
-1,28,31
0.3758,28,30
1,32,47
0.9998,32,46
0.5526,32,45
0.9756,32,44
-1,32,43
1,32,42
0.7188,32,41
-1,32,40
-1,32,39
0.967,32,38
1,32,37
-0.4894,32,36
0.9492,32,35
1,32,34
0.6416,32,33
0.7136,31,49
-0.9428,31,48
0.9044,31,47
0.9246,31,46
-0.8822,31,45
0.8788,31,44
-0.9714,31,43
0.8722,31,42
0.1208,31,41
-0.9928,31,40
-0.7338,31,39
-1,31,38
1,31,37
-0.9988,31,36
0.8272,31,35
-1,31,34
0.0799000000000001,31,33
0.3328,31,32
0.7737,30,49
-0.78,30,48
0.8802,30,47
0.8316,30,46
0.0835999999999999,30,45
-1,30,44
-0.9326,30,43
0.8348,30,42
-1,30,41
-0.9696,30,40
-0.5078,30,39
-1,30,38
-1,30,37
0.1034,35,48
0.9902,35,47
1,35,46
0.6696,35,45
0.6098,35,44
0.5164,35,43
0.4512,35,42
0.4398,35,41
-1,35,40
-1,35,39
0.3272,35,38
1,35,37
0.8882,35,36
1,34,49
-1,34,48
1,34,47
1,34,46
-1,34,45
1,34,44
-1,34,43
1,34,42
1,34,41
-1,34,40
-1,34,39
1,34,38
1,34,37
-1,34,36
-1,34,35
-1,33,49
-0.6166,33,48
-1,33,47
-1,33,46
0.0824,33,45
-1,33,44
0.1186,33,43
-1,33,42
0.6765,33,41
0.0788,33,40
0.442,33,39
0.877,33,38
-1,33,37
0.2463,33,36
-1,33,35
-1,33,34
0.1804,32,49
-0.2566,32,48
-0.3166,39,48
-1,39,47
-1,39,46
-0.2464,39,45
-1,39,44
-0.707,39,43
-1,39,42
-0.9906,39,41
-0.5186,39,40
0.8032,38,49
0.4462,38,48
0.9998,38,47
1,38,46
0.715,38,45
0.8512,38,44
-1,38,43
1,38,42
0.612,38,41
-1,38,40
-1,38,39
1,37,49
-1,37,48
1,37,47
1,37,46
-1,37,45
0.9994,37,44
-1,37,43
1,37,42
1,37,41
-1,37,40
-1,37,39
1,37,38
0.8394,36,49
-0.9996,36,48
0.9082,36,47
0.9478,36,46
-1,36,45
0.8754,36,44
-0.9778,36,43
0.902,36,42
-0.3108,36,41
-0.9444,36,40
-0.1966,36,39
-0.1142,36,38
1,36,37
0.8754,35,49
-0.6548,4,43
0.7994,4,42
0.671,4,41
-0.772,4,40
0.1934,4,39
0.9424,4,38
-1,4,37
-0.8522,4,36
0.5122,4,35
-1,4,34
-0.9244,4,33
0.5368,4,32
-0.7664,4,31
0.1271,4,30
-0.9312,4,29
0.7332,4,28
-0.5412,4,27
0.0092000000000001,4,26
-0.419,4,25
-0.9376,4,24
-1,4,23
-0.647,4,22
0.3752,4,21
0.3606,4,20
-0.895,4,19
0.7204,4,18
0.111,4,17
-1,4,16
-0.9746,4,15
-1,4,14
-0.6494,4,13
-0.9038,4,12
0.8034,4,11
-0.629,4,10
-0.9204,4,9
-1,4,8
-1,4,7
0.2798,4,6
-1,4,5
0.5662,3,49
-0.732,3,48
-1,3,47
0.9224,3,46
-0.4794,3,45
0.8144,3,44
-0.0654,48,49
0.6524,47,49
-1,47,48
1,46,49
0.0973999999999999,46,48
1,46,47
0.2202,45,49
-0.9448,45,48
-1,45,47
-1,45,46
0.9044,44,49
-1,44,48
0.996,44,47
1,44,46
-1,44,45
0.6058,43,49
-0.8978,43,48
-1,43,47
0.7102,43,46
-0.8134,43,45
-1,43,44
0.1198,42,49
0.3052,42,48
0.9996,42,47
1,42,46
0.788,42,45
1,42,44
0.5116,42,43
-0.3518,41,49
-0.4232,41,48
0.9834,41,47
1,41,46
0.229,41,45
0.174,41,44
-1,41,43
0.837,41,42
0.783,40,49
-0.8612,40,48
-1,40,47
0.7578,40,46
-0.8774,40,45
-1,40,44
-0.9836,40,43
-1,40,42
-1,40,41
-0.6686,39,49
0.9618,5,44
-0.2368,5,43
1,5,42
1,5,41
-1,5,40
-0.607,5,39
0.9026,5,38
1,5,37
-1,5,36
0.9998,5,35
1,5,34
0.476,5,33
0.967,5,32
-1,5,31
0.2202,5,30
0.4872,5,29
0.9798,5,28
-0.2662,5,27
-0.0926,5,26
-1,5,25
-1,5,24
0.9276,5,23
0.9192,5,22
1,5,21
0.9012,5,20
-1,5,19
0.9804,5,18
0.9992,5,17
-0.7262,5,16
-1,5,15
1,5,14
-1,5,13
0.4618,5,12
0.9978,5,11
-0.2872,5,10
0.4604,5,9
1,5,8
-0.0328000000000001,5,7
1,5,6
-0.056,4,49
-0.9884,4,48
-1,4,47
-1,4,46
-0.9704,4,45
-1,4,44
1,6,46
-1,6,45
1,6,44
0.2004,6,43
0.984,6,42
0.9862,6,41
0.3274,6,40
0.5344,6,39
1,6,38
1,6,37
0.6712,6,36
0.9996,6,35
1,6,34
0.7752,6,33
1,6,32
0.7592,6,31
0.5564,6,30
0.7776,6,29
0.9504,6,28
0.409,6,27
0.9146,6,26
0.7306,6,25
0.6818,6,24
1,6,23
-1,6,22
-0.6676,6,21
0.958,6,20
0.5544,6,19
0.9968,6,18
0.0129999999999999,6,17
