,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-M,711_P-3-D,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-M,712_P-2-D,712_P-3-S,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_10-14,715_P2_20-24,715_P3_1-5,715_P3_10-14,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_10-14,717_P3_20-24
711_P-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-M,0.924219451284217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-D,1.43181650519766,0.133132353354204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-S,1.2971450983955,1.73460407129085,0.767913355901502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-M,1.02837350566267,-0.14283180771003,-0.0922999346175833,1.54287250727138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-D,1.87901951950481,0.738452913885301,-1.26024120346638,1.5795876226921,2.22697027947479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-M,0.764457888091929,-1.25203813701054,0.783519963303084,1.27465682624462,-1.1191999843912,-0.00695468114849153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-D,0.75847961881303,2.14344396940231,-0.124452294769531,1.25763433995823,1.01238064640187,0.872758953272331,-0.205257208154335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-S,NA,0.924219451284217,1.43181650519766,1.2971450983955,1.02837350566267,1.87901951950481,0.764457888091929,0.75847961881303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-M,1.2641183423416,-1.16925309984323,0.457326498380044,1.50874998733802,-1.53028357860745,-0.450516511733991,0.981043597497563,0.123255520336027,1.2641183423416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-D,-0.282154494516023,0.788880138152462,-1.01306183244792,-0.557512057636547,1.22251549288523,1.94976226559282,-1.42638592690227,-0.450976669912309,-0.282154494516023,-0.955868014691444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-S,NA,0.924219451284217,1.43181650519766,1.2971450983955,1.02837350566267,1.87901951950481,0.764457888091929,0.75847961881303,NA,1.2641183423416,-0.282154494516023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-M,0.621724810388311,1.59268132281447,-0.350331574410866,0.350486227866806,0.994557079923088,-0.611386694248584,-0.622425055489568,1.02396188497068,0.621724810388311,-0.369592921911261,-0.212190230156568,0.621724810388311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-D,1.11148771238484,2.30307117611514,0.476832086128785,0.781456992151549,2.08055524496551,1.05570410298751,0.100650485435643,NA,1.11148771238484,-0.138269146721983,-0.37891028382728,1.11148771238484,0.206994651049013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-S,1.01992031438237,1.25687661082529,0.7874900618097,-0.887730865689262,1.07937847436678,1.70491520793011,0.185840003517597,1.01177435337657,1.01992031438237,0.874681652292838,-0.430914143317185,1.01992031438237,-0.0757567713574909,0.73939762847704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-M,1.01783298338322,-0.757158170667314,0.779414134597905,1.31066614600499,-1.11273762426924,0.209262563195729,-0.501096099118939,-0.0766280293162651,1.01783298338322,-0.774185261912444,-1.18490098318611,1.01783298338322,1.13997698318889,-0.0163700186200232,0.370796159592794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-D,1.28520090614162,-0.813965204977567,-0.688729115625676,1.24502113678992,-1.50494797129363,-0.898445192031724,-0.589078157648427,0.349123565025819,1.28520090614162,-0.680788124115282,-0.167688360555367,1.28520090614162,-0.457232344266631,1.07071371128047,1.15555011145772,-0.174690939068115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-1-X1,0.878555534438039,2.02073664951627,-1.63000989078082,1.24160339382058,1.14309350823827,-0.292241803780934,-1.30807127667036,-0.877971246089313,0.878555534438039,-0.473332021515977,-0.73941467561736,0.878555534438039,0.923801752361601,0.00544115406713467,1.14090946069356,-0.891680212453804,-1.20352130808089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-M,0.861845542095356,2.39946294098414,0.0537628924370429,1.09818810064013,1.9921247725013,0.00577152716537526,1.05167322015888,2.07045755312461,0.861845542095356,1.66270381934118,0.698600609284477,0.861845542095356,-1.01153516098822,1.29213038190758,0.711535216238437,1.67936141982706,0.405892494211947,1.7329199744854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-X1,1.20615605586549,1.73234776630845,-1.77321899250345,0.535706322273681,0.467195892068866,-0.411208610610364,-1.46416109656663,0.909610054780787,1.20615605586549,-0.905112701230042,-0.521437480585682,1.20615605586549,0.0586254733493916,1.43875260099588,0.708413759896784,-1.24936449067676,-1.46588401135179,2.27863497921334,0.945152834284719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_20-24,-0.572613031377125,1.25643772520028,0.574146618937188,0.0764423359474925,1.35439363139419,0.376881732158003,0.95753951321355,-0.354050373254454,-0.572613031377125,0.993059601369586,-1.03893490522171,-0.572613031377125,-0.452589559692536,1.14283841605776,-0.205654427762769,1.25173354332039,0.874512882206356,-1.64971564297415,0.0415254387910366,-1.55032447489129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_30-34,0.687559489678747,-2.14589700970943,-0.612611902299009,0.731018770114627,-2.19978511197379,-1.94326402617773,-1.50121251108248,-1.27923134338465,0.687559489678747,-1.48337688505554,-2.42098851653782,0.687559489678747,0.114101394953949,-1.44279331424725,0.556535306121353,-1.1362207359706,-1.8914373590378,-2.5383435512384,0.0964661022903393,-2.99607830318821,-0.133362301946469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_30-34,0.780622691474339,-0.0404619404057607,-0.537337746243246,1.51282649270171,-0.333207590725906,1.38143193065269,-1.37984855497789,1.66776533218584,0.780622691474339,-1.51148053915247,0.442595173110255,0.780622691474339,1.05191924906637,1.69305908626339,1.23493302917241,-1.31034847504109,-2.02424121273661,1.54604144807094,1.69235679205808,-0.537533527901882,0.581903013262057,-2.47664223298336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
