RCBC,site1,site2
0.611,1,46
0.6802,1,45
0.7914,1,44
-0.7414,1,43
0.9314,1,42
0.6498,1,41
0.9898,1,40
-0.3692,1,39
0.7044,1,38
0.5802,1,37
-0.9918,1,36
-0.9998,1,35
0.2164,1,34
0.0826,1,33
-0.9324,1,32
-0.959,1,31
0.9066,1,30
-0.0772,1,29
-0.996,1,28
-0.1176,1,27
-0.1552,1,26
-0.9954,1,25
-0.9998,1,24
0.5928,1,23
0.2609,1,22
0.8088,1,21
0.5372,1,20
0.529,1,19
0.7204,1,18
0.873,1,17
-0.9554,1,16
0.794,1,15
-0.1496,1,14
-0.8822,1,13
0.4952,1,12
0.5536,1,11
-0.9254,1,10
0.8612,1,9
0.9398,1,8
-0.7376,1,7
0.502,1,6
0.3148,1,5
-0.7364,1,4
0.4496,1,3
0.8226,1,2
-0.5602,10,36
-0.9868,10,35
0.1532,10,34
-0.791,10,33
-0.9732,10,32
-0.9682,10,31
-0.2272,10,30
0.3174,10,29
-0.8888,10,28
0.645,10,27
0.0966,10,26
-0.962,10,25
-1,10,24
-0.5514,10,23
0.2161,10,22
0.7544,10,21
0.3924,10,20
-0.2854,10,19
0.8548,10,18
0.6894,10,17
-0.8668,10,16
-0.167,10,15
-0.1476,10,14
-1,10,13
0.4816,10,12
0.5324,10,11
1,9,53
1,9,52
0.105,9,51
0.9998,9,50
1,9,49
1,9,48
0.9988,9,47
1,9,46
0.9814,9,45
1,9,44
1,9,43
1,9,42
-0.976,9,41
1,9,40
1,9,39
0.9988,9,38
0.8824,9,37
0.9492,9,36
0.6496,9,35
0.9258,9,34
1,11,40
0.9944,11,39
1,11,38
1,11,37
-0.2598,11,36
0.915,11,35
0.9998,11,34
0.994,11,33
-1,11,32
0.4492,11,31
1,11,30
0.9988,11,29
-0.4292,11,28
1,11,27
0.934,11,26
0.2784,11,25
-0.038,11,24
1,11,23
0.818,11,22
0.997,11,21
0.927,11,20
0.7654,11,19
0.9426,11,18
1,11,17
0.1126,11,16
1,11,15
1,11,14
0.5458,11,13
0.9998,11,12
0.2128,10,53
-0.7906,10,52
-0.935,10,51
-0.5886,10,50
-0.3826,10,49
-0.0998,10,48
-0.6514,10,47
0.87,10,46
-0.4804,10,45
0.239,10,44
0.369,10,43
0.988,10,42
0.7776,10,41
0.6632,10,40
-0.761,10,39
-0.5428,10,38
-0.7812,10,37
0.511,12,45
0.2286,12,44
0.9998,12,43
0.9602,12,42
-0.4312,12,41
-1,12,40
1,12,39
0.9556,12,38
-0.9866,12,37
0.741,12,36
0.0716000000000001,12,35
-0.3774,12,34
0.9844,12,33
0.3618,12,32
0.6012,12,31
0.9328,12,30
0.9988,12,29
0.1536,12,28
-0.0584,12,27
0.7898,12,26
0.0648,12,25
-0.5014,12,24
-0.5664,12,23
0.4361,12,22
0.9576,12,21
-0.4128,12,20
0.9998,12,19
0.1606,12,18
0.956,12,17
0.6398,12,16
-0.7882,12,15
0.912,12,14
0.6574,12,13
1,11,53
0.8836,11,52
0.00299999999999989,11,51
1,11,50
1,11,49
-0.5952,11,48
1,11,47
1,11,46
1,11,45
1,11,44
0.9948,11,43
0.9986,11,42
0.8778,11,41
-0.8506,13,51
-0.6048,13,50
-0.7988,13,49
-0.2452,13,48
-0.3984,13,47
