RCBC,site1,site2
0.9902,1,46
-1,1,45
0.9942,1,44
-1,1,43
-0.5776,1,42
0.9992,1,41
0.9564,1,40
0.4126,1,39
-1,1,38
0.9998,1,37
0.9926,1,36
-1,1,35
0.9726,1,34
0.9786,1,33
0.2962,1,32
0.996,1,31
0.998,1,30
0.9932,1,29
-0.3332,1,28
0.9026,1,27
0.951,1,26
0.877,1,25
0.9216,1,24
0.7996,1,23
0.9196,1,22
-0.0764,1,21
0.2862,1,20
0.9998,1,19
0.2736,1,18
0.4356,1,17
-0.514,1,16
0.9684,1,15
-1,1,14
0.9884,1,13
0.9976,1,12
0.353,1,11
0.4514,1,10
0.9558,1,9
-0.261,1,8
0.308,1,7
0.7032,1,6
0.4244,1,5
0.7108,1,4
0.9714,1,3
-0.249,1,2
0.9084,10,46
-1,10,45
-0.3996,10,44
-1,10,43
-0.3776,10,42
0.8408,10,41
0.6418,10,40
-0.2254,10,39
-0.7414,10,38
0.6684,10,37
0.9748,10,36
-0.504,10,35
0.6364,10,34
0.5164,10,33
0.012,10,32
0.8134,10,31
0.7188,10,30
0.947,10,29
-0.8844,10,28
0.728,10,27
0.8774,10,26
-0.1602,10,25
-0.4906,10,24
-0.4342,10,23
0.1584,10,22
-0.3694,10,21
-0.435,10,20
0.9016,10,19
-0.467,10,18
-0.2106,10,17
-0.99,10,16
0.6944,10,15
-0.2374,10,14
0.8198,10,13
0.9236,10,12
-0.2934,10,11
-1,9,51
0.9442,9,50
0.9566,9,49
0.5394,9,48
-1,9,47
1,9,46
-1,9,45
0.9806,9,44
-1,9,43
-1,11,51
-1,11,50
-1,11,49
-0.953,11,48
-1,11,47
-1,11,46
-1,11,45
-1,11,44
-1,11,43
-1,11,42
-1,11,41
0.0529999999999999,11,40
-0.9546,11,39
-1,11,38
-1,11,37
-1,11,36
-1,11,35
-1,11,34
-1,11,33
-1,11,32
-1,11,31
-1,11,30
-1,11,29
-1,11,28
-1,11,27
-1,11,26
-1,11,25
-1,11,24
-1,11,23
-1,11,22
-1,11,21
-0.9566,11,20
-1,11,19
-0.951,11,18
-0.9512,11,17
-1,11,16
-1,11,15
-1,11,14
-1,11,13
-1,11,12
-0.0726,10,51
0.6738,10,50
0.8336,10,49
-0.2916,10,48
-0.6516,10,47
1,13,19
0.0484,13,18
0.303,13,17
0.2106,13,16
1,13,15
0.6366,13,14
0.9882,12,51
1,12,50
0.991,12,49
0.7184,12,48
-1,12,47
1,12,46
-1,12,45
0.9998,12,44
-1,12,43
0.9954,12,42
1,12,41
1,12,40
0.7694,12,39
-1,12,38
1,12,37
1,12,36
-1,12,35
0.9974,12,34
0.9974,12,33
0.9856,12,32
0.9956,12,31
0.9998,12,30
1,12,29
0.5928,12,28
0.9916,12,27
0.9886,12,26
0.9926,12,25
0.9926,12,24
0.9974,12,23
0.9776,12,22
0.801,12,21
0.5794,12,20
1,12,19
0.5422,12,18
0.7942,12,17
0.2244,12,16
1,12,15
-1,12,14
0.9238,12,13
0.5118,14,27
0.6846,14,26
-0.1036,14,25
0.1196,14,24
-1,14,23
0.326,14,22
-0.995,14,21
-0.957,14,20
0.6932,14,19
-0.9568,14,18
-0.9414,14,17
-0.5044,14,16
0.8058,14,15
0.6452,13,51
1,13,50
-0.8906,13,49
0.2748,13,48
0.897,13,47
1,13,46
0.4928,13,45
0.9998,13,44
-1,13,43
0.6834,13,42
1,13,41
0.9986,13,40
0.3128,13,39
0.6014,13,38
1,13,37
1,13,36
0.6178,13,35
0.9292,13,34
0.924,13,33
0.3288,13,32
0.9946,13,31
0.9694,13,30
0.9902,13,29
-0.4678,13,28
0.9776,13,27
1,13,26
0.1784,13,25
-0.1614,13,24
0.5292,13,23
0.9104,13,22
0.6656,13,21
0.1036,13,20
1,15,37
0.9866,15,36
0.5684,15,35
0.9994,15,34
0.9998,15,33
-1,15,32
1,15,31
1,15,30
1,15,29
-1,15,28
0.9804,15,27
0.9672,15,26
0.9992,15,25
1,15,24
1,15,23
0.9936,15,22
0.7682,15,21
0.6444,15,20
0.993,15,19
0.6388,15,18
0.8144,15,17
0.7154,15,16
-0.5798,14,51
0.622,14,50
-1,14,49
-0.9462,14,48
-0.9452,14,47
0.6384,14,46
-0.97,14,45
-1,14,44
-0.9746,14,43
-0.4528,14,42
0.726,14,41
0.3984,14,40
-0.9394,14,39
-0.9788,14,38
0.6216,14,37
0.7646,14,36
-0.9848,14,35
-1,14,34
-1,14,33
-0.737,14,32
0.7136,14,31
-1,14,30
-1,14,29
-0.8316,14,28
-0.5926,16,48
-0.7934,16,47
0.7842,16,46
-1,16,45
-0.1514,16,44
-1,16,43
-0.8318,16,42
-0.3246,16,41
-0.4706,16,40
-0.5398,16,39
-0.828,16,38
-0.1458,16,37
0.6754,16,36
-0.5482,16,35
-0.8626,16,34
-0.5442,16,33
-0.62,16,32
0.6382,16,31
-0.4048,16,30
0.8544,16,29
-0.9012,16,28
0.309,16,27
0.6976,16,26
-0.9446,16,25
-0.903,16,24
-0.9746,16,23
-0.9348,16,22
-0.465,16,21
-0.7542,16,20
0.817,16,19
-0.7604,16,18
-0.4966,16,17
-1,15,51
0.9658,15,50
0.9998,15,49
0.7992,15,48
-1,15,47
0.9726,15,46
-1,15,45
0.997,15,44
-1,15,43
-0.019,15,42
1,15,41
0.792,15,40
0.815,15,39
-1,15,38
-1,18,27
-1,18,26
-1,18,25
-1,18,24
-1,18,23
-1,18,22
-1,18,21
-0.9516,18,20
-1,18,19
-1,17,51
-1,17,50
-1,17,49
-0.9506,17,48
-1,17,47
-1,17,46
-1,17,45
-1,17,44
-1,17,43
-1,17,42
-1,17,41
-1,17,40
-0.953,17,39
-1,17,38
-1,17,37
-1,17,36
-1,17,35
-1,17,34
-1,17,33
-1,17,32
-1,17,31
-1,17,30
-1,17,29
-1,17,28
-1,17,27
-1,17,26
-1,17,25
-1,17,24
