,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-M,712_P-2-D,712_P-3-S,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P3_1-5,715_P3_10-14,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_10-14,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24
711_P-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-M,1.08333077130842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-D,0.105742419117786,1.04997858984033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-S,-0.0839759833973043,0.235436782897401,-0.7120554550005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-M,0.199195900952414,0.857541282489965,-0.141405645839668,-0.651987621495589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-D,0.502542541258308,0.120425207431223,2.95824577511604,-1.10931988612319,-0.117228998233234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-S,-0.0839759833973043,0.235436782897401,-0.7120554550005,NA,-0.651987621495589,-1.10931988612319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-M,0.818138132286696,-0.33996089417079,0.432600314458573,0.255406548167605,0.381277422159457,0.0697264587109221,0.255406548167605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-D,1.49077086003665,-0.728996501307846,0.0840741047942718,0.682265775136624,-0.00144124189562193,2.46560733616811,0.682265775136624,-0.825345908293796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-S,-0.0758723798070546,0.939342695518133,0.643037471169909,-0.57255428421264,-0.690403467159813,1.34026469317458,-0.57255428421264,0.700974123358742,0.111440591593114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
