RCBC,site1,site2
0.341,11,25
-0.4208,11,24
-0.8098,11,23
0.5735,11,22
0.1872,11,21
-0.7574,11,20
-0.5196,11,19
-0.521,11,18
0.3356,11,17
-0.575,11,16
-0.8516,11,15
0.5806,11,14
-0.7982,11,13
-0.1498,11,12
0.8906,10,30
0.8768,10,29
1,10,28
0.5662,10,27
0.649,10,26
0.882,10,25
0.9996,10,24
0.722,10,23
0.8398,10,22
0.718,10,21
-1,10,20
0.4308,10,19
0.8302,10,18
0.8768,10,17
0.3006,10,16
0.0755999999999999,10,15
0.531,10,14
0.1,10,13
0.8906,10,12
0.756,10,11
0.8018,9,30
0.7411,9,29
0.9968,9,28
0.2208,9,27
-0.3228,9,26
0.7387,9,25
0.9988,9,24
0.583,9,23
0.6088,9,22
-0.7146,9,21
0.422,14,18
0.1199,14,17
0.1075,14,16
0.1184,14,15
-0.6974,13,30
0.0569999999999999,13,29
-1,13,28
-0.7124,13,27
-1,13,26
0.0602,13,25
-1,13,24
-0.7554,13,23
0.12,13,22
-1,13,21
-1,13,20
-0.8824,13,19
-1,13,18
0.0572999999999999,13,17
-0.8792,13,16
-0.8918,13,15
0.1147,13,14
0.7648,12,30
0.2894,12,29
0.5522,12,28
0.7655,12,27
0.7742,12,26
0.2936,12,25
0.6668,12,24
0.6442,12,23
0.4979,12,22
0.8914,12,21
0.6526,12,20
0.2829,12,19
0.7589,12,18
0.2854,12,17
0.2828,12,16
0.288,12,15
0.5017,12,14
0.2823,12,13
-0.7822,11,30
0.3527,11,29
-1,11,28
-0.5334,11,27
-0.7452,11,26
0.1775,17,20
0.0582,17,19
-0.715,17,18
-0.6944,16,30
0.0577000000000001,16,29
-1,16,28
-0.7104,16,27
-1,16,26
0.0558000000000001,16,25
-1,16,24
-0.7762,16,23
0.1096,16,22
-1,16,21
-1,16,20
-0.8948,16,19
-1,16,18
0.0601,16,17
-0.6978,15,30
0.0604,15,29
-1,15,28
-0.7412,15,27
-0.98,15,26
0.0610999999999999,15,25
-1,15,24
-0.7652,15,23
0.1115,15,22
-1,15,21
-0.9384,15,20
-0.886,15,19
-0.9526,15,18
0.0562,15,17
-0.8884,15,16
0.4162,14,30
0.1108,14,29
0.9412,14,28
0.4157,14,27
0.4202,14,26
0.119,14,25
0.8552,14,24
0.3193,14,23
0.226,14,22
-1,14,21
0.3215,14,20
0.1151,14,19
-0.355,2,16
-0.3316,2,15
0.6999,2,14
-0.373,2,13
0.1214,2,12
-0.453,2,11
0.9672,2,10
0.9966,2,9
-1,2,8
0.949,2,7
1,2,6
0.7048,2,5
0.489,2,4
-1,2,3
-0.643,1,30
-0.8828,1,29
-1,1,28
-0.6974,1,27
0.2321,1,26
-0.8792,1,25
0.5909,1,24
0.1707,1,23
-0.893,1,22
0.6404,1,21
0.1701,1,20
0.0619000000000001,1,19
-1,1,18
-0.8872,1,17
0.0585,1,16
0.0557000000000001,1,15
0.1123,1,14
