,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.9202,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.8799,0.489,0.9888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-0.8852,0.7048,0.8874,0.8214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.9998,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.5496,0.949,0.1846,0.915,0.2484,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.7958,-1,0.3988,0.4128,0.6968,0.9572,-0.1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.7434,0.9966,0.9984,0.5432,0.6054,-1,0.9064,0.9774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.8774,0.9672,1,0.9996,0.821,1,0.998,1,0.3814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.3282,-0.453,-1,0.0686,0.5755,-1,-0.097,-1,0.7014,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.276,0.1214,0.4844,0.7356,0.5155,-1,0.8174,0.1006,0.9656,0.8906,-0.1498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.0558000000000001,-0.373,0.6396,0.0800000000000001,0.1106,0.5134,-0.3776,0.4876,-0.2292,0.1,-0.7982,0.2823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.1123,0.6999,0.882,0.6418,0.2261,-1,-0.4392,0.9628,-1,0.531,0.5806,0.5017,0.1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.0557000000000001,-0.3316,0.4172,-0.231,0.1161,0.35,-0.6288,0.3968,-0.582,0.0755999999999999,-0.8516,0.288,-0.8918,0.1184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0585,-0.355,0.8024,0.2944,0.1201,0.829,-0.1972,0.5812,0.0132000000000001,0.3006,-0.575,0.2828,-0.8792,0.1075,-0.8884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,-0.8872,0.4527,0.9231,0.8791,-0.8202,0.9328,0.5496,0.7966,0.7445,0.8768,0.3356,0.2854,0.0572999999999999,0.1199,0.0562,0.0601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-1,0.4898,0.7608,0.608,-1,1,-0.392,0.3002,0.1712,0.8302,-0.521,0.7589,-1,0.422,-0.9526,-1,-0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.0619000000000001,-0.3604,0.8404,0.424,0.1137,0.9478,-0.1498,0.5816,0.1128,0.4308,-0.5196,0.2829,-0.8824,0.1151,-0.886,-0.8948,0.0582,-0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
