,711_P-1-M,711_P-1-D,711_P-2-D,711_P-3-D,712_P-1-M,712_P-1-D,712_P-2-D,712_P-3-D,713_P-1-X1,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P2_20-24,715_P3_30-34,716_P1_10-14,716_P1_30-34,716_P2_1-5,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_20-24
711_P-1-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-D,-0.802231453584885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-D,0.374764644904745,-0.720583311944629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-D,0.397181829080987,-0.822425348338558,-0.580407227291466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-M,1.48077440522382,-1.14565395503804,0.611840279259103,0.0279795929075044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-D,1.72450243883733,-0.431274272796897,-0.378387604124116,-0.614690351622389,1.70220079819014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-D,1.68495335119561,1.11814804899139,-0.286744803492972,1.27894472464413,1.65141104649561,-0.150680213984653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-D,0.173140556995249,-0.478597163020649,-0.00539534185934898,-0.537999828857852,0.709714223577212,0.323303726845335,-0.149701445880255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-1-X1,2.83421177577983,0.409896933715097,-0.109999788105756,2.25086806996106,2.34636112146788,0.871339239652422,0.000544672402788701,0.767532813367001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-X1,3.13078914426347,0.937269648027599,-0.13286851713789,2.52325223322647,3.01844566692578,3.466133210928,-0.371931019303858,0.165927008847644,-0.149012459612213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_20-24,1.41738430179667,0.806860048480399,-0.243379833883642,-0.685059134034498,0.326338796917927,-0.863166438583751,-0.807501125674644,-0.108567964361073,-1.13170970986375,-0.936998629789201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_30-34,1.40927347930747,1.2376200141136,-0.0964519987125323,0.415379326354154,1.10217719252279,-1.28830883972827,0.808104663277496,-0.542752490941434,-1.31216965595709,-1.55154639798697,0.705871214285133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_30-34,0.180398173541393,0.449252123205264,0.513300100998313,0.206249653722498,0.699232164572618,1.13665583966029,0.64285460023617,0.288079663654377,1.33431201321952,0.873099374853389,0.209374681755017,1.00415159709894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_10-14,0.934134366951785,-0.386056986776042,-0.92987568025983,1.47171055683512,1.53235039206276,1.16969082340911,1.13905992797206,-0.625731670092571,1.66899317845489,1.03749751532126,-0.174545294963828,-1.53693295286559,0.573999121573594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_20-24,0.180398173541393,0.449252123205264,0.513300100998313,0.206249653722498,0.699232164572618,1.13665583966029,0.64285460023617,0.288079663654377,1.33431201321952,0.873099374853389,0.209374681755017,1.00415159709894,NA,0.573999121573594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P3_30-34,0.180398173541393,0.449252123205264,0.513300100998313,0.206249653722498,0.699232164572618,1.13665583966029,0.64285460023617,0.288079663654377,1.33431201321952,0.873099374853389,0.209374681755017,1.00415159709894,NA,0.573999121573594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P1_10-14,NA,-0.802231453584885,0.374764644904745,0.397181829080987,1.48077440522382,1.72450243883733,1.68495335119561,0.173140556995249,2.83421177577983,3.13078914426347,1.41738430179667,1.40927347930747,0.180398173541393,0.934134366951785,0.180398173541393,0.180398173541393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P1_30-34,0.445972652177497,-0.698673728366515,1.1574409039904,-0.190232504901372,0.731333381340968,2.55352517376358,2.06727775204826,1.29265399761624,2.28663523541444,2.52983860569221,0.243163018874657,1.98304345853573,0.0493410069928191,1.5801328273928,0.0493410069928191,0.0493410069928191,0.445972652177497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_1-5,0.180398173541393,0.449252123205264,0.513300100998313,0.206249653722498,0.699232164572618,1.13665583966029,0.64285460023617,0.288079663654377,1.33431201321952,0.873099374853389,0.209374681755017,1.00415159709894,NA,0.573999121573594,NA,NA,0.180398173541393,0.0493410069928191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
