RCBC,site1,site2
-1,11,19
1,11,18
-1,11,17
1,11,16
1,11,15
1,11,14
1,11,13
-1,11,12
0.7924,10,47
-0.1426,10,46
0.2555,10,45
0.7444,10,44
0.3624,10,43
-0.5796,10,42
-1,10,41
-0.9972,10,40
0.3716,10,39
0.7138,10,38
-0.18,10,37
-0.7548,10,36
-1,10,35
0.0606,10,34
-0.8858,10,33
0.9874,10,32
0.925,10,31
0.2559,10,30
-0.7746,10,29
-1,10,28
-1,10,27
-0.2304,10,26
0.2608,10,25
-0.818,10,24
0.1112,10,23
-0.1048,10,22
-1,10,21
-0.5946,10,20
0.361,10,19
1,10,18
-0.614,10,17
-1,10,16
0.7022,10,15
-0.9638,10,14
0.698,10,13
-0.9294,10,12
1,10,11
-1,9,47
-1,9,46
-1,12,31
0.1749,12,30
-1,12,29
-0.8606,12,28
-1,12,27
-0.7274,12,26
0.1675,12,25
-0.9366,12,24
-0.0508,12,23
0.5512,12,22
-1,12,21
-0.7962,12,20
-0.0484,12,19
-1,12,18
-0.9074,12,17
-1,12,16
-0.3222,12,15
-0.1782,12,14
-1,12,13
-1,11,47
-1,11,46
0.8816,11,45
1,11,44
1,11,43
1,11,42
1,11,41
-1,11,40
-1,11,39
-1,11,38
-1,11,37
1,11,36
1,11,35
1,11,34
-1,11,33
1,11,32
1,11,31
1,11,30
1,11,29
-1,11,28
1,11,27
-1,11,26
1,11,25
1,11,24
1,11,23
1,11,22
1,11,21
0.8782,11,20
-0.706,13,44
-0.0766,13,43
0.8452,13,42
0.965,13,41
-1,13,40
0.489,13,39
-1,13,38
-1,13,37
-1,13,36
1,13,35
-0.7326,13,34
-1,13,33
-0.8204,13,32
0.546,13,31
0.8436,13,30
0.3778,13,29
-1,13,28
0.7954,13,27
-1,13,26
0.85,13,25
0.9834,13,24
-1,13,23
-1,13,22
0.9946,13,21
0.7428,13,20
0.378,13,19
1,13,18
-1,13,17
1,13,16
1,13,15
0.9926,13,14
0.3174,12,47
0.3168,12,46
0.1677,12,45
-0.3398,12,44
-0.6822,12,43
0.1713,12,42
-1,12,41
-0.83,12,40
-0.6918,12,39
0.2226,12,38
-0.466,12,37
-0.9162,12,36
-1,12,35
-0.4752,12,34
-0.9472,12,33
0.5446,12,32
0.6554,15,26
0.0733999999999999,15,25
0.996,15,24
0.9867,15,23
0.9655,15,22
0.9998,15,21
-0.2298,15,20
0.4354,15,19
1,15,18
-1,15,17
1,15,16
0.921,14,47
-0.1568,14,46
-0.4218,14,45
0.9916,14,44
0.8858,14,43
-0.587,14,42
0.5596,14,41
-0.9132,14,40
0.9116,14,39
