RCBC,site1,site2
0.9038,10,37
0.9874,10,36
0.796,10,35
0.9992,10,34
1,10,33
0.9982,10,32
0.8886,10,31
1,10,30
1,10,29
1,10,28
1,10,27
-1,10,26
0.9656,10,25
0.1672,10,24
1,10,23
0.9674,10,22
1,10,21
1,10,20
0.9982,10,19
0.9984,10,18
0.999,10,17
0.9996,10,16
0.5332,10,15
0.9994,10,14
0.5412,10,13
0.9998,10,12
0.9994,10,11
-0.821,9,42
-0.9888,9,41
-1,9,40
-0.8202,9,39
0.247,9,38
-0.3352,9,37
-0.9998,9,36
-0.4912,9,35
-0.385,9,34
0.389,9,33
-0.9866,9,32
-0.9658,9,31
-0.6828,9,30
0.9894,9,29
0.00499999999999989,9,28
1,9,27
-1,9,26
-0.997,9,25
0.9998,12,21
1,12,20
0.9704,12,19
0.932,12,18
1,12,17
1,12,16
-1,12,15
0.4496,12,14
0.0669999999999999,12,13
-0.0348000000000001,11,42
-0.35,11,41
0.7654,11,40
-0.2466,11,39
0.7174,11,38
-1,11,37
-0.654,11,36
0.5874,11,35
0.7202,11,34
0.2728,11,33
-0.1682,11,32
-0.173,11,31
-0.0872000000000001,11,30
0.9996,11,29
0.3974,11,28
1,11,27
-1,11,26
-0.954,11,25
0.9816,11,24
0.8442,11,23
-0.872,11,22
-0.1764,11,21
1,11,20
-0.214,11,19
-0.8498,11,18
0.2668,11,17
0.9968,11,16
-1,11,15
-0.5548,11,14
-0.5798,11,13
0.9186,11,12
0.8236,10,42
1,10,41
1,10,40
0.9624,10,39
0.9212,10,38
-0.5046,13,37
-0.6454,13,36
0.2669,13,35
-0.8438,13,34
-1,13,33
-0.9994,13,32
-0.625,13,31
0.1836,13,30
0.5916,13,29
-1,13,28
-1,13,27
-0.9842,13,26
-0.548,13,25
0.9296,13,24
0.9512,13,23
-0.2168,13,22
-0.8792,13,21
0.7048,13,20
-0.8984,13,19
0.2808,13,18
0.8164,13,17
0.9642,13,16
-0.689,13,15
0.3628,13,14
0.2986,12,42
1,12,41
1,12,40
0.98,12,39
0.3048,12,38
-1,12,37
0.3404,12,36
0.5812,12,35
0.8052,12,34
1,12,33
0.8368,12,32
0.9342,12,31
0.9988,12,30
0.9994,12,29
0.9998,12,28
1,12,27
-1,12,26
0.7152,12,25
0.999,12,24
1,12,23
0.783,12,22
-1,15,27
-0.9256,15,26
-0.8898,15,25
-1,15,24
-1,15,23
-0.9788,15,22
-1,15,21
-1,15,20
-1,15,19
-1,15,18
-0.5496,15,17
0.0600000000000001,15,16
-0.3126,14,42
-0.7694,14,41
0.9574,14,40
-0.7578,14,39
-0.5124,14,38
-1,14,37
-0.565,14,36
-0.3242,14,35
0.149,14,34
0.8662,14,33
-0.2198,14,32
-0.9328,14,31
-0.956,14,30
0.5946,14,29
0.9806,14,28
1,14,27
-0.9614,14,26
-0.93,14,25
0.7978,14,24
0.8016,14,23
-0.9488,14,22
-0.7128,14,21
0.533,14,20
0.0105999999999999,14,19
-0.297,14,18
0.738,14,17
0.9998,14,16
-1,14,15
-0.9372,13,42
-0.366,13,41
0.4402,13,40
0.3458,13,39
0.5522,13,38
1,17,21
1,17,20
0.9426,17,19
-0.0836,17,18
0.9558,16,42
1,16,41
1,16,40
0.9646,16,39
0.9922,16,38
0.7306,16,37
0.9786,16,36
0.7994,16,35
0.9952,16,34
1,16,33
0.9998,16,32
0.9768,16,31
1,16,30
1,16,29
1,16,28
1,16,27
0.5158,16,26
0.9922,16,25
0.9826,16,24
1,16,23
0.9432,16,22
1,16,21
1,16,20
0.9998,16,19
0.9966,16,18
-0.4322,16,17
-0.9066,15,42
-1,15,41
-1,15,40
0.2246,15,39
-0.2052,15,38
-0.7332,15,37
-1,15,36
0.0609,15,35
-1,15,34
-1,15,33
-1,15,32
-0.9358,15,31
-1,15,30
-1,15,29
-1,15,28
-0.1516,18,42
-0.7132,18,41
0.8674,18,40
0.5522,18,39
-0.1664,18,38
-0.4468,18,37
-0.7414,18,36
0.3943,18,35
0.1744,18,34
-0.1516,18,33
0.0664,18,32
0.107,18,31
-0.2772,18,30
0.9996,18,29
0.0780000000000001,18,28
1,18,27
-1,18,26
-0.9326,18,25
0.9732,18,24
0.9098,18,23
-0.3798,18,22
-0.9812,18,21
0.9998,18,20
-0.539,18,19
0.4804,17,42
1,17,41
1,17,40
0.826,17,39
0.7054,17,38
0.1596,17,37
0.4586,17,36
0.5263,17,35
0.7402,17,34
1,17,33
0.9838,17,32
0.7548,17,31
0.9872,17,30
1,17,29
0.9982,17,28
1,17,27
-0.3602,17,26
0.333,17,25
0.8176,17,24
1,17,23
0.492,17,22
-0.9946,2,6
-1,2,5
-0.3876,2,4
-0.1762,2,3
-0.511,1,42
0.909,1,41
1,1,40
0.4164,1,39
0.1666,1,38
-1,1,37
-0.8132,1,36
0.7404,1,35
-0.4892,1,34
0.9746,1,33
-0.6058,1,32
0.6536,1,31
0.942,1,30
0.9988,1,29
-0.2144,1,28
1,1,27
-1,1,26
0.4144,1,25
0.9996,1,24
1,1,23
-1,1,22
-0.1582,1,21
0.999,1,20
-0.3348,1,19
-0.4168,1,18
0.995,1,17
1,1,16
-1,1,15
-0.255,1,14
-0.2696,1,13
0.991,1,12
-0.8728,1,11
1,1,10
-0.4638,1,9
1,1,8
-1,1,7
0.6076,1,6
1,1,5
0.8276,1,4
0.2482,1,3
-0.4658,1,2
-0.4996,21,22
0.9076,20,42
0.9944,20,41
1,20,40
-1,20,39
0.9998,20,38
-1,20,37
0.985,20,36
0.6484,20,35
0.9984,20,34
1,20,33
0.9782,20,32
0.668,20,31
1,20,30
1,20,29
1,20,28
1,20,27
-1,20,26
0.9218,20,25
1,20,24
1,20,23
0.4338,20,22
1,20,21
-0.3622,19,42
-0.7028,19,41
0.7436,19,40
-0.3992,19,39
0.9576,19,38
-1,19,37
-0.9974,19,36
0.3496,19,35
0.2156,19,34
0.5328,19,33
-0.9954,19,32
-0.8,19,31
0.1472,19,30
0.9648,19,29
0.991,19,28
1,19,27
-1,19,26
