,711_P-1-S,711_P-1-M,711_P-2-S,711_P-2-M,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-S,712_P-1-M,712_P-2-S,712_P-2-M,712_P-3-S,712_P-3-M,713_P-3-M,714_P3_30-34,715_P1_1-5,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P3_1-5,715_P3_10-14,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_10-14,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P3_1-5,717_P3_10-14,717_P3_20-24
711_P-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-M,1.97199416882141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-S,1.52125993558332,-0.597349784904946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-2-M,1.92099853156638,-0.329111340342344,0.0291951324097227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-S,0.162327144180648,-0.466868631060621,-0.255900814072707,2.45615445436036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-M,2.64730707702775,-0.443830585079196,-0.108138072128546,0.0906183621249182,0.431553353296872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-D,1.22649811426874,0.0572261066298955,-0.400336770066994,1.51263664545436,-1.08185487454071,0.379175491161719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-S,1.06870667524042,0.429433388103276,0.433030197311053,1.3137566399335,0.158038964130297,0.0530846776620226,0.0988327432430933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-M,0.977210048679211,-0.368726576568346,-0.677244055101754,1.04550930968114,0.463455772382173,0.908187656704023,0.0915750406351579,1.3685202964061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-S,0.053177350030855,0.568974995759772,-0.593094604906186,0.75860653537647,0.042254743731069,-0.277442873401526,0.756523170988811,1.64733239365736,1.74168358697157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-M,0.438472150786759,-0.0170924473505516,-0.705383633565483,0.686137683230981,1.74858679821272,2.22895043155901,1.03129968818997,0.0428669525168954,0.690803383952459,-0.0991035684365356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-S,0.130698818651528,1.74061692003203,1.53650709153816,-0.00560876976450829,-0.696572867630108,0.0379691526719442,0.957408457263097,0.464943839072344,1.60292793028303,-0.65254528727412,-0.272437422161748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-M,-1.05970349723599,-0.162740182491013,-1.50959631621146,1.72661448778436,-0.980987935225427,0.211992362005277,-1.01065293873223,-0.980369231670221,0.548261589955774,-0.902230597781512,-0.477632485444366,-0.831510216282101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-M,-1.04248039578389,1.79327659896622,-0.937248789438518,1.2788053887771,-0.140593812268272,3.75470027868022,1.38330584481203,-0.66518913381068,0.0544710736983636,-1.14417775740281,-0.100455993508618,-1.22347439425418,-0.302687173797839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_30-34,1.54924898442503,0.4105486924189,1.25151620114391,0.458568486269776,2.56290523498846,0.71249516651341,1.62844430144295,2.23081901101237,0.333993177566931,1.55462284898836,-0.540616831477893,1.60120211261459,2.17480810571525,0.546874881747119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_1-5,0.0959442730258942,-0.0683286406989837,-0.873115183717565,-0.533424404956473,-0.880915945370887,-0.853947522033937,0.584674191192392,-0.813247553070205,0.391700664066299,-0.57584205513651,-0.871968344443115,-1.12012993961027,-1.01386141412289,-1.47979657964902,1.15618858869134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
