RCBC,site1,site2
0.5984,1,46
0.325,1,45
-0.1252,1,44
0.8912,1,43
-0.0629999999999999,1,42
0.9996,1,41
1,1,40
1,1,39
-1,1,38
0.292,1,37
1,1,36
1,1,35
-0.8294,1,34
-0.205,1,33
0.9618,1,32
1,1,31
1,1,30
0.9924,1,29
0.9988,1,28
1,1,27
1,1,26
0.9728,1,25
0.8144,1,24
0.9988,1,23
1,1,22
-0.875,1,21
0.9996,1,20
0.4628,1,19
0.471,1,18
1,1,17
-1,1,16
1,1,15
0.6864,1,14
-0.4366,1,13
0.9774,1,12
-0.1754,1,11
0.4274,1,10
0.9906,1,9
0.7278,1,8
0.3178,1,7
1,1,6
0.3196,1,5
1,1,4
0.6796,1,3
0.9762,1,2
-1,11,16
0.998,11,15
0.8634,11,14
-0.307,11,13
0.4852,11,12
-1,10,50
-1,10,49
-1,10,48
-0.855,10,47
-1,10,46
-1,10,45
-1,10,44
-1,10,43
-0.8526,10,42
0.7618,10,41
-1,10,40
0.9076,10,39
0.0575000000000001,10,38
0.312,10,37
-1,10,36
-1,10,35
-0.5128,10,34
-1,10,33
0.5288,10,32
-1,10,31
-1,10,30
-1,10,29
0.8066,10,28
0.8416,10,27
-1,10,26
-1,10,25
-1,10,24
-1,10,23
-1,10,22
0.6235,10,21
-1,10,20
0.0293000000000001,10,19
-0.9442,10,18
-1,10,17
-1,10,16
0.8612,10,15
-1,10,14
-0.8142,10,13
-1,10,12
-1,10,11
1,12,23
1,12,22
-1,12,21
1,12,20
0.9644,12,19
0.9634,12,18
1,12,17
-1,12,16
1,12,15
0.4282,12,14
-1,12,13
0.8988,11,50
0.7636,11,49
0.973,11,48
0.2882,11,47
0.7014,11,46
-0.042,11,45
0.58,11,44
0.0394000000000001,11,43
0.0553999999999999,11,42
1,11,41
0.9966,11,40
0.9916,11,39
-1,11,38
0.9816,11,37
1,11,36
1,11,35
-0.7406,11,34
-0.2658,11,33
0.9998,11,32
1,11,31
1,11,30
-0.279,11,29
0.9976,11,28
1,11,27
1,11,26
1,11,25
0.8178,11,24
0.9782,11,23
1,11,22
-0.9762,11,21
0.9998,11,20
0.4476,11,19
0.5268,11,18
1,11,17
-1,13,31
-1,13,30
-0.2244,13,29
0.2344,13,28
-1,13,27
-1,13,26
-1,13,25
-1,13,24
-1,13,23
-1,13,22
-0.5222,13,21
-0.8854,13,20
0.1525,13,19
-0.831,13,18
-1,13,17
-0.9402,13,16
0.534,13,15
-0.077,13,14
-0.1438,12,50
1,12,49
0.1592,12,48
-1,12,47
0.9986,12,46
1,12,45
0.4876,12,44
1,12,43
-1,12,42
0.8666,12,41
1,12,40
1,12,39
-1,12,38
0.0946,12,37
1,12,36
1,12,35
-1,12,34
0.981,12,33
0.8656,12,32
0.9872,12,31
1,12,30
1,12,29
1,12,28
0.5676,12,27
1,12,26
1,12,25
1,12,24
1,14,40
1,14,39
-1,14,38
-0.5438,14,37
1,14,36
1,14,35
-0.3376,14,34
0.6068,14,33
0.9928,14,32
1,14,31
1,14,30
0.9186,14,29
1,14,28
0.9956,14,27
1,14,26
0.7272,14,25
0.8926,14,24
1,14,23
1,14,22
0.3582,14,21
1,14,20
0.6166,14,19
0.6416,14,18
1,14,17
-1,14,16
1,14,15
-1,13,50
-1,13,49
-1,13,48
-0.9184,13,47
0.0880000000000001,13,46
0.7204,13,45
-0.632,13,44
-1,13,43
-0.8942,13,42
-1,13,41
-1,13,40
-1,13,39
-0.97,13,38
0.1926,13,37
-1,13,36
-1,13,35
-0.5324,13,34
-1,13,33
-0.3426,13,32
0.0406,15,50
1,15,49
0.9998,15,48
0.4954,15,47
0.7368,15,46
1,15,45
-0.1126,15,44
1,15,43
0.6584,15,42
0.7166,15,41
1,15,40
1,15,39
-1,15,38
-0.722,15,37
1,15,36
1,15,35
0.0069999999999999,15,34
1,15,33
0.9434,15,32
0.9934,15,31
1,15,30
1,15,29
1,15,28
0.8038,15,27
1,15,26
0.9988,15,25
1,15,24
1,15,23
1,15,22
0.4708,15,21
1,15,20
0.8488,15,19
0.869,15,18
1,15,17
0.8374,15,16
0.8772,14,50
0.8592,14,49
0.9846,14,48
0.5068,14,47
0.8756,14,46
0.0327999999999999,14,45
0.9148,14,44
0.3696,14,43
0.2574,14,42
1,14,41
1,17,28
1,17,27
1,17,26
1,17,25
1,17,24
1,17,23
1,17,22
1,17,21
1,17,20
1,17,19
1,17,18
-1,16,50
-1,16,49
-1,16,48
-0.735,16,47
-0.2832,16,46
-1,16,45
-1,16,44
-1,16,43
-0.8098,16,42
0.5772,16,41
-1,16,40
0.8454,16,39
-0.8626,16,38
0.2054,16,37
-1,16,36
-1,16,35
-0.5258,16,34
-1,16,33
0.4434,16,32
-1,16,31
-1,16,30
-1,16,29
0.7174,16,28
0.771,16,27
1,16,26
-1,16,25
-1,16,24
-1,16,23
-1,16,22
0.3444,16,21
-1,16,20
0.0582,16,19
-0.9324,16,18
-1,16,17
-1,18,41
-1,18,40
-1,18,39
0.0587,18,38
-1,18,37
-1,18,36
-1,18,35
-1,18,34
-1,18,33
0.5452,18,32
-1,18,31
-1,18,30
-1,18,29
-1,18,28
-1,18,27
-1,18,26
-1,18,25
-1,18,24
-1,18,23
-1,18,22
0.63,18,21
-1,18,20
0.0285,18,19
1,17,50
1,17,49
1,17,48
-1,17,47
-1,17,46
1,17,45
1,17,44
1,17,43
-1,17,42
1,17,41
1,17,40
1,17,39
1,17,38
1,17,37
1,17,36
1,17,35
-1,17,34
1,17,33
1,17,32
1,17,31
1,17,30
1,17,29
-1,2,43
0.4632,2,42
1,2,41
0.9998,2,40
0.987,2,39
-1,2,38
-0.6952,2,37
1,2,36
1,2,35
0.3484,2,34
0.9382,2,33
0.9994,2,32
0.9788,2,31
1,2,30
0.0644,2,29
1,2,28
1,2,27
1,2,26
1,2,25
0.1676,2,24
0.6836,2,23
1,2,22
0.917,2,21
1,2,20
0.5856,2,19
0.6284,2,18
1,2,17
-1,2,16
0.0931999999999999,2,15
0.9844,2,14
-1,2,13
0.3578,2,12
0.997,2,11
0.562,2,10
0.3878,2,9
0.9998,2,8
-1,2,7
0.9956,2,6
0.9998,2,5
0.7658,2,4
0.9918,2,3
0.6498,1,50
0.9984,1,49
0.9738,1,48
0.2022,1,47
1,20,25
1,20,24
0.9918,20,23
0.9842,20,22
0.3584,20,21
-1,19,50
-1,19,49
-1,19,48
0.155,19,47
-0.2952,19,46
-1,19,45
-1,19,44
-1,19,43
0.0888,19,42
-1,19,41
-1,19,40
-1,19,39
0.0575000000000001,19,38
-1,19,37
-1,19,36
-1,19,35
0.2718,19,34
-1,19,33
-1,19,32
-1,19,31
-1,19,30
-1,19,29
-1,19,28
-1,19,27
-1,19,26
-1,19,25
-1,19,24
-1,19,23
0.5972,19,22
-1,19,21
-1,19,20
-1,18,50
-1,18,49
-1,18,48
-0.8172,18,47
-1,18,46
-1,18,45
-1,18,44
-1,18,43
-1,18,42
-0.3282,21,42
0.7962,21,41
0.8498,21,40
0.8182,21,39
-1,21,38
0.9952,21,37
1,21,36
0.9552,21,35
-0.97,21,34
-1,21,33
0.0122,21,32
0.7164,21,31
1,21,30
-0.9984,21,29
0.2996,21,28
1,21,27
1,21,26
0.7316,21,25
0.639,21,24
-0.695,21,23
-0.8098,21,22
0.9934,20,50
1,20,49
1,20,48
-0.519,20,47
0.8422,20,46
1,20,45
-0.4578,20,44
1,20,43
-0.6044,20,42
0.9996,20,41
1,20,40
1,20,39
-0.0994,20,38
-0.0184,20,37
1,20,36
1,20,35
-0.9878,20,34
1,20,33
0.8964,20,32
0.8742,20,31
1,20,30
1,20,29
1,20,28
1,20,27
1,20,26
1,23,33
0.4772,23,32
1,23,31
1,23,30
1,23,29
1,23,28
1,23,27
1,23,26
1,23,25
0.8438,23,24
1,22,50
1,22,49
1,22,48
-1,22,47
-0.051,22,46
1,22,45
-0.7848,22,44
1,22,43
-1,22,42
1,22,41
1,22,40
1,22,39
-1,22,38
0.8252,22,37
1,22,36
1,22,35
-1,22,34
1,22,33
