"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_10-14" "717_P3_20-24"
"20110800_P2D_8" 0 0.13371629 0 0 0.22648624 8.890715 1.4037688 8.558211 0 1.4267296 4.3229175 0 0.09039606 3.9697824 0 0.12268958 0 0.5171942 0.17057979 0.32523766 1.384615 0 1.4694397 0 0 0.14524083 0.3286451 1.1067221 0 0 0 2.6791432 0 0.9546712 0.1371053 0.1105385 1.0240927 0.2682204 0.06488964 0 1.6765301 12.865356 0 0.18776415 0 0.36844733 3.731832 0 3.4679928
"PMWT01" 0 0.3178449 0 0 2.0559485 0.26020712 0.86900455 3.5156777 0 1.1966192 0.964342 0 1.1444148 2.6637776 0 0.68424964 0 2.0015118 0.95787734 1.1935762 0 0 3.659213 0.5708829 1.1916035 1.448382 0.81558836 2.009593 0 0.74945116 1.8623047 1.5990504 0 2.336076 0.4963055 1.4073023 1.1963174 2.2067394 0.18315244 0.4408338 0.982029 0.53375 0.60758376 0.7604728 0 0.22527763 0.6313492 0.114692435 0
"20160700_S23_14" 0 0 0 0 0.09087141 4.207144 0 17.548296 0 0 5.9124427 0 0 5.5683775 0 0 0 3.3065705 0 0.5759472 0 0 19.725683 0 0 0 0 8.748036 0 0 0 2.228906 0 3.4142067 0.4818326 0 5.567872 2.8685067 0 0 1.315936 0.60885906 0 4.0137434 0 1.6571515 2.384396 0 0
"20110700_P2D_37" 0 0.14325547 0.14763987 0 1.3182423 13.620939 0.14296731 13.468676 0 0 0.81336015 0 0 1.9919393 0 0 0.17934607 0 0 0 0.29662654 0.11871769 3.1781387 0 0 0 0 3.8822045 0 0 0 0.14088318 0 2.5512462 0.37398207 0 0.76721483 0.14838225 0.083994426 0 0.24847345 4.593769 0 4.580695 0 0.503651 1.8952078 0 0.2654369
"PLWZ01" 0 0.102233425 0.5074064 0 0.925302 4.3917394 1.3295766 24.179289 0 0.15118003 10.706435 0 0 16.250786 0 0 6.218247 2.1104305 0.16674401 1.6891464 0.7557226 0 0.39254525 0 0 0 0 2.4102156 0 0 0 1.1113614 0 3.3148623 0.4791223 0.23292415 6.371685 0.90110475 0.05678695 0 0.40535867 5.059919 0 5.501227 0 1.7543689 3.9742968 0.22737841 1.3531226
"20111000_P2M_3" 0 0 0 0 0 0 0 1.4851916 0 0 0.09351765 0 0 31.640461 0 0 0 0.0679701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3983886 0 0 0.5878751 0.072375044 0 0 0 0 0 0 0 26.761019 0.8434462 0 0
"20160700_P15_16" 0 0.12427652 0 0 0.27679223 0.68829316 0.19692548 16.375658 0 0.15473036 2.3133676 0 0 1.9083966 0 0.10881936 0.0933216 0.6828771 0 0.42474318 0.95017827 0 0.35581565 0 0 0 0 0.72084564 0 0 0 0.32423764 0 12.471747 2.1456146 0.08819668 1.0831349 0.94487053 0 0 0.4242683 2.912113 0 2.4594243 0 0.076106414 0.95606226 0.08064188 0.2942517
"20110800_S3D_3" 0 0.13478172 0 0 0 0.8238768 0 4.385239 0 0 0 0 0 1.1498502 0 0 0 0.08732719 0 0 0 0 0.08150609 0 0 0 0 2.8828516 0 0 0 0 0 5.2707977 0.8138425 0 2.2416997 0.9576212 0 0 0 0.6549608 0 0.21580803 0 0 1.593007 0 0
"20120700_P2D_5" 0 0 0 0 0 0.24507122 0 16.29027 0 0 1.8842916 0 0 27.986115 0 0 0 0.96094173 0 0 0.24686457 0 0.7256283 0 0 0 0 0 0 0 0 0.6269378 0 4.916048 0.7808039 0 0.91078264 10.300047 0.09996993 0 0 0.39153904 0 2.0996177 0 1.0392629 0.8580655 0 0
"20120800_P2D_5" 0 0 2.066369 0 0 15.666727 0 100.25953 0 0 15.326418 0 0 57.76387 0 0 0.43183476 10.29852 0 1.7143939 10.073272 0 0 0 0 0 0 0 0 0 0 0 0 14.139688 2.3302395 0 0.2372795 1.0056694 0 0 0.117195316 20.305214 0 1.0701094 0 0.09737946 9.830135 0 0.57861596
"20160700_P15_25" 0 4.596189 0 0 0 0 0 34.042072 0 0 3.737609 0 0 25.112865 0 0 0 8.102674 0 0.79715276 0 0 24.772676 0 0 0 0 3.234516 0 0 0 5.6909475 0 19.80091 3.3084848 0 27.973354 4.063091 0 0 3.9910066 0.8445046 0 12.236409 0 4.572164 1.3445967 0 2.5445945
"20160700_P15_5" 0 2.035636 0 0 4.97965 1.817839 0 36.13766 0 0 22.274584 0 0 14.909579 0 0.3971044 0.11757204 15.944741 0 2.1091394 0.52566236 0 3.251422 0 0 0 0 13.460544 0 0 0 18.573517 0 31.03343 5.431942 0 22.01519 10.290864 0.2217825 0 11.579916 4.643759 0 23.055323 0 13.4836445 10.018514 0 0.7196934
"20120500_P13_5" 0 0.5701421 0.1607016 0 1.1971914 2.9549387 0.19342597 13.366031 0 0.18771373 21.324944 0 0 4.2202415 0 0.33216274 0.107297555 1.2055852 0 0.086623 0.19716297 0 1.7263385 0 0 0.18921326 0 0.7208676 0 0 0 2.129686 0 3.2579806 0.49603945 0 0.9180001 0.77567637 0.20733309 0 0.20494287 9.858661 0 1.0892135 0 0.2966623 0.645125 0 0.32617542
"20120800_P1D_2" 0 2.5097055 0 0 0 0 0 129.66443 0 0 1.7332757 0 0 3.0846434 0 0 0 1.2047335 0 0.6332669 0 0 0.30292112 0 0 0 0 4.032746 0 0 0 1.6903772 0 26.964596 4.5749674 0 1.0032196 7.3018155 0 0 6.248568 56.482975 0 5.5571704 0 4.0926275 1.6428177 0 1.5747901
"20150700_P24_7" 0 0.5294474 0.06956289 0 1.9071255 0.15622555 0 3.3582184 0 0 8.1978655 0 0 7.5221167 0 0 0.083451055 6.189602 0 2.287724 0 0 5.8679814 0 0 0 0 7.2879996 0 0 0 0.73353326 0 8.214416 1.33362 0 3.4381137 4.6012654 0 0 0.3185462 7.109553 0 13.675961 0 0.9753965 1.4992654 0 0.10294279
"20130700_P1Y_12" 0 2.462852 0 0 21.697237 0.1309029 0.08686385 31.144278 0 0.0830888 19.782478 0 0 41.446487 0 0.40920943 0 69.92555 0 18.643192 0.24282733 0 56.61576 0 0 0.22761007 0 9.103849 0 0 0 21.688372 0 32.891914 5.8403215 0 18.496386 33.195827 1.2184453 0 1.4679497 7.4638724 0 36.361515 0 27.799017 8.56253 0 1.9603932
"20120500_P24_5" 0 0.13261476 0 0 13.835269 8.164481 0 1.6226166 0 0 12.139122 0 0 7.5335345 0 0 0 9.682 0 6.6719227 0 0 59.67316 0 0 0 0 4.998178 0 0 0 1.987654 0 1.575729 0.21294084 0 4.0559454 16.227468 0 0 0 0.06010877 0 18.364817 0 15.536111 11.791163 0 0
"20120800_P2D_2" 0 0.06773581 0.20655979 0 0 3.4839602 0 27.288229 0 0 8.411334 0 0 2.0291243 0 0 4.4073873 3.6709201 0 7.691252 0.89420664 1.0353398 0 0 0 0 0 0 0 0 0 0 0 14.914319 2.6306021 0 0.18026797 3.1997042 0 0 0 12.401912 0 1.0596112 0 0.5369285 3.1951292 0 1.2568604
"20150700_P24_8" 0 0 0 0 0 1.6908181 0 15.373286 0 0 2.6555686 0 0 6.8240433 0 0 0 3.6468878 0 0.9631575 0 0 2.09501 0 0 0 0 19.041315 0 0 0 0.19214553 0 6.7929955 1.0892404 0 5.177934 4.3279305 0 0 5.7342224 6.0140615 0 10.781478 0 0 1.3182851 0 0.24667649
"20120700_P2D_8" 0 0 0 0 0.22996974 0 0 12.885477 0 0 0.8661536 0 0 38.658184 0 0 0 0 0 0 0 0 0.39807993 0 0 0.09487455 0 0 0 0 0 0.23108496 0 11.160783 1.7555777 0 2.6153135 0.23801552 0 0 0 0.72070676 0 14.194294 0 0.10012445 0 0 0.1635857
"20160700_P15_17" 0 0.8378743 0 0 0.71740353 0.35807303 0.7386894 6.9929185 0 0.22269067 3.1923287 0 0 5.425081 0 1.1449016 0 0.19310907 0 0.30614096 0 0 0.17791156 0 0.09551366 1.5765767 0 0.18504886 0 0 0 0.5450068 0 12.243222 1.962745 0 2.9405444 0.9100516 0.40830398 0 1.1200331 3.5640883 0 1.9396666 0 0.6443663 0.7650435 0 1.5088354
"20120700_P2D_11" 0 0.059946544 1.1627786 0 0.08196865 15.635941 0 59.163837 0 0 69.48808 0 0 71.292046 0 0 1.0460632 19.670687 0 19.340704 3.8750968 0 7.5129538 0 0.08869287 0.5784607 0.1838172 16.954035 0 0 0 12.212485 0 37.10655 6.1584253 0 16.234533 12.700113 0.3949583 0 18.67189 22.971985 0.10488403 42.19376 0 1.2384876 22.45964 0 4.330287
