"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"20160700_P15_13" 0.81079304 6.1844068 0 0.99106336 12.756759 0 0 6.165633 20.254824 0.3492481 9.475333 1.8216459 0.2257213 8.6510105 21.522696 0.32333383 5.5059757 3.6683261 2.8312073 0.31835106 0 0 47.483215 0.13057958 0.49963036 2.6715484 13.526143 0.7232006 2.016975 6.655957 0.68984157 1.1776146 5.910622 27.247673 0.16140874 2.0428855 24.159254 4.846529 2.7206016 5.7155466 3.5486202 3.775214 1.7617445 2.8991075 1.6594146 4.2918124 4.7684083 0.45231435 3.9806666 1.1087015 0.6245238 1.7465513 0.7541472
"20170700_P34_4" 0 8.27976 0 0 10.192703 0 0 7.5331855 0.85073 0 4.13275 0.16086832 0 0.6410958 1.1633378 0 7.429619 0 0.49174082 0 0.18685016 0 8.187004 0 0 0 1.3357551 0 0.8059725 2.1369932 0 0 0.48258716 8.64451 0 0 2.8597968 0.5206889 0.45599133 17.353037 0 2.049665 0.7318221 21.333618 4.339511 0.51857114 3.673055 0 5.1830587 0.056480758 0 0.39843568 30.017462
"20150700_P24_5" 0 0 0 0 1.2040739 0 0 1.1980149 13.3073635 0 3.5345376 0.7870624 0 5.4567823 3.3392549 0 4.9203496 4.597833 0 1.8104292 0 0 57.19854 0 0 0.09742124 19.127213 0 2.7837665 11.754284 0 0 0 31.794159 0 0 1.8557357 0.24073045 0 4.436277 2.405297 0.93255794 0 3.354745 0.067233615 1.4474765 2.8178227 0 0 0 0 0 0
"20120500_P23_4" 0 3.3079958 0 0.9263668 18.334494 0 0 4.008935 0 0.33833185 9.807848 0 0.085147455 9.603579 0 0.9053647 2.6281505 0 4.4425516 0 0 0 15.258845 0 0.22842053 1.000634 3.4392042 0.30536085 3.1134682 2.4200554 0.3069735 0.06150618 8.45644 11.180925 0 0.32981804 0.41129947 0.17421053 2.4091074 1.2275017 0 8.974192 0.22353618 0.21765973 0 4.125738 0.62215054 0.84364754 2.4477017 0 0 0.8858263 0
"3300037353_11" 0 12.766551 0 0 22.123644 0.08190687 0 5.105469 1.7613435 0 13.69569 4.8898606 0 7.199544 2.2607877 0 5.282226 0.14300117 0.28573242 0.05644936 0 0 33.175957 0 0 0.092423104 7.0898976 0 3.8390474 11.676356 0 0 2.9003391 28.924387 0 0 6.344837 1.0632211 1.5226865 14.176272 0.1310134 5.320001 1.4879084 3.070845 0.99859226 7.313448 3.0479126 0.27327192 1.9066073 1.0015496 0 0.1733779 2.1749325
"20110700_P2M_8" 0 2.2109616 0.09072194 0 23.622965 0.38307682 0 1.8289884 0.8278085 0 0.44413415 0 0 0 0.42331922 0 0.6454001 0 0.070577115 0 0.27136034 0.062421888 2.3130882 0 0 0 0.29763684 0 0.078804925 1.0367479 0 0 0 1.6987587 0 0 0.5661962 0.067944564 0.060271762 2.638434 0 1.3595122 0 0.3202056 1.2467484 0.315006 0.504596 0.09694985 5.67595 0.056000203 0 0.44663605 1.3271786
"PKYA01" 0 7.6994076 0.11297601 0.14877912 5.9039 0 0 13.611287 0.69112253 0 13.52549 0.06740599 0 13.330266 0.73709697 0 3.8287838 0 15.637682 0 0.10087769 0 22.472868 0 0 0.061164178 7.6716247 0 5.249002 9.702928 0 0 1.7511989 36.02031 0 0 17.694618 3.1041317 13.055967 6.351528 0 10.421187 0.9578968 4.7630343 1.6411965 11.415066 1.958428 0 0.81233406 0.67236596 0 1.6834027 2.6580176
"20110600_P1M_4" 0 4.329144 0 0 7.978704 0 0 14.052588 0.50125074 0 3.7026384 0.17452262 0 0.7598336 0 0 1.2529877 0 5.7419844 0 2.9218092 0 1.6390482 0 0 0 0.8743221 0 1.2887228 1.7487297 0 0 0.36118537 2.165365 0 0 1.2478913 0.24351661 5.6436625 4.7450643 0 2.1436944 0.64733577 0.36732346 0.4585441 0.41761345 3.0696592 0 5.443967 1.5500511 0 5.071774 5.3506584
"20120500_P23_5" 0.4750166 0.64345586 0 2.5351353 1.2439502 0 0 3.2254012 0 0 2.2997923 0 0 17.765383 0 0.63874525 0.7773086 0 2.5815475 0 0 0 2.2970395 0 0.06611561 1.25831 14.355154 0.6061458 4.669208 0.75670975 0.0855418 0.44299796 3.7704606 17.99837 0.28914395 0.5960289 0 0.37758833 2.51934 0.6247357 0 4.003124 0.36048675 0 0 3.3464427 0.33262715 0.97892594 0.12671073 0 0 1.4068841 0
"3300037159_8" 0 0.09294278 0 0 0 0 0 0.31181282 3.848829 0 0 0.80889904 0 0 1.8831736 0 0.17902458 0.39940888 0 0.19333136 0.624075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7006893 0.24184822 0 1.5530186 0.25196055 0 0 14.901172 1.5838228 0 0.06117642 0 13.163603 5.115747 0 0 16.37884
