"genome" "711_P-1-M" "711_P-1-D" "711_P-2-D" "711_P-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-D" "712_P-3-D" "713_P-1-X1" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_10-14" "715_P2_20-24" "715_P3_30-34" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_20-24"
"20120700_P3D_9" 0 0 1.5471653 2.8383186 0 3.3830056 0.5047239 2.6750371 1.7096186 0.3474893 0.45704597 0 0 0 0 0 0 0 0 0 1.4880855 0 0 0 0 0 0 0.47311887 0 0
"20120500_P17_2" 0 0 1.2689787 8.3882475 0.055739466 58.452465 1.5912185 0.5345223 7.8243194 8.430166 0 0 0 0 0 0 0 0.14672185 0 0.12496096 2.721928 0.06616366 0.07239127 0 0 0.07010013 0.08322703 0.3045725 0 0.06066276
"PKXJ01" 0 0.780501 23.037483 0.27074653 0 0.5902967 0 5.2464223 0 0.10925771 0.36956635 0.10008829 0 0 0 0 0 0 0 0 0 0 0 0.35337123 0 0 0 6.622632 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.157_96.49_2.63" 0 0 0.20379493 0.27686366 0 0.3457206 0.06087459 0 0.18983655 0.06379935 0 0 0 0.06956371 0 0 0 0 0 0 0.2388849 0 0 0 0 0 0 0 0 0
"20120700_P3D_88" 0 0.35909584 0.7400274 0.47511786 0 0.09914512 0 1.1951795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37294465 0 0 0 0.2838797 0 0
"20130700_C2Y_2" 0 0 0.40671584 0.44478983 0 2.483332 0 0.49851295 0.112744465 0.2600357 0 0.6334361 0 0 0 0 0 0 0 0 0.10201253 0 0 0 0 0 0 0 0 0
"20120500_P26_5" 0 1.0988325 50.848984 2.6996078 0 8.664331 0.21460551 9.547154 0.14557949 0.99797314 0.9386263 4.0373516 0 0 0 0 0 0 0 0 0.106416956 0 0 0.79011947 0 0 0 2.8449605 0 0
"20120800_S3X_7" 0 0 0 0.057528954 0 8.483285 0.09411658 0 1.4685711 13.836568 0 0 0 0.08621386 0 0 0 0 0 0 1.328046 0 0 0 0 0 0 0 0 0
"20120500_P28_11" 0 0 3.0594332 0 0 1.5312591 0 0 0.21621452 1.1102855 0 0.4777665 0 0 0 0 0 0 0 0 0.3338653 0 0 0 0 0 0 0 0 0
"20120700_P3D_35" 0 0.37760904 1.177833 0.21416141 0 0.64065516 0 1.0483376 0 0.113995954 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48808682 0 0 0 0.23590179 0 0
"20120500_P26_1" 0 0 81.2285 0 0 10.786509 0 198.82494 0.07753636 0.9104524 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36205694 0 0 0 4.4814777 0 0
"20120700_P3D_27" 0 0.34066522 3.0830235 0.28767607 0 0.58588576 0.06669427 2.8974104 0.18438146 0.94205976 0.16317607 0 0 0 0 0 0 0 0 0 0 0 0 0.42459312 0 0 0 0.83343035 0 0
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.235_87.61_3.54" 0.17353463 0 0 0 0.079288214 0.1277851 0 0 0 0 0 0 0 0 0 0 0.48606372 0.26546326 0 0 0 0.10489505 0 0 0.12508094 0 0.06078486 0.2099682 0.09158782 0.084323585
"20120700_P3D_139" 0 1.8329438 6.4189143 2.466157 0 1.6326513 0 3.9773378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3761328 0 0 0 0 0 0
"20120700_P3D_75" 0 0.29408598 3.8926702 10.273223 0 5.586956 1.1172861 8.708777 0.1397318 0.25307035 0.72027296 0 0 0 0 0 0 0.16944243 0 0.15388179 0.6620997 0 0.47549376 4.5371222 0 0.18207368 0.16254681 1.3549016 0 0.81136185
"PLXO01" 0 0.115771845 29.743887 1.8916744 0 2.54138 7.721363 14.247714 1.1055176 0.55102473 0.6500602 0 0.48866212 0 0.9028063 0.198575 0 0.9153551 0.11630118 0.5158764 0.99665225 0 0.15047571 2.3444207 0 0.7747438 0.07065315 3.8343654 0 0.1680814
"20111000_P2D_6" 0 0 3.6464655 0.3046949 0 6.191505 0.9475295 35.245613 0 0.284388 0 0.42071316 0 0 0 0 0 0 0 0 0 0 0 1.6124995 0 0 0 12.962472 0 0
"20110800_E2D_15" 0 0 8.758665 0.9531563 0 10.491795 0 15.1281185 1.6674435 3.177246 0 0 0 0 0 0 0 0 0 0 0.6342852 0 0 0.22455491 0 0 0 2.1595788 0 0
"20120500_P26_8" 0 0 3.3553097 0.6806942 0 13.085106 0 14.098854 0.57215905 1.2582319 0 0 0 0 0 0 0 0 0 0 0.081495 0 0 0 0 0 0 0.48757544 0 0
"PLTN01" 0 0 0.1400549 0.28095463 0 2.0580723 0.1421424 0 0.5998732 1.1959244 0 0 0 0 0 0 0 0 0 0 0.15279289 0 0 0 0 0.066205226 0 0 0 0
