"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"20130700_P1Y_3" 0 0 0 0 0.22417954 6.335198 0 0.07355375 14.979222 0 19.19944 0 20.524376 0 0.46547416 36.62595 0 22.13862 0 0 0.64850456 0 0 0 0 0 1.9783521 0 1.4720881 0 0.8212668 0.09346063 0 0.6844542 12.1241665 0 0 0 0 0 4.6505485 0 22.49581 7.6348386 0 0 0
"20110700_P2D_26" 0 1.9020717 0 0.09942988 1.0569274 11.780279 0.34160003 1.0620902 35.221397 0 4.46387 0 2.0499976 0.0758331 0.08353565 8.4965315 0 2.1095781 0 0 0.292963 0 0 0.23059745 0.3010997 0.26438236 1.0049182 0 0.107468516 0.05744235 2.3996372 0.60349435 0.3330881 0.51408964 7.2008905 0.25990036 1.6668932 1.6236237 4.1999764 0.09331891 1.773023 0 0.75285625 1.2482656 1.083708 3.8854856 2.3821034
"20111000_P2D_13" 0 0.08966632 0 0 0 0.17399779 0 0.07711044 24.846066 0 50.11586 0 47.058197 0.09084402 0 17.327543 0 15.783061 0 0 0.38881263 0 0 0 0 0 0.6274265 0 0.20771684 0 4.8519626 0.7144444 0 0.07766045 10.100946 0 0 0 0.11068715 0 1.7659619 0 0.41249853 0.22676596 0 0 0.07820524
"20120600_E2D_21" 0 0 0 0 0 20.493444 0 0 23.318136 0 16.287937 0 2.3604467 0 0.30369642 4.311761 0 3.8254082 0 0 0 0 0 0 0 0 0.12625603 0 0 0 2.3743675 0.33082256 0 0 3.5833056 0 0 0 2.8686755 0 0 0 0 1.000719 0 0 0.1863964
"20130700_P1Y_5" 0 0 0 0 0 0 0 0 2.8283348 0.7652255 0.43443584 0 1.0043631 0.3734571 0 30.60422 0 4.5435653 0 0 6.932311 0 0 0 0 0 1.1662498 0.11132112 0.50627494 0 0 0 0 0.2759518 10.646175 0 0 0.22441703 0 0.22442143 1.5639424 0 0 0 0 0 0
"PLXS01" 0 0 0 0 0 2.5300236 0 0 1.5642394 0 8.662004 0 4.7471337 0 17.25725 9.441942 0 7.8273163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.5871673 0 0 0 0 0 0.15898223 0 0 0.7835392 0 0 0
"20120700_S2X_13" 0 0 0 0 0 1.5868211 0 0 3.693188 0 28.383497 0 9.228272 0 0 21.285267 0 18.502909 0 0 0 0 0 0 0 0 2.8557103 0 0 0 5.703157 0.8802657 0 0.79724157 13.477513 0 0 0.79292375 2.783062 0 3.8206184 0 0 1.5767901 0 0 0
"20130700_P1Y_10" 0 0.22825898 0 0 0 0.5592376 0 0 6.400442 0 4.0587053 0 6.031884 0 0 21.491545 0 9.519965 0.35402864 0 0 0 0 0 0 0 1.2159574 0 0.18567556 0 8.90329 1.4343863 0 3.4975903 6.8343964 0 0 0.32052958 1.5954561 0 12.768625 0 0.23465572 0.98441905 0 0 1.115623
"20110800_S3D_28" 0 0 0 0 0 0.7484279 0 0 0.21399316 0 0.9384257 0 0 0 0.5137424 1.9674214 0 3.5813425 0 0 0 0 0 0 0 0 0 0 0 0 0.13683426 0 0 0 0.49197704 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52" 0 0 0 0 0 0 0 0.06379398 0.49190986 0 0.473895 0 1.1428022 0 0 1.0581099 0 0.10396093 0 0 0.058749504 0.46392977 0.28656062 0.26934168 0 0 0.14215718 0 0.23133779 0 0.97780806 0.11969112 0 0.54405564 0.36694464 0.6298302 0 0.24773806 0 0 0.2798355 0 0.27057385 0.25288984 0 0 0.097354144
"20170700_S25_3" 0 2.8885386 0.16178796 0 5.7861466 0 0 0 74.72042 0 55.147724 0 52.278492 0 0 39.22894 0 13.615771 0 0 0.6649896 0 0 0.058809157 0 0 5.347974 0 0.66541487 0 17.400337 2.8923295 0 3.4156883 34.39915 0 0 0.44286448 1.9042691 0 13.979528 0 3.5226715 1.1690713 0 0 0.38387987
"20120700_P2D_1" 0 0 0 0 0.58268404 0 0 0 8.952976 0 0.38626227 0 27.207848 0 0 45.9978 0 28.016506 0 0 1.052818 9.360374 14.226903 0 0 0 2.2618752 0 2.424933 0 0.38190013 0 0 0 12.395811 0 0 0 0 0 2.8015294 0 0.12541546 0 0 0 0
"20120800_P1D_1" 0 3.921914 0 0 1.6285647 3.2427554 0 0 35.94388 0.17374459 2.0782886 0.2289231 7.703383 0 0 39.207172 0 8.888835 0 0 4.539778 0 0.06600813 1.8484408 0 0 2.0328083 0.079541676 2.6746738 0 12.0378 2.388333 0.08087622 1.25232 51.70837 0.09074199 0.14964497 1.5106544 0.27865028 0.079130866 12.741729 0 2.5192204 2.273305 0 0 0.2948832
"20120800_E1D_14" 0 0 0 0 0 1.3825483 0 0 1.2780011 0 10.306527 0 0 0 0 10.991887 0 32.78095 0 0 0 0 0 0 0 0 0.44077572 0 0 0 0 0 0 0 28.82042 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S3X_7" 0 0.46585196 0 0 0.84338266 0 0 0.3369284 1.5831363 1.1854306 1.8487842 0 0.529001 1.9782758 0 1.3614526 0 0.29388836 0 0 3.2385361 0.53183246 0.4647547 1.6511128 0 0.10562159 1.9787761 0 2.3129776 0 0.5020925 0 0 0.6424829 7.6052794 0 0 0.064137764 0 0.14365385 1.3870776 0 0 0 0 0 0.10087654
"20110800_S2M_3" 0 0 0 0 0 3.1765141 0 0 0 0 12.157982 0 0.17562754 0 0 2.1779032 0 18.102585 0 0 0 0.108331576 0 0 0 0 2.2582698 0 0 0 0 0 0 0 0.0826576 0 0 0 0 0 0 0 0 0 0 0 0
"20170700_S25_13" 0 0 0 0 0 0 0 0 1.1943636 0 1.595957 0.17799947 2.2346964 0.12277475 0 0.65294766 0 1.283679 0 0 1.359396 0 0.17223613 4.9284425 0 0.36109114 2.3949883 0 1.6030518 0 1.0048074 0.10907756 0 0.06541541 2.2067983 0 0 0 0 0 1.3506554 0 0 0 0 0 0
"20130700_P1Y_11" 0 0 0 0 0 0.34458616 0 0 11.223915 0 4.1850224 0 7.2292366 0 0 24.6105 0 4.421849 0 0 1.1548799 0 0 0 0 0 0.37761122 0 0 0 1.7727476 0.24505498 0 0 14.591266 0 0 0 0.1122735 0 0.9932491 0 0 0 0 0 0
