tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4
Root,Root,root,Root,Root,,,,,
CE4,Root,rank_0,CE4,Root,CE4,,,,
Bacteria,CE4,rank_1,Bacteria,Root,CE4,Bacteria,,,
Abditibacteriota_bacterium_IAD-21,Bacteria,rank_2,Abditibacteriota_bacterium_IAD-21,Root,CE4,Bacteria,Abditibacteriota_bacterium_IAD-21,,
Abiotrophia_defectiva_FDAARGOS_785,Bacteria,rank_2,Abiotrophia_defectiva_FDAARGOS_785,Root,CE4,Bacteria,Abiotrophia_defectiva_FDAARGOS_785,,
Absiella_argi_JCM_30884,Bacteria,rank_2,Absiella_argi_JCM_30884,Root,CE4,Bacteria,Absiella_argi_JCM_30884,,
Abyssalbus_ytuae,Bacteria,rank_2,Abyssalbus_ytuae,Root,CE4,Bacteria,Abyssalbus_ytuae,,
Acaryochloris_marina_MBIC10699,Bacteria,rank_2,Acaryochloris_marina_MBIC10699,Root,CE4,Bacteria,Acaryochloris_marina_MBIC10699,,
Acaryochloris_marina_MBIC11017,Bacteria,rank_2,Acaryochloris_marina_MBIC11017,Root,CE4,Bacteria,Acaryochloris_marina_MBIC11017,,
Acaryochloris_marina_S15,Bacteria,rank_2,Acaryochloris_marina_S15,Root,CE4,Bacteria,Acaryochloris_marina_S15,,
Acaryochloris_sp._Moss_Beach,Bacteria,rank_2,Acaryochloris_sp._Moss_Beach,Root,CE4,Bacteria,Acaryochloris_sp._Moss_Beach,,
Acetivibrio_clariflavus_DSM_19732,Bacteria,rank_2,Acetivibrio_clariflavus_DSM_19732,Root,CE4,Bacteria,Acetivibrio_clariflavus_DSM_19732,,
Acetivibrio_saccincola_GGR1,Bacteria,rank_2,Acetivibrio_saccincola_GGR1,Root,CE4,Bacteria,Acetivibrio_saccincola_GGR1,,
Acetivibrio_thermocellus_AD2,Bacteria,rank_2,Acetivibrio_thermocellus_AD2,Root,CE4,Bacteria,Acetivibrio_thermocellus_AD2,,
Acetivibrio_thermocellus_ATCC_27405,Bacteria,rank_2,Acetivibrio_thermocellus_ATCC_27405,Root,CE4,Bacteria,Acetivibrio_thermocellus_ATCC_27405,,
Acetivibrio_thermocellus_DSM_1313,Bacteria,rank_2,Acetivibrio_thermocellus_DSM_1313,Root,CE4,Bacteria,Acetivibrio_thermocellus_DSM_1313,,
Acetivibrio_thermocellus_F1_/_YS,Bacteria,rank_2,Acetivibrio_thermocellus_F1_/_YS,Root,CE4,Bacteria,Acetivibrio_thermocellus_F1_/_YS,,
Acetoanaerobium_sticklandii_DSM_519,Bacteria,rank_2,Acetoanaerobium_sticklandii_DSM_519,Root,CE4,Bacteria,Acetoanaerobium_sticklandii_DSM_519,,
