tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2
Root,Root,root,Root,Root,,,
GH18,Root,rank_0,GH18,Root,GH18,,
Bacteria,GH18,rank_1,Bacteria,Root,GH18,Bacteria,
Abditibacteriota_bacterium_IAD-21,Bacteria,rank_2,Abditibacteriota_bacterium_IAD-21,Root,GH18,Bacteria,Abditibacteriota_bacterium_IAD-21
Abyssalbus_ytuae,Bacteria,rank_2,Abyssalbus_ytuae,Root,GH18,Bacteria,Abyssalbus_ytuae
Eukaryota,GH18,rank_1,Eukaryota,Root,GH18,Eukaryota,
Acanthobrahmaea_europaea,Eukaryota,rank_2,Acanthobrahmaea_europaea,Root,GH18,Eukaryota,Acanthobrahmaea_europaea
Acanthocheilonema_viteae,Eukaryota,rank_2,Acanthocheilonema_viteae,Root,GH18,Eukaryota,Acanthocheilonema_viteae
Viruses,GH18,rank_1,Viruses,Root,GH18,Viruses,
Acanthocystis_turfacea_chlorella_virus_1,Viruses,rank_2,Acanthocystis_turfacea_chlorella_virus_1,Root,GH18,Viruses,Acanthocystis_turfacea_chlorella_virus_1
Acanthocystis_turfacea_Chlorella_virus_Canal-1,Viruses,rank_2,Acanthocystis_turfacea_Chlorella_virus_Canal-1,Root,GH18,Viruses,Acanthocystis_turfacea_Chlorella_virus_Canal-1
Acanthocystis_turfacea_Chlorella_virus_MO0605SPH,Viruses,rank_2,Acanthocystis_turfacea_Chlorella_virus_MO0605SPH,Root,GH18,Viruses,Acanthocystis_turfacea_Chlorella_virus_MO0605SPH
Acanthocystis_turfacea_Chlorella_virus_NE-JV-2,Viruses,rank_2,Acanthocystis_turfacea_Chlorella_virus_NE-JV-2,Root,GH18,Viruses,Acanthocystis_turfacea_Chlorella_virus_NE-JV-2
Acanthocystis_turfacea_Chlorella_virus_NTS-1,Viruses,rank_2,Acanthocystis_turfacea_Chlorella_virus_NTS-1,Root,GH18,Viruses,Acanthocystis_turfacea_Chlorella_virus_NTS-1
Acanthocystis_turfacea_Chlorella_virus_WI0606,Viruses,rank_2,Acanthocystis_turfacea_Chlorella_virus_WI0606,Root,GH18,Viruses,Acanthocystis_turfacea_Chlorella_virus_WI0606
Acanthopagrus_schlegelii,Eukaryota,rank_2,Acanthopagrus_schlegelii,Root,GH18,Eukaryota,Acanthopagrus_schlegelii
Acetivibrio_clariflavus_DSM_19732,Bacteria,rank_2,Acetivibrio_clariflavus_DSM_19732,Root,GH18,Bacteria,Acetivibrio_clariflavus_DSM_19732
Acetivibrio_saccincola_GGR1,Bacteria,rank_2,Acetivibrio_saccincola_GGR1,Root,GH18,Bacteria,Acetivibrio_saccincola_GGR1
Acetivibrio_thermocellus_AD2,Bacteria,rank_2,Acetivibrio_thermocellus_AD2,Root,GH18,Bacteria,Acetivibrio_thermocellus_AD2
Acetivibrio_thermocellus_ATCC_27405,Bacteria,rank_2,Acetivibrio_thermocellus_ATCC_27405,Root,GH18,Bacteria,Acetivibrio_thermocellus_ATCC_27405
Acetivibrio_thermocellus_M3,Bacteria,rank_2,Acetivibrio_thermocellus_M3,Root,GH18,Bacteria,Acetivibrio_thermocellus_M3
Achlya_hypogyna_ATCC_48635,Eukaryota,rank_2,Achlya_hypogyna_ATCC_48635,Root,GH18,Eukaryota,Achlya_hypogyna_ATCC_48635
Acholeplasma_hippikon_NCTC10172,Bacteria,rank_2,Acholeplasma_hippikon_NCTC10172,Root,GH18,Bacteria,Acholeplasma_hippikon_NCTC10172
Acholeplasma_laidlawii_NCTC10116,Bacteria,rank_2,Acholeplasma_laidlawii_NCTC10116,Root,GH18,Bacteria,Acholeplasma_laidlawii_NCTC10116
Acholeplasma_laidlawii_PG-8A,Bacteria,rank_2,Acholeplasma_laidlawii_PG-8A,Root,GH18,Bacteria,Acholeplasma_laidlawii_PG-8A
Acholeplasma_oculi,Bacteria,rank_2,Acholeplasma_oculi,Root,GH18,Bacteria,Acholeplasma_oculi
Acidaminococcus_fermentans_DSM_20731,Bacteria,rank_2,Acidaminococcus_fermentans_DSM_20731,Root,GH18,Bacteria,Acidaminococcus_fermentans_DSM_20731
Acidaminococcus_intestini_D21,Bacteria,rank_2,Acidaminococcus_intestini_D21,Root,GH18,Bacteria,Acidaminococcus_intestini_D21
Acidaminococcus_intestini_RyC-MR95,Bacteria,rank_2,Acidaminococcus_intestini_RyC-MR95,Root,GH18,Bacteria,Acidaminococcus_intestini_RyC-MR95
Acididesulfobacillus_acetoxydans,Bacteria,rank_2,Acididesulfobacillus_acetoxydans,Root,GH18,Bacteria,Acididesulfobacillus_acetoxydans
Acidilutibacter_cellobiosedens_GS13,Bacteria,rank_2,Acidilutibacter_cellobiosedens_GS13,Root,GH18,Bacteria,Acidilutibacter_cellobiosedens_GS13
Acidimicrobium_ferrooxidans_DSM_10331,Bacteria,rank_2,Acidimicrobium_ferrooxidans_DSM_10331,Root,GH18,Bacteria,Acidimicrobium_ferrooxidans_DSM_10331
Acidisarcina_polymorpha_SBC82,Bacteria,rank_2,Acidisarcina_polymorpha_SBC82,Root,GH18,Bacteria,Acidisarcina_polymorpha_SBC82
Acidobacteria_bacterium_DSM_100886,Bacteria,rank_2,Acidobacteria_bacterium_DSM_100886,Root,GH18,Bacteria,Acidobacteria_bacterium_DSM_100886
Acidobacterium_capsulatum_ATCC_51196,Bacteria,rank_2,Acidobacterium_capsulatum_ATCC_51196,Root,GH18,Bacteria,Acidobacterium_capsulatum_ATCC_51196
Acidothermus_cellulolyticus_11B,Bacteria,rank_2,Acidothermus_cellulolyticus_11B,Root,GH18,Bacteria,Acidothermus_cellulolyticus_11B
Acidovorax_avenae_subsp._avenae_AA81_1,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_AA81_1,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_AA81_1
