tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3
Root,Root,root,Root,Root,,,,
GH23,Root,rank_0,GH23,Root,GH23,,,
Bacteria,GH23,rank_1,Bacteria,Root,GH23,Bacteria,,
Abditibacteriota_bacterium_IAD-21,Bacteria,rank_2,Abditibacteriota_bacterium_IAD-21,Root,GH23,Bacteria,Abditibacteriota_bacterium_IAD-21,
Absiella_argi_JCM_30884,Bacteria,rank_2,Absiella_argi_JCM_30884,Root,GH23,Bacteria,Absiella_argi_JCM_30884,
Abyssalbus_ytuae,Bacteria,rank_2,Abyssalbus_ytuae,Root,GH23,Bacteria,Abyssalbus_ytuae,
Abyssogena_phaseoliformis_symbiont_OG214,Bacteria,rank_2,Abyssogena_phaseoliformis_symbiont_OG214,Root,GH23,Bacteria,Abyssogena_phaseoliformis_symbiont_OG214,
Acaryochloris_marina_MBIC10699,Bacteria,rank_2,Acaryochloris_marina_MBIC10699,Root,GH23,Bacteria,Acaryochloris_marina_MBIC10699,
Acaryochloris_marina_S15,Bacteria,rank_2,Acaryochloris_marina_S15,Root,GH23,Bacteria,Acaryochloris_marina_S15,
Acetivibrio_clariflavus_DSM_19732,Bacteria,rank_2,Acetivibrio_clariflavus_DSM_19732,Root,GH23,Bacteria,Acetivibrio_clariflavus_DSM_19732,
Acetivibrio_saccincola_GGR1,Bacteria,rank_2,Acetivibrio_saccincola_GGR1,Root,GH23,Bacteria,Acetivibrio_saccincola_GGR1,
Acetobacter_aceti_JCM20276,Bacteria,rank_2,Acetobacter_aceti_JCM20276,Root,GH23,Bacteria,Acetobacter_aceti_JCM20276,
Acetobacter_aceti_NBRC_14818,Bacteria,rank_2,Acetobacter_aceti_NBRC_14818,Root,GH23,Bacteria,Acetobacter_aceti_NBRC_14818,
Acetobacter_aceti_TMW2.1153,Bacteria,rank_2,Acetobacter_aceti_TMW2.1153,Root,GH23,Bacteria,Acetobacter_aceti_TMW2.1153,
Acetobacter_ascendens_LMG_1590,Bacteria,rank_2,Acetobacter_ascendens_LMG_1590,Root,GH23,Bacteria,Acetobacter_ascendens_LMG_1590,
Acetobacter_ascendens_SRCM101447,Bacteria,rank_2,Acetobacter_ascendens_SRCM101447,Root,GH23,Bacteria,Acetobacter_ascendens_SRCM101447,
Acetobacter_ghanensis_LMG_23848T,Bacteria,rank_2,Acetobacter_ghanensis_LMG_23848T,Root,GH23,Bacteria,Acetobacter_ghanensis_LMG_23848T,
