tax_id,parent_id,rank,tax_name,root,rank_0,rank_1
Root,Root,root,Root,Root,,
rdsrB,Root,rank_0,rdsrB,Root,rdsrB,
Alphaproteobacteria_2,rdsrB,rank_1,Alphaproteobacteria_2,Root,rdsrB,Alphaproteobacteria_2
Chlorobi,rdsrB,rank_1,Chlorobi,Root,rdsrB,Chlorobi
Gammaproteobacteria_2,rdsrB,rank_1,Gammaproteobacteria_2,Root,rdsrB,Gammaproteobacteria_2
Betaproteobacteria,rdsrB,rank_1,Betaproteobacteria,Root,rdsrB,Betaproteobacteria
Alphaproteobacteria,rdsrB,rank_1,Alphaproteobacteria,Root,rdsrB,Alphaproteobacteria
Gammaproteobacteria,rdsrB,rank_1,Gammaproteobacteria,Root,rdsrB,Gammaproteobacteria
Unknown,Root,rank_0,Unknown,Root,Unknown,
dsrB,Root,rank_0,dsrB,Root,dsrB,
Acidobacteriota,dsrB,rank_1,Acidobacteriota,Root,dsrB,Acidobacteriota
Bacteroidota,dsrB,rank_1,Bacteroidota,Root,dsrB,Bacteroidota
Myxococcota,dsrB,rank_1,Myxococcota,Root,dsrB,Myxococcota
Acidobacteriota_2,dsrB,rank_1,Acidobacteriota_2,Root,dsrB,Acidobacteriota_2
Euryarchaeota,dsrB,rank_1,Euryarchaeota,Root,dsrB,Euryarchaeota
Chloroflexota,dsrB,rank_1,Chloroflexota,Root,dsrB,Chloroflexota
Syntrophorhabdia,dsrB,rank_1,Syntrophorhabdia,Root,dsrB,Syntrophorhabdia
Nitrospirota,dsrB,rank_1,Nitrospirota,Root,dsrB,Nitrospirota
Actinobacteria,dsrB,rank_1,Actinobacteria,Root,dsrB,Actinobacteria
Verrucomicrobiota,dsrB,rank_1,Verrucomicrobiota,Root,dsrB,Verrucomicrobiota
Crenarchaeota,dsrB,rank_1,Crenarchaeota,Root,dsrB,Crenarchaeota
Syntrophia,dsrB,rank_1,Syntrophia,Root,dsrB,Syntrophia
Syntrophobacterales,dsrB,rank_1,Syntrophobacterales,Root,dsrB,Syntrophobacterales
Syntrophobacteria,dsrB,rank_1,Syntrophobacteria,Root,dsrB,Syntrophobacteria
Thermodesulfobacteria,dsrB,rank_1,Thermodesulfobacteria,Root,dsrB,Thermodesulfobacteria
Syntrophia_2,dsrB,rank_1,Syntrophia_2,Root,dsrB,Syntrophia_2
Firmicutes,dsrB,rank_1,Firmicutes,Root,dsrB,Firmicutes
Desulfovibrionales,dsrB,rank_1,Desulfovibrionales,Root,dsrB,Desulfovibrionales
