tax_id,parent_id,rank,tax_name,root,rank_0
Root,Root,root,Root,Root,
NxrB,Root,rank_0,NxrB,Root,NxrB
NarH_Halobacteriota,Root,rank_0,NarH_Halobacteriota,Root,NarH_Halobacteriota
NarH_Thermoproteota,Root,rank_0,NarH_Thermoproteota,Root,NarH_Thermoproteota
NxrB_Gammaproteobacteria,Root,rank_0,NxrB_Gammaproteobacteria,Root,NxrB_Gammaproteobacteria
NarH_Desulfobacterota,Root,rank_0,NarH_Desulfobacterota,Root,NarH_Desulfobacterota
NarH_Deferribacterota,Root,rank_0,NarH_Deferribacterota,Root,NarH_Deferribacterota
unknown_1,Root,rank_0,unknown_1,Root,unknown_1
unknown_2,Root,rank_0,unknown_2,Root,unknown_2
NxrB_2,Root,rank_0,NxrB_2,Root,NxrB_2
NarH_Acidobacteriota,Root,rank_0,NarH_Acidobacteriota,Root,NarH_Acidobacteriota
unknown_3,Root,rank_0,unknown_3,Root,unknown_3
unknown_4,Root,rank_0,unknown_4,Root,unknown_4
unknown_5,Root,rank_0,unknown_5,Root,unknown_5
NarH_Firmicutes,Root,rank_0,NarH_Firmicutes,Root,NarH_Firmicutes
NarH_Actinobacteriota,Root,rank_0,NarH_Actinobacteriota,Root,NarH_Actinobacteriota
NarH_Proteobacteria,Root,rank_0,NarH_Proteobacteria,Root,NarH_Proteobacteria
