genome,anaerobe
20100900_E1D_1,TRUE
20100900_E1D_10,TRUE
20100900_E1D_11,FALSE
20100900_E1D_12,TRUE
20100900_E1D_13,FALSE
20100900_E1D_14,TRUE
20100900_E1D_15,TRUE
20100900_E1D_16,TRUE
20100900_E1D_17,FALSE
20100900_E1D_18,TRUE
20100900_E1D_19,TRUE
20100900_E1D_2,TRUE
20100900_E1D_3,TRUE
20100900_E1D_4,FALSE
20100900_E1D_5,TRUE
20100900_E1D_6,FALSE
20100900_E1D_7,TRUE
20100900_E1D_8,TRUE
20100900_E1D_9,TRUE
20100900_E1S_1,FALSE
20100900_E1S_2,TRUE
20100900_E2D_1,TRUE
20100900_E2D_10,FALSE
20100900_E2D_11,TRUE
20100900_E2D_12,TRUE
20100900_E2D_2,TRUE
20100900_E2D_3,FALSE
20100900_E2D_4,TRUE
20100900_E2D_5,TRUE
20100900_E2D_6,TRUE
20100900_E2D_7,TRUE
20100900_E2D_8,TRUE
20100900_E2D_9,TRUE
20100900_E2S_1,FALSE
20100900_E2S_2,TRUE
20100900_E3D_1,TRUE
20100900_E3D_10,TRUE
20100900_E3D_11,TRUE
20100900_E3D_12,TRUE
20100900_E3D_13,TRUE
20100900_E3D_14,TRUE
20100900_E3D_15,FALSE
20100900_E3D_16,TRUE
20100900_E3D_17,TRUE
20100900_E3D_18,TRUE
20100900_E3D_19,TRUE
20100900_E3D_2,TRUE
20100900_E3D_20,TRUE
20100900_E3D_21,FALSE
20100900_E3D_3,TRUE
20100900_E3D_4,FALSE
20100900_E3D_5,TRUE
20100900_E3D_6,FALSE
20100900_E3D_7,TRUE
20100900_E3D_8,TRUE
20100900_E3D_9,TRUE
20100900_E3S_1,TRUE
20110600_E1D_1,FALSE
20110600_E1D_2,FALSE
20110600_E1M_1,TRUE
20110600_E1M_2,TRUE
20110600_E2D_1,TRUE
20110600_E2D_2,TRUE
20110600_E2D_3,TRUE
20110600_E2D_4,FALSE
20110600_E2D_5,TRUE
20110600_E2D_6,FALSE
20110600_E3D_1,TRUE
20110600_E3D_2,TRUE
20110600_E3D_3,FALSE
20110600_E3D_4,TRUE
20110600_E3D_5,TRUE
20110600_E3M_1,FALSE
20110600_E3M_2,FALSE
20110600_E3M_3,TRUE
20110600_E3M_4,TRUE
20110600_E3M_5,FALSE
20110600_E3S_1,TRUE
20110600_E3S_2,TRUE
20110600_E3S_3,FALSE
20110600_E3S_4,FALSE
20110600_E3S_5,TRUE
20110600_E3S_6,TRUE
20110600_E3S_7,TRUE
20110600_P1D_1,TRUE
20110600_P1D_10,TRUE
20110600_P1D_11,FALSE
20110600_P1D_12,FALSE
20110600_P1D_2,FALSE
20110600_P1D_3,FALSE
20110600_P1D_4,FALSE
20110600_P1D_5,FALSE
20110600_P1D_6,TRUE
20110600_P1D_7,FALSE
20110600_P1D_8,TRUE
20110600_P1D_9,FALSE
20110600_P1M_1,FALSE
20110600_P1M_10,TRUE
20110600_P1M_11,FALSE
20110600_P1M_12,TRUE
20110600_P1M_13,FALSE
20110600_P1M_14,FALSE
20110600_P1M_15,TRUE
20110600_P1M_16,TRUE
20110600_P1M_17,TRUE
20110600_P1M_18,TRUE
20110600_P1M_19,TRUE
20110600_P1M_2,TRUE
20110600_P1M_20,TRUE
20110600_P1M_21,FALSE
20110600_P1M_22,TRUE
20110600_P1M_23,TRUE
20110600_P1M_24,FALSE
20110600_P1M_25,TRUE
20110600_P1M_3,TRUE
20110600_P1M_4,TRUE
20110600_P1M_5,TRUE
20110600_P1M_6,TRUE
20110600_P1M_7,FALSE
20110600_P1M_8,FALSE
20110600_P1M_9,TRUE
20110600_P2S_1,TRUE
20110600_P2S_2,TRUE
20110600_P2S_3,TRUE
20110600_P3S_1,TRUE
20110600_P3S_10,TRUE
20110600_P3S_11,TRUE
20110600_P3S_12,TRUE
20110600_P3S_13,FALSE
20110600_P3S_14,TRUE
20110600_P3S_2,TRUE
20110600_P3S_3,TRUE
20110600_P3S_4,TRUE
20110600_P3S_5,TRUE
20110600_P3S_6,TRUE
20110600_P3S_7,TRUE
20110600_P3S_8,FALSE
20110600_P3S_9,TRUE
20110600_S1D_1,TRUE
20110600_S1D_10,TRUE
20110600_S1D_11,TRUE
20110600_S1D_12,TRUE
20110600_S1D_13,TRUE
20110600_S1D_14,TRUE
20110600_S1D_15,TRUE
20110600_S1D_16,TRUE
20110600_S1D_17,FALSE
20110600_S1D_18,TRUE
20110600_S1D_19,TRUE
20110600_S1D_2,TRUE
20110600_S1D_20,TRUE
20110600_S1D_21,TRUE
20110600_S1D_22,TRUE
20110600_S1D_3,TRUE
20110600_S1D_4,TRUE
20110600_S1D_5,TRUE
20110600_S1D_6,TRUE
20110600_S1D_7,TRUE
20110600_S1D_8,TRUE
20110600_S1D_9,TRUE
20110600_S1M_1,TRUE
20110600_S1M_10,FALSE
20110600_S1M_11,TRUE
20110600_S1M_12,TRUE
20110600_S1M_13,TRUE
20110600_S1M_14,TRUE
20110600_S1M_15,TRUE
20110600_S1M_16,TRUE
20110600_S1M_17,TRUE
20110600_S1M_18,TRUE
20110600_S1M_19,TRUE
20110600_S1M_2,TRUE
20110600_S1M_20,TRUE
20110600_S1M_21,TRUE
20110600_S1M_3,TRUE
20110600_S1M_4,TRUE
20110600_S1M_5,TRUE
20110600_S1M_6,TRUE
20110600_S1M_7,TRUE
20110600_S1M_8,TRUE
20110600_S1M_9,TRUE
20110600_S1S_1,TRUE
20110600_S1S_10,TRUE
20110600_S1S_11,TRUE
20110600_S1S_12,TRUE
20110600_S1S_2,TRUE
20110600_S1S_3,TRUE
20110600_S1S_4,TRUE
20110600_S1S_5,TRUE
20110600_S1S_6,TRUE
20110600_S1S_7,TRUE
20110600_S1S_8,TRUE
20110600_S1S_9,TRUE
20110600_S2D_1,TRUE
20110600_S2D_10,FALSE
20110600_S2D_11,TRUE
20110600_S2D_12,TRUE
20110600_S2D_13,TRUE
20110600_S2D_14,TRUE
20110600_S2D_15,TRUE
20110600_S2D_16,TRUE
20110600_S2D_17,TRUE
20110600_S2D_18,TRUE
20110600_S2D_2,TRUE
20110600_S2D_3,TRUE
20110600_S2D_4,TRUE
20110600_S2D_5,TRUE
20110600_S2D_6,TRUE
20110600_S2D_7,TRUE
20110600_S2D_8,TRUE
20110600_S2D_9,TRUE
20110600_S2M_1,TRUE
20110600_S2M_2,TRUE
20110600_S2M_3,TRUE
20110600_S2M_4,TRUE
20110600_S2M_5,TRUE
20110600_S2M_6,TRUE
20110600_S2M_7,TRUE
20110600_S2M_8,TRUE
20110600_S2M_9,TRUE
20110600_S2S_1,TRUE
20110600_S2S_2,TRUE
20110600_S2S_3,TRUE
20110600_S2S_4,TRUE
20110600_S2S_5,TRUE
20110600_S2S_6,FALSE
20110600_S3D_1,TRUE
20110600_S3D_10,TRUE
20110600_S3D_11,TRUE
20110600_S3D_2,TRUE
20110600_S3D_3,TRUE
20110600_S3D_4,TRUE
20110600_S3D_5,FALSE
20110600_S3D_6,TRUE
20110600_S3D_7,TRUE
20110600_S3D_8,TRUE
20110600_S3D_9,TRUE
20110600_S3M_1,TRUE
20110600_S3M_10,TRUE
20110600_S3M_11,TRUE
20110600_S3M_12,TRUE
20110600_S3M_13,TRUE
20110600_S3M_14,TRUE
20110600_S3M_15,FALSE
20110600_S3M_16,FALSE
20110600_S3M_17,TRUE
20110600_S3M_18,TRUE
20110600_S3M_19,TRUE
20110600_S3M_2,TRUE
20110600_S3M_20,TRUE
20110600_S3M_21,TRUE
20110600_S3M_3,TRUE
20110600_S3M_4,TRUE
20110600_S3M_5,TRUE
20110600_S3M_6,TRUE
20110600_S3M_7,TRUE
20110600_S3M_8,TRUE
20110600_S3M_9,TRUE
20110600_S3S_1,FALSE
20110600_S3S_2,TRUE
20110600_S3S_3,TRUE
20110600_S3S_4,FALSE
20110600_S3S_5,TRUE
20110700_E1D_1,TRUE
20110700_E1D_2,FALSE
20110700_E1D_3,FALSE
20110700_E1D_4,TRUE
20110700_E1D_5,TRUE
20110700_E1D_6,TRUE
20110700_E1M_1,FALSE
20110700_E1M_2,TRUE
20110700_E1M_3,TRUE
20110700_E1M_4,TRUE
20110700_E1M_5,TRUE
20110700_E1S_1,TRUE
20110700_E2D_1,FALSE
20110700_E2D_10,TRUE
20110700_E2D_2,TRUE
20110700_E2D_3,TRUE
20110700_E2D_4,TRUE
20110700_E2D_5,TRUE
20110700_E2D_6,TRUE
20110700_E2D_7,TRUE
20110700_E2D_8,FALSE
20110700_E2D_9,TRUE
20110700_E2M_1,TRUE
20110700_E2M_2,TRUE
20110700_E2M_3,TRUE
20110700_E2M_4,TRUE
20110700_E2M_5,FALSE
20110700_E2S_1,TRUE
20110700_E3M_1,TRUE
20110700_E3M_2,FALSE
20110700_E3M_3,FALSE
20110700_E3M_4,TRUE
20110700_E3M_5,TRUE
20110700_E3M_6,TRUE
20110700_E3M_7,FALSE
20110700_E3M_8,FALSE
20110700_P1D_1,TRUE
20110700_P1D_10,TRUE
20110700_P1D_11,TRUE
20110700_P1D_12,TRUE
20110700_P1D_2,TRUE
