x	y	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	pval
nitrogen_redox-nitrogen_fixation	acetogenesis-simple	0.3030484554869933	36.65728611980947	2.4793650003429526e-280	13288	0.28752818297915567	0.31840961622882874	Pearson's product-moment correlation	two.sided	6.327088405938472e-279
nitrogen_redox-ammonia_oxidation	nitrogen_redox-comammox	0.5773068218276206	81.50153511274274	0	13288	0.5658591297021816	0.5885319752809178	Pearson's product-moment correlation	two.sided	0
nitrogen_redox-nitrite_oxidation	nitrogen_redox-comammox	0.2772248459168038	33.26033918993981	4.515096479072181e-233	13288	0.26145544681687405	0.2928462906071328	Pearson's product-moment correlation	two.sided	9.581510001904753e-232
nitrogen_redox-assimilatory_nitrate_reduction	sulfur_redox-dissimilatory_sulfur_oxidation	0.23135449357772525	27.412784552382224	5.556753316584474e-161	13288	0.21519924675558708	0.24738314748728135	Pearson's product-moment correlation	two.sided	7.181035055278397e-160
nitrogen_redox-assimilatory_nitrate_reduction	urea_degradation-all	0.2412192351479687	28.652290168527816	3.016210317151848e-175	13288	0.22514085294371816	0.25716627657191976	Pearson's product-moment correlation	two.sided	4.312539006651153e-174
nitrogen_redox-assimilatory_nitrate_reduction	carbon_redox-dissimilatory_methanotrophy	0.2835106536643323	34.07960759735443	4.044678550477391e-244	13288	0.267799776918607	0.299070798837512	Pearson's product-moment correlation	two.sided	8.767819309421957e-243
nitrogen_redox-assimilatory_nitrate_reduction	phosphorous_redox-assimilatory_phosphonate_oxidation	0.2030550491298331	23.90488677273036	1.0926365154300963e-123	13288	0.18669786665845736	0.219299680866596	Pearson's product-moment correlation	two.sided	1.0851010911857509e-122
nitrogen_redox-assimilatory_nitrate_reduction	phosphorous_redox-anabolic_phosphate_reduction	0.2066046949773327	24.34123883230602	4.48064446752985e-128	13288	0.1902713320133849	0.22282371332450673	Pearson's product-moment correlation	two.sided	4.608662880887846e-127
chemotaxis-all	flagella_assembly-all	0.5489876928810857	75.71365960991685	0	13288	0.5369981739473294	0.5607554675751962	Pearson's product-moment correlation	two.sided	0
chemotaxis-all	xylose_degradation-xylonate_hydratase_pathway	0.20193248750982845	23.767097722528113	2.563053925172462e-122	13288	0.18556786229129354	0.21818513115593519	Pearson's product-moment correlation	two.sided	2.5205447381208207e-121
chemotaxis-all	CAZy-Chitin	0.2276677159497444	26.951860374634066	8.06133172326369e-156	13288	0.21148460167291597	0.2437260319686237	Pearson's product-moment correlation	two.sided	1.0031879477839259e-154
chemotaxis-all	CAZy-Mixed_Linkage_glucans	0.2166463775208416	25.581153854276696	6.192161610306992e-141	13288	0.20038274275909632	0.23279064231151878	Pearson's product-moment correlation	two.sided	7.092839662715281e-140
chemotaxis-all	CAZy-Pectin	0.26179849551314593	31.269035861050263	3.577626198472967e-207	13288	0.24589124670734086	0.27756476473548886	Pearson's product-moment correlation	two.sided	6.556813105565002e-206
chemotaxis-all	CAZy-Polyphenolics	0.24366819173518697	28.96144348218665	6.834704721233687e-179	13288	0.22760941028428625	0.2595944662147221	Pearson's product-moment correlation	two.sided	1.0206492383708973e-177
