Habitat__,genome,tpm
Bog,3300022861_2,159621848.48319694
Bog,Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.30_90.30_1.69,20504834.35092552
Bog,20140700_S11_11,18167631.185504023
Bog,20120700_S1D_59,10565064.07596679
Bog,20120700_S1D_28,9190525.942794759
Bog,Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72,8689490.314662552
Bog,20120700_S3X_7,8073390.2963022925
Bog,20120700_S1D_12,7331629.372129505
Bog,20120700_P3D_148,7074663.627173329
Bog,20170700_S33_24,6918809.708090518
Bog,20120700_S1D_70,6853784.1501173675
Bog,20110700_S2D_21,5941705.634366733
Bog,20150700_S15_15,5546160.473799338
Bog,Bog.Unlabelled.R1.T2.F1.trimmomatic.megahit_bin.58_99.83_0.95,5530166.503358968
Bog,PLGY01,5484964.120362809
Bog,20150700_E15_20,5206929.0250993185
Bog,Bog.None.R3.T0.trimmomatic.megahit_bin.342_91.38_4.21,4911538.153648429
Bog,20120700_S1D_33,4884822.887866638
Bog,20120600_S1D_1,4753862.287501253
Bog,PMGM01,4421615.290395842
Bog,20150700_E14_10,4140036.7727766484
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.340_100.00_1.76,4022027.788724269
Bog,3300037359_10,3734307.253977509
Bog,20120700_S1D_5,3670531.7692083754
Bog,3300029985_7,3239033.2100683074
Bog,20120700_S1D_48,3150552.39689393
Bog,20170700_S24_14,3086670.958243184
Bog,20120700_S1D_107,2798280.4762703413
Bog,20120700_S1D_49,2751005.168615411
Bog,3300037040_8,2726159.4546866305
Bog,3300022861_3,2622226.4682523347
Bog,20120700_S1D_55,2581855.954943129
Bog,20120700_S1D_63,2536146.7562063453
Bog,Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.16_87.66_1.12,2509397.075657731
Bog,20120800_E1D_14,2463592.7137881657
Bog,20140700_S12_15,2417183.359826741
Bog,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.21_87.09_0.86,2367927.638354323
Bog,20150700_E14_2,2367135.849693711
Bog,20170700_S34_24,2307524.02878966
Bog,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.43_92.84_1.75,2265354.558472975
Bog,PLTK01,2260590.099595971
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.289_96.76_2.78,2242376.647618283
Bog,20170700_S25_32,2232452.110111405
Bog,20140700_S22_6,2211041.988459087
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.339_96.94_3.52,2190617.2212835765
Bog,20170700_S24_8,2140478.484329825
Bog,20130700_S1Z_5,1989971.9001424755
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.319_70.64_9.53,1967527.746994231
Bog,3300037207_8,1961612.8436118015
Bog,20120700_S1X_15,1961519.861877783
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.143_96.29_0.88,1948490.9086731635
Bog,20120700_S1D_98,1879621.9529147695
Bog,20110800_S3M_18,1871588.1477661084
Bog,20120700_S1D_97,1809217.5074639674
Bog,20140700_S36_11,1769663.3293000052
Bog,20140700_S11_15,1761260.0552776628
Bog,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62,1690342.0874832917
Bog,20120700_S1D_90,1674253.077398525
Bog,20120700_S1D_95,1666329.3100373202
Bog,PMEE01,1661787.8642285864
Bog,Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,1656214.884974099
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.267_72.59_8.57,1645410.822245348
Bog,20110700_S3M_18,1641508.036775533
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70,1636921.7546331605
Bog,20120700_S1D_6,1631356.2765381548
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.157_96.49_2.63,1627563.9816426558
Bog,20111000_S1D_12,1581959.7218616658
Bog,20140700_S21_14,1545748.2547512916
Bog,Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.36_70.45_7.93,1544502.7533665148
Bog,20140700_S21_13,1495763.1105016158
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.74_92.32_2.91,1495278.5492158805
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.56_97.76_1.08,1478858.226268316
Bog,20120700_S1D_35,1460254.954219317
Bog,20120700_S1D_73,1447642.9253237743
Bog,20170700_S24_4,1444778.6811775363
Bog,20150700_E15_22,1428704.1822982677
Bog,20110700_S3M_15,1410269.928575356
Bog,20130700_P1Y_5,1402985.8341619866
Bog,20140700_S32_12,1398315.0183620146
Bog,20130700_C2M_2,1381185.596136547
Bog,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26,1344076.1417107545
Bog,20120700_S1D_67,1334123.1885563158
Bog,Bog.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.66_77.13_3.14,1328752.9877580325
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.32_77.74_4.21,1327082.6770845328
Bog,20170700_S25_38,1318281.9511620651
Bog,PLCS01,1310907.5878826072
Bog,20120600_S2M_11,1309341.9290175028
Bog,20160700_E25_27,1306145.201126383
Bog,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.40_72.49_7.33,1288032.8062305765
Bog,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92,1282184.1203084637
Bog,PLGF01,1275530.5583650786
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.18_85.86_3.07,1269557.19680294
Bog,Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.46_85.62_3.11,1260500.258811569
Bog,20130700_S2M_1,1244491.4664300233
Bog,20120700_S1D_89,1239456.5484553531
Bog,Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88,1227898.63502777
Bog,20110800_S1D_14,1225293.1608916202
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77,1198795.9950364935
Bog,20110700_S3M_12,1187882.7484739318
Bog,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.96_95.35_0.00,1175669.8229399396
Bog,PLNV01,1161017.6062574165
Bog,20170700_S31_5,1154545.412081083
Bog,20160700_S23_17,1136246.912038408
Bog,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.89_90.44_1.43,1125400.7766459258
Bog,Bog.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.64_99.70_0.45,1116233.126872621
Bog,Bog.Labelled.R1.T2.F1.trimmomatic.megahit_bin.69_82.85_0.58,1113005.5885329922
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.50_93.75_3.45,1093085.1720252219
Bog,20120700_S1D_41,1086580.4769389804
Bog,20110600_S1D_15,1062601.37005313
Bog,20120700_S1D_19,1059536.9880366265
Bog,20110700_P1S_2,1057389.2448951222
Bog,3300038457_7,1035463.043036667
Bog,20120800_P1D_1,1031245.9081214856
Bog,20110800_S3S_23,1028848.0571422265
Bog,20110600_S1D_11,1020407.8877229663
Bog,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.116_96.93_0.86,1005845.2972751856
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.194_91.91_4.74,1002434.122393464
Bog,20160700_E25_7,1001367.5760246273
Bog,20120700_P3D_24,1001230.9850166459
Bog,PLSJ01,987928.5809567923
Bog,Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.126_96.49_2.19,983358.7637603151
Bog,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.104_97.47_4.73,983044.0366867431
Bog,20110800_S3D_14,973807.0427438596
Bog,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,969590.1918428788
Bog,Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.60_95.04_1.94,969395.2010524095
Bog,20150700_E14_4,969193.2231009138
Bog,20120800_E3S_6,965466.613419544
Bog,20140700_S16_1,956785.8207995617
Bog,3300037175_6,954490.4874750371
Bog,Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.122_96.77_0.86,947827.8232881944
Bog,20150700_S21_10,923289.0900339254
Bog,20170700_S25_23,921232.6461745275
Bog,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.42_92.00_1.72,920595.1303475259
Bog,Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.78_85.95_1.00,919249.6805479979
Bog,20120700_S1D_113,917605.9819665166
Bog,20120700_S1D_30,915708.9049803884
Bog,20170700_S25_9,903164.247564351
Bog,20120700_S1D_43,887014.1355812922
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.199_96.50_2.76,878960.7135954552
Bog,20120700_S1D_77,872859.6339573482
Bog,20120700_S1D_102,869685.8654603387
Bog,3300036876_9,867399.297794803
Bog,20170700_S33_22,862955.931014611
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.344_98.63_5.75,852332.4669876827
Bog,20150700_S21_9,852293.7951038539
Bog,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.122_90.43_7.26,846662.3017674709
Bog,20120700_S1D_29,841942.3549431869
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.277_97.34_4.31,840356.9988076392
Bog,20120600_S2D_6,839456.3614526327
Bog,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.128_96.67_1.72,834328.3348535895
Bog,20120600_E1D_19,826084.3788682874
Bog,20170700_S33_33,825109.6159298128
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,824717.8802548598
Bog,20120800_E1D_21,823718.1407263101
Bog,20120700_S1D_27,822241.6033052796
Bog,20120700_S1D_9,819494.3159903447
Bog,PMST01,819210.5243314609
Bog,20150700_E15_18,814570.0652433767
Bog,PMZK01,812882.6222325228
Bog,20130700_C2M_9,808207.5222892282
Bog,20120700_S1D_76,807080.37836094
Bog,3300037196_14,800811.1839223009
Bog,20120700_P3D_102,778040.8214322113
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77,772510.7821167205
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51,771362.589466855
Bog,20120700_S1D_104,760763.8523384554
Bog,Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.181_93.96_0.10,752039.5870777783
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.264_75.64_3.36,749669.6173270865
Bog,20120700_S1D_60,747505.7910931498
Bog,20120700_S1D_79,747439.2151228738
Bog,20170700_S34_29,742901.9671429489
Bog,20120700_S1D_25,740193.6483026558
Bog,20130700_S1X_7,729428.7468810545
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.47_85.24_5.81,727464.3263298308
Bog,3300037185_7,724965.4035374798
Bog,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.148_70.25_9.70,722956.0105990929
Bog,PLSW01,722779.3511381642
Bog,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86,722597.7170660285
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.314_85.82_2.79,720573.9646623066
Bog,20170700_S24_9,716830.552036763
Bog,20110700_P2D_11,712951.2368482972
Bog,20120700_S1D_108,710134.7938710555
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.299_95.52_4.31,706973.3951369966
Bog,20120700_S1D_57,702565.4981155664
Bog,20120700_S1D_46,702333.1544714955
Bog,20120600_E2D_21,691697.7173637252
Bog,20120700_S1D_86,689774.7464062327
Bog,3300037360_7,684154.0674178229
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.166_92.84_2.72,675747.4303309431
Bog,20110600_S1M_11,666608.4880530623
Bog,20150700_E15_6,665585.1909637209
Bog,20110800_S3D_28,658817.063845886
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.201_94.78_1.81,646090.3690012917
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.162_97.41_2.35,643248.1879696988
Bog,20120600_S1D_7,629143.3708531333
Bog,Bog.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.145_91.02_1.42,627652.5728910236
Bog,Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29,616909.7364261658
Bog,20110600_P1M_18,614283.6268086295
Bog,Bog.None.R3.T0.trimmomatic.megahit_bin.32_99.32_2.03,612263.4663864039
Bog,20140700_S22_7,610578.6128465611
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.2_81.64_4.58,608671.474237135
Bog,20120800_E1D_8,607729.0451175242
Bog,Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.5_91.46_5.16,607052.8944032826
Bog,3300036929_5,606748.1749313737
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.355_93.52_0.93,604567.2758006724
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_99.00_0.81,602841.958935413
Bog,Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.142_89.72_0.85,600056.206235589
Bog,20120700_S1D_31,599302.570605637
Bog,20120700_S1D_13,588981.5715099687
Bog,20160700_E23_11,586310.5244747608
Bog,Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.123_80.03_3.65,585510.4320306999
Bog,20170700_S34_36,581684.3216463489
Bog,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.91_72.76_1.72,577370.9115718342
Bog,20110800_S3S_27,576496.0456396773
Bog,20110600_S3M_2,563879.8700736072
Bog,20160700_S23_13,563244.4921345573
Bog,20160700_S11_1,562743.3789080079
Bog,PMWT01,560412.2219988438
Bog,20110800_S1M_20,559572.7386528947
Bog,20160700_S14_9,557296.8192293877
Bog,PLTN01,556805.2519416497
Bog,3300037196_13,554873.0406913627
Bog,20140700_S21_17,553621.4386377424
Bog,20170700_S24_18,552682.600550765
Bog,20120700_S1D_64,546951.8997625409
Bog,20110700_S3M_11,544895.0173042066
Bog,20170700_S34_23,542749.8518457153
Bog,20170700_S33_37,537334.9001447425
Bog,20120700_S1D_52,533952.0037871742
Bog,Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71,530309.6328609145
Bog,20110800_S2M_9,527682.3391384175
Bog,20130700_S3Z_1,526914.2771845143
Bog,20120700_S1D_24,524898.7724137874
Bog,Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.108_95.64_2.59,524446.4773959719
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00,524255.5955452995
Bog,20110800_S1D_5,517019.9296694132
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17,515190.2686817799
Bog,20110800_S2M_3,508560.76795132156
Bog,20130700_S3M_3,508413.1675945859
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75,505853.0844127766
Bog,20150700_P31_7,503748.8673322839
Bog,20130700_C1Y_13,494719.522742866
Bog,20150700_S15_12,493011.2425473591
Bog,20120800_E1D_18,490199.5334118529
Bog,20120600_E3D_3,485262.4822301624
Bog,20120700_P3D_35,484195.7803139407
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.122_92.03_1.72,482672.7492468749
Bog,20120700_S1D_61,481421.86301722465
Bog,20160700_S23_5,478075.63329866854
Bog,20150700_E14_5,476877.9182810797
Bog,20110800_S3S_4,476832.9638813327
Bog,20120800_E1D_7,475788.7349593498
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78,462898.84084624436
Bog,20110800_S3S_24,462524.1508250268
Bog,PLSL01,459476.08054333634
Bog,20120600_P3M_9,459130.6907773769
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08,458456.9041285533
Bog,20160700_S13_16,456848.10973569367
Bog,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.70_92.60_2.94,456022.2966688873
Bog,20130700_P1Y_10,454657.67125365406
Bog,Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88,453313.9611612555
Bog,Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52,449136.56637634157
Bog,3300031524_30,447783.73822029436
Bog,20120600_P2M_9,438534.8294608387
Bog,Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05,436765.47423723416
Bog,20150700_E14_13,435679.424327471
Bog,20160700_P15_3,434995.95659433753
Bog,3300037349_9,431707.7263420077
Bog,20160700_S13_19,431509.4660467782
Bog,20140700_S21_18,429705.2772197883
Bog,20170700_S31_11,428085.23829926323
Bog,20170700_S24_16,426278.2254660734
Bog,20170700_S25_13,425113.4387302942
Bog,20160700_S34_5,423572.48319192854
Bog,20150700_P14_7,419245.2732226161
Bog,20130700_S3M_11,417638.360604228
