gene_id	gene_description	module	sheet	header	subheader	potential_amg
K00001	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K00002	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K00008	EMERGE	xylose_degradation_4	EMERGE	Emerge	xylitol->D-xylulose	False
K00016	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K00022	EMERGE	HPHB_DCHB_21	EMERGE	Emerge	3-hydroxybutanoyl-CoA->acetoacetyl-CoA	False
K00023	EMERGE	HPHB_DCHB_21	EMERGE	Emerge	3-hydroxybutanoyl-CoA->acetoacetyl-CoA	False
K00041	EMERGE	galacturonic_acid_degradation_2	EMERGE	Emerge	D-tagaturonate->D-altronate	False
K00043	EMERGE	HPHB_DCHB_17	EMERGE	Emerge	succinate semialdehyde->4-hydroxybutanoate	False
K00057	EMERGE	glycerol_degradation_2	EMERGE	Emerge	glycerol-3-P->glycerone-P	False
K00074	EMERGE	HPHB_DCHB_21	EMERGE	Emerge	3-hydroxybutanoyl-CoA->acetoacetyl-CoA	False
K00078	EMERGE	xylose_degradation_5	EMERGE	Emerge	D-xylose->D-xylonolactone	False
K00101	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K00102	EMERGE	propionate_fermentation_10	EMERGE	Emerge	pyruvate->lactate	False
K00111	EMERGE	glycerol_degradation_2	EMERGE	Emerge	glycerol-3-P->glycerone-P	False
K00112	EMERGE	glycerol_degradation_2	EMERGE	Emerge	glycerol-3-P->glycerone-P	False
K00113	EMERGE	glycerol_degradation_2	EMERGE	Emerge	glycerol-3-P->glycerone-P	False
K00114	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K00117	EMERGE	xylose_degradation_8	EMERGE	Emerge	D-xylose->D-xylonate	False
K00121	EMERGE	ethanol_fermentation_3	EMERGE	Emerge	acetaldehyde->ethanol	False
K00122	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K00123	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K00124	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K00127	EMERGE	carbon_redox_7	EMERGE	Emerge	formate->carbon dioxide	False
K00132	EMERGE	ethanol_fermentation_2	EMERGE	Emerge	acetyl-CoA->acetaldehyde	False
K00134	EMERGE	Calvin_Benson_3	EMERGE	Emerge	glycerate-1,3-bis-P->glyceraldehyde-3-P	False
K00148	EMERGE	carbon_redox_6	EMERGE	Emerge	formaldehyde->formate	False
K00150	EMERGE	Calvin_Benson_3	EMERGE	Emerge	glycerate-1,3-bis-P->glyceraldehyde-3-P	False
K00156	EMERGE	acetogenesis_4	EMERGE	Emerge	pyruvate->acetate	False
K00158	EMERGE	acetogenesis_5	EMERGE	Emerge	pyruvate->acetyl-P	False
K00161	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
K00162	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
K00163	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
