genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20100900_E1D_10,generalist,NA,NA
20100900_E1D_13,macromolecule_degrader,NA,NA
20100900_E1D_4,macromolecule_degrader,NA,NA
20100900_E1D_8,generalist,NA,NA
20100900_E1D_9,fermenter,NA,NA
20100900_E2D_7,fermenter,NA,sulfur_oxidiser
20100900_E3D_12,fermenter,NA,NA
20100900_E3D_5,methanogen,nitrogen_fixer,NA
20100900_E3S_1,generalist,NA,NA
20110600_P1D_1,generalist,NA,sulfur_oxidiser
20110600_P1D_12,macromolecule_degrader,NA,NA
20110600_P1D_4,macromolecule_degrader,NA,NA
20110600_P1D_5,macromolecule_degrader,NA,NA
20110600_P1D_7,macromolecule_degrader,NA,NA
20110600_P1M_1,generalist,NA,NA
20110600_P1M_10,fermenter,NA,NA
20110600_P1M_13,macromolecule_degrader,NA,NA
20110600_P1M_15,fermenter,NA,sulfur_oxidiser
20110600_P1M_17,generalist,NA,NA
20110600_P1M_18,generalist,NA,NA
20110600_P1M_20,generalist,NA,sulfur_oxidiser
20110600_P1M_21,macromolecule_degrader,NA,NA
20110600_P1M_22,generalist,NA,sulfur_oxidiser
20110600_P1M_23,fermenter,NA,NA
20110600_P1M_24,generalist,NA,NA
20110600_P1M_25,fermenter,NA,NA
20110600_P1M_3,generalist,NA,NA
20110600_P1M_4,fermenter,NA,sulfur_oxidiser
20110600_P1M_5,generalist,NA,NA
20110600_P1M_6,fermenter,NA,NA
20110600_P1M_7,macromolecule_degrader,NA,NA
20110600_P1M_8,generalist,NA,NA
20110600_P1M_9,generalist,NA,NA
20110600_P2S_1,fermenter,NA,sulfur_oxidiser
20110600_P2S_2,fermenter,NA,NA
20110600_P2S_3,generalist,NA,NA
20110600_P3S_11,fermenter,NA,sulfur_oxidiser
20110600_P3S_13,generalist,NA,NA
20110600_P3S_14,generalist,NA,NA
20110600_P3S_4,generalist,NA,NA
20110600_P3S_5,fermenter,NA,NA
20110600_P3S_9,generalist,NA,NA
20110600_S1D_11,generalist,nitrogen_fixer,NA
20110600_S1D_15,generalist,NA,NA
20110600_S1D_17,generalist,nitrogen_fixer,NA
20110600_S1M_11,generalist,nitrogen_fixer,NA
20110600_S1S_4,generalist,NA,NA
20110600_S3M_2,generalist,NA,NA
20110700_E1D_5,generalist,NA,NA
20110700_P1D_2,generalist,NA,NA
20110700_P1D_6,fermenter,nitrate_reducer,sulfur_oxidiser
20110700_P1M_3,generalist,NA,NA
20110700_P1S_10,generalist,NA,NA
20110700_P1S_11,generalist,NA,NA
20110700_P1S_12,generalist,NA,NA
20110700_P1S_2,generalist,NA,NA
20110700_P2D_11,generalist,NA,NA
20110700_P2D_15,generalist,nitrogen_fixer,NA
20110700_P2D_19,generalist,NA,sulfur_oxidiser
20110700_P2D_2,fermenter,NA,NA
20110700_P2D_21,generalist,NA,NA
20110700_P2D_26,fermenter,NA,sulfur_oxidiser
20110700_P2D_27,fermenter,NA,NA
20110700_P2D_29,generalist,NA,sulfur_oxidiser
20110700_P2D_30,macromolecule_degrader,NA,NA
20110700_P2D_37,generalist,NA,sulfur_oxidiser
20110700_P2D_7,generalist,NA,NA
20110700_P2D_8,generalist,NA,sulfur_oxidiser
20110700_P2D_9,generalist,NA,NA
20110700_P2M_2,fermenter,NA,NA
20110700_P2M_4,generalist,NA,NA
20110700_P2M_8,generalist,NA,sulfur_oxidiser
20110700_P2S_4,macromolecule_degrader,NA,NA
20110700_P2S_5,generalist,NA,NA
20110700_P2S_6,fermenter,NA,NA
20110700_P2S_7,generalist,NA,NA
20110700_P3D_13,fermenter,NA,NA
20110700_P3M_11,generalist,NA,NA
20110700_P3M_3,fermenter,NA,NA
20110700_P3M_9,fermenter,NA,NA
20110700_P3S_3,fermenter,NA,sulfur_oxidiser
20110700_P3S_5,fermenter,NA,NA
20110700_P3S_8,fermenter,NA,NA
20110700_S2D_14,homoacetogen,NA,NA
20110700_S2D_21,methanogen,NA,NA
20110700_S2D_6,fermenter,NA,NA
20110700_S3M_11,generalist,NA,NA
20110700_S3M_12,fermenter,NA,sulfate_reducer
20110700_S3M_15,generalist,NA,NA
20110700_S3M_18,generalist,NA,sulfur_oxidiser
20110800_E1D_1,fermenter,NA,NA
20110800_E1D_2,monomer_degrader,NA,NA
20110800_E1D_22,generalist,NA,NA
20110800_E1D_3,generalist,nitrogen_fixer,NA
20110800_E1D_4,fermenter,NA,NA
20110800_E1D_5,generalist,NA,NA
20110800_E1D_6,fermenter,NA,NA
20110800_E1S_2,generalist,NA,sulfur_oxidiser
20110800_E1S_5,methanogen,NA,NA
20110800_E2D_12,macromolecule_degrader,NA,NA
20110800_E2D_15,generalist,NA,NA
20110800_E2D_18,macromolecule_degrader,NA,NA
20110800_E2D_20,fermenter,NA,NA
20110800_E2D_22,generalist,NA,NA
20110800_E2D_26,homoacetogen,NA,NA
20110800_E2D_3,generalist,NA,NA
20110800_E2D_31,homoacetogen,NA,NA
20110800_E2D_32,generalist,NA,NA
20110800_E2D_33,macromolecule_degrader,NA,sulfur_oxidiser
20110800_E2D_34,generalist,NA,NA
20110800_E2D_35,generalist,NA,sulfur_oxidiser
20110800_E2D_5,generalist,NA,NA
20110800_E2D_6,homoacetogen,NA,sulfur_oxidiser
20110800_E2D_8,fermenter,NA,NA
20110800_E2D_9,generalist,NA,sulfate_reducer
20110800_E2S_1,fermenter,NA,sulfur_oxidiser
20110800_E2S_11,methanogen,NA,NA
20110800_E2S_12,generalist,NA,NA
20110800_E2S_4,generalist,NA,NA
20110800_E3D_1,fermenter,NA,NA
20110800_E3D_10,methanogen,NA,NA
20110800_E3D_11,fermenter,NA,NA
20110800_E3D_13,generalist,NA,NA
20110800_E3D_15,fermenter,NA,NA
20110800_E3D_16,generalist,NA,NA
20110800_E3D_17,generalist,NA,NA
20110800_E3D_18,generalist,NA,NA
20110800_E3D_19,generalist,NA,NA
20110800_E3D_20,generalist,NA,NA
20110800_E3D_26,generalist,NA,NA
20110800_E3D_28,generalist,NA,NA
