temporal_sample_id 	sequencer 	read_basename           	included?
                   	HiSeq     	20100900_E1D            	FALSE
                   	HiSeq     	20100900_E1S            	FALSE
                   	HiSeq     	20100900_E2D            	FALSE
                   	HiSeq     	20100900_E2S            	FALSE
                   	HiSeq     	20100900_E3D            	FALSE
                   	HiSeq     	20100900_E3S            	FALSE
                   	HiSeq     	20110600_E1D            	FALSE
                   	HiSeq     	20110600_E1M            	FALSE
                   	HiSeq     	20110600_E1S            	FALSE
                   	HiSeq     	20110600_E2D            	FALSE
                   	HiSeq     	20110600_E2S            	FALSE
                   	HiSeq     	20110600_E3D            	FALSE
                   	HiSeq     	20110600_E3M            	FALSE
                   	HiSeq     	20110600_E3S            	FALSE
                   	HiSeq     	20110600_P1D            	FALSE
                   	HiSeq     	20110600_P1M            	FALSE
                   	HiSeq     	20110600_P2S            	FALSE
                   	HiSeq     	20110600_P3S            	FALSE
                   	HiSeq     	20110600_S1D            	FALSE
                   	HiSeq     	20110600_S1M            	FALSE
                   	HiSeq     	20110600_S1S            	FALSE
                   	HiSeq     	20110600_S2D            	FALSE
                   	HiSeq     	20110600_S2M            	FALSE
                   	HiSeq     	20110600_S2S            	FALSE
                   	HiSeq     	20110600_S3D            	FALSE
                   	HiSeq     	20110600_S3M            	FALSE
                   	HiSeq     	20110600_S3S            	FALSE
711_E-1-D          	HiSeq     	20110700_E1D            	FALSE
711_E-1-M          	HiSeq     	20110700_E1M            	FALSE
711_E-1-S          	HiSeq     	20110700_E1S            	FALSE
711_E-2-D          	HiSeq     	20110700_E2D            	FALSE
711_E-2-M          	HiSeq     	20110700_E2M            	FALSE
711_E-2-S          	HiSeq     	20110700_E2S            	FALSE
711_E-3-D          	HiSeq     	20110700_E3D            	FALSE
711_E-3-M          	HiSeq     	20110700_E3M            	FALSE
711_E-3-S          	HiSeq     	20110700_E3S            	FALSE
711_P-1-D          	HiSeq     	20110700_P1D            	FALSE
711_P-1-M          	HiSeq     	20110700_P1M            	FALSE
711_P-1-S          	HiSeq     	20110700_P1S            	FALSE
711_P-2-D          	HiSeq     	20110700_P2D            	FALSE
711_P-2-M          	HiSeq     	20110700_P2M            	FALSE
711_P-2-S          	HiSeq     	20110700_P2S            	FALSE
711_P-3-D          	HiSeq     	20110700_P3D            	FALSE
711_P-3-M          	HiSeq     	20110700_P3M            	FALSE
711_P-3-S          	HiSeq     	20110700_P3S            	FALSE
711_S-1-D          	HiSeq     	20110700_S1D            	FALSE
711_S-1-M          	HiSeq     	20110700_S1M            	FALSE
711_S-1-S          	HiSeq     	20110700_S1S            	FALSE
711_S-2-D          	HiSeq     	20110700_S2D            	FALSE
711_S-2-M          	HiSeq     	20110700_S2M            	FALSE
711_S-3-M          	HiSeq     	20110700_S3M            	FALSE
                   	HiSeq     	20110800_E1D            	FALSE
                   	HiSeq     	20110800_E1M            	FALSE
                   	HiSeq     	20110800_E1S            	FALSE
                   	HiSeq     	20110800_E2D            	FALSE
                   	HiSeq     	20110800_E2M            	FALSE
                   	HiSeq     	20110800_E2S            	FALSE
                   	HiSeq     	20110800_E3D            	FALSE
                   	HiSeq     	20110800_E3M            	FALSE
                   	HiSeq     	20110800_E3S            	FALSE
                   	HiSeq     	20110800_P1D            	FALSE
                   	HiSeq     	20110800_P1M            	FALSE
                   	HiSeq     	20110800_P1S            	FALSE
                   	HiSeq     	20110800_P2D            	FALSE
                   	HiSeq     	20110800_P3M            	FALSE
                   	HiSeq     	20110800_P3S            	FALSE
                   	HiSeq     	20110800_S1D            	FALSE
                   	HiSeq     	20110800_S1M            	FALSE
                   	HiSeq     	20110800_S1S            	FALSE
                   	HiSeq     	20110800_S2D            	FALSE
                   	HiSeq     	20110800_S2M            	FALSE
                   	HiSeq     	20110800_S2S            	FALSE
                   	HiSeq     	20110800_S3D            	FALSE
                   	HiSeq     	20110800_S3M            	FALSE
                   	HiSeq     	20110800_S3S            	FALSE
                   	HiSeq     	20111000_E2D            	FALSE
                   	HiSeq     	20111000_E2M            	FALSE
                   	HiSeq     	20111000_E2S            	FALSE
                   	HiSeq     	20111000_E3D            	FALSE
                   	HiSeq     	20111000_E3M            	FALSE
                   	HiSeq     	20111000_E3S            	FALSE
                   	HiSeq     	20111000_P1D            	FALSE
                   	HiSeq     	20111000_P1M            	FALSE
                   	HiSeq     	20111000_P1S            	FALSE
                   	HiSeq     	20111000_P2D            	FALSE
                   	HiSeq     	20111000_P2M            	FALSE
                   	HiSeq     	20111000_P2S            	FALSE
                   	HiSeq     	20111000_P3D            	FALSE
