"","net$colors","mergedColors"
"20100900_E1D_10",1,"turquoise"
"20100900_E1D_13",1,"turquoise"
"20100900_E1D_4",17,"grey60"
"20100900_E1D_8",1,"turquoise"
"20100900_E1D_9",17,"grey60"
"20100900_E2D_7",1,"turquoise"
"20100900_E3D_12",1,"turquoise"
"20100900_E3D_5",1,"turquoise"
"20100900_E3S_1",5,"green"
"20110600_P1D_1",21,"darkred"
"20110600_P1M_17",21,"darkred"
"20110600_P1M_18",11,"greenyellow"
"20110600_P1M_4",11,"greenyellow"
"20110600_P1M_7",11,"greenyellow"
"20110600_P3S_13",7,"black"
"20110600_P3S_14",7,"black"
"20110600_P3S_4",12,"tan"
"20110600_P3S_5",12,"tan"
"20110600_P3S_9",7,"black"
"20110600_S1D_11",3,"brown"
"20110600_S1D_15",3,"brown"
"20110600_S1D_17",3,"brown"
"20110600_S1M_11",10,"purple"
"20110600_S1S_4",4,"yellow"
"20110600_S3M_2",1,"turquoise"
"20110700_E1D_5",1,"turquoise"
"20110700_P1D_2",16,"lightcyan"
"20110700_P1M_3",15,"midnightblue"
"20110700_P1S_10",15,"midnightblue"
"20110700_P1S_11",7,"black"
"20110700_P1S_12",7,"black"
"20110700_P1S_2",8,"pink"
"20110700_P2D_11",10,"purple"
"20110700_P2D_21",5,"green"
"20110700_P2D_26",13,"salmon"
"20110700_P2D_27",16,"lightcyan"
"20110700_P2D_30",13,"salmon"
"20110700_P2D_37",13,"salmon"
"20110700_P2D_7",21,"darkred"
"20110700_P2D_8",0,"grey"
"20110700_P2D_9",21,"darkred"
"20110700_P2M_2",11,"greenyellow"
"20110700_P2M_8",11,"greenyellow"
"20110700_P2S_4",8,"pink"
"20110700_P2S_6",8,"pink"
"20110700_P3D_13",13,"salmon"
"20110700_P3M_11",11,"greenyellow"
"20110700_P3M_3",15,"midnightblue"
"20110700_P3M_9",15,"midnightblue"
"20110700_P3S_3",7,"black"
"20110700_P3S_5",15,"midnightblue"
"20110700_P3S_8",7,"black"
"20110700_S2D_14",18,"lightgreen"
"20110700_S2D_21",18,"lightgreen"
"20110700_S2D_6",10,"purple"
"20110700_S3M_11",3,"brown"
"20110700_S3M_12",3,"brown"
"20110700_S3M_15",12,"tan"
"20110700_S3M_18",10,"purple"
"20110800_E1D_1",1,"turquoise"
"20110800_E1D_22",2,"blue"
"20110800_E1D_3",1,"turquoise"
"20110800_E1D_4",1,"turquoise"
"20110800_E1D_5",2,"blue"
"20110800_E1D_6",1,"turquoise"
"20110800_E1S_2",5,"green"
"20110800_E1S_5",5,"green"
"20110800_E2D_12",5,"green"
"20110800_E2D_15",2,"blue"
"20110800_E2D_18",2,"blue"
"20110800_E2D_20",2,"blue"
"20110800_E2D_22",2,"blue"
"20110800_E2D_26",2,"blue"
"20110800_E2D_3",2,"blue"
"20110800_E2D_31",2,"blue"
"20110800_E2D_32",1,"turquoise"
"20110800_E2D_35",2,"blue"
"20110800_E2D_5",2,"blue"
"20110800_E2D_6",2,"blue"
"20110800_E2D_8",20,"royalblue"
"20110800_E2D_9",5,"green"
"20110800_E2S_1",5,"green"
"20110800_E2S_11",5,"green"
"20110800_E2S_12",19,"lightyellow"
"20110800_E2S_4",5,"green"
"20110800_E3D_1",17,"grey60"
"20110800_E3D_10",2,"blue"
"20110800_E3D_11",2,"blue"
"20110800_E3D_13",1,"turquoise"
"20110800_E3D_15",2,"blue"
"20110800_E3D_16",17,"grey60"
"20110800_E3D_17",1,"turquoise"
"20110800_E3D_18",2,"blue"
"20110800_E3D_19",2,"blue"
"20110800_E3D_20",2,"blue"
"20110800_E3D_22",2,"blue"
"20110800_E3D_26",2,"blue"
"20110800_E3D_28",2,"blue"
"20110800_E3D_3",2,"blue"
"20110800_E3D_30",2,"blue"
"20110800_E3D_35",2,"blue"
"20110800_E3D_36",2,"blue"
"20110800_E3D_38",2,"blue"
"20110800_E3D_4",2,"blue"
"20110800_E3D_40",2,"blue"
"20110800_E3D_41",5,"green"
"20110800_E3D_5",2,"blue"
"20110800_E3D_9",18,"lightgreen"
"20110800_E3M_2",19,"lightyellow"
"20110800_E3M_4",19,"lightyellow"
"20110800_E3M_6",19,"lightyellow"
"20110800_E3S_2",19,"lightyellow"
"20110800_P1D_16",16,"lightcyan"
"20110800_P1D_22",21,"darkred"
"20110800_P1D_29",20,"royalblue"
"20110800_P1M_19",16,"lightcyan"
"20110800_P1M_9",16,"lightcyan"
"20110800_P1S_2",8,"pink"
"20110800_P1S_5",15,"midnightblue"
"20110800_P2D_12",16,"lightcyan"
"20110800_P2D_8",13,"salmon"
"20110800_P2D_9",21,"darkred"
"20110800_P3M_11",11,"greenyellow"
"20110800_P3M_18",11,"greenyellow"
"20110800_P3M_3",11,"greenyellow"
"20110800_P3S_2",15,"midnightblue"
"20110800_P3S_5",15,"midnightblue"
"20110800_P3S_8",8,"pink"
"20110800_P3S_9",7,"black"
"20110800_S1D_14",18,"lightgreen"
"20110800_S1D_5",18,"lightgreen"
"20110800_S1M_17",10,"purple"
"20110800_S1M_20",18,"lightgreen"
"20110800_S1M_32",18,"lightgreen"
"20110800_S1M_8",18,"lightgreen"
"20110800_S1S_1",14,"cyan"
"20110800_S1S_18",14,"cyan"
"20110800_S1S_3",14,"cyan"
"20110800_S1S_6",14,"cyan"
"20110800_S1S_9",14,"cyan"
"20110800_S2M_3",3,"brown"
"20110800_S2M_9",3,"brown"
"20110800_S3D_14",10,"purple"
"20110800_S3D_19",18,"lightgreen"
"20110800_S3D_28",3,"brown"
"20110800_S3D_3",3,"brown"
"20110800_S3M_18",4,"yellow"
"20110800_S3S_12",14,"cyan"
"20110800_S3S_13",14,"cyan"
"20110800_S3S_2",14,"cyan"
"20110800_S3S_23",14,"cyan"
"20110800_S3S_24",14,"cyan"
"20110800_S3S_25",9,"magenta"
"20110800_S3S_26",14,"cyan"
"20110800_S3S_27",9,"magenta"
"20110800_S3S_28",14,"cyan"
"20110800_S3S_4",9,"magenta"
"20110800_S3S_9",14,"cyan"
"20111000_E3D_3",1,"turquoise"
"20111000_E3D_5",17,"grey60"
"20111000_E3D_7",17,"grey60"
"20111000_E3D_9",17,"grey60"
"20111000_P1D_11",20,"royalblue"
"20111000_P1D_14",20,"royalblue"
"20111000_P1M_5",13,"salmon"
"20111000_P1M_7",21,"darkred"
"20111000_P1S_1",7,"black"
"20111000_P1S_2",7,"black"
"20111000_P1S_5",7,"black"
"20111000_P1S_6",7,"black"
"20111000_P2D_13",13,"salmon"
"20111000_P2D_14",13,"salmon"
"20111000_P2D_16",20,"royalblue"
"20111000_P2D_3",13,"salmon"
"20111000_P2D_4",2,"blue"
"20111000_P2D_6",20,"royalblue"
"20111000_P2M_3",13,"salmon"
"20111000_P2M_7",11,"greenyellow"
"20111000_P2S_1",7,"black"
"20111000_P3M_22",16,"lightcyan"
"20111000_P3M_32",16,"lightcyan"
"20111000_P3M_44",16,"lightcyan"
"20111000_P3M_9",16,"lightcyan"
"20111000_S1D_12",4,"yellow"
"20111000_S1D_14",6,"red"
"20111000_S1D_3",4,"yellow"
"20111000_S1D_6",4,"yellow"
"20111000_S2M_4",6,"red"
"20111000_S3M_6",4,"yellow"
"20111000_S3S_10",14,"cyan"
"20111000_S3S_7",14,"cyan"
"20120500_P13_5",13,"salmon"
"20120500_P13_9",13,"salmon"
"20120500_P15_4",11,"greenyellow"
"20120500_P17_2",20,"royalblue"
"20120500_P19_10",2,"blue"
