"","net$colors","mergedColors"
"20100900_E1D_10",4,"yellow"
"20100900_E1D_13",8,"pink"
"20100900_E1D_4",7,"black"
"20100900_E1D_8",8,"pink"
"20100900_E1D_9",7,"black"
"20100900_E2D_7",4,"yellow"
"20100900_E3D_12",4,"yellow"
"20100900_E3D_5",3,"brown"
"20100900_E3S_1",2,"blue"
"20110600_S1D_11",8,"pink"
"20110600_S3M_2",6,"red"
"20110700_E1D_5",8,"pink"
"20110700_P1D_2",2,"blue"
"20110700_P2D_11",5,"green"
"20110700_P2D_21",1,"turquoise"
"20110700_P2D_27",1,"turquoise"
"20110700_P2D_8",5,"green"
"20110700_S2D_21",5,"green"
"20110700_S2D_6",3,"brown"
"20110700_S3M_12",1,"turquoise"
"20110800_E1D_1",8,"pink"
"20110800_E1D_22",1,"turquoise"
"20110800_E1D_3",8,"pink"
"20110800_E1D_4",5,"green"
"20110800_E1D_5",1,"turquoise"
"20110800_E1D_6",8,"pink"
"20110800_E1S_2",2,"blue"
"20110800_E1S_5",2,"blue"
"20110800_E2D_12",9,"magenta"
"20110800_E2D_15",1,"turquoise"
"20110800_E2D_18",1,"turquoise"
"20110800_E2D_20",1,"turquoise"
"20110800_E2D_22",1,"turquoise"
"20110800_E2D_26",10,"purple"
"20110800_E2D_3",10,"purple"
"20110800_E2D_31",11,"greenyellow"
"20110800_E2D_32",1,"turquoise"
"20110800_E2D_34",10,"purple"
"20110800_E2D_35",1,"turquoise"
"20110800_E2D_5",1,"turquoise"
"20110800_E2D_6",10,"purple"
"20110800_E2D_9",10,"purple"
"20110800_E2S_1",2,"blue"
"20110800_E2S_11",2,"blue"
"20110800_E2S_12",2,"blue"
"20110800_E2S_4",2,"blue"
"20110800_E3D_1",7,"black"
"20110800_E3D_10",1,"turquoise"
"20110800_E3D_11",1,"turquoise"
"20110800_E3D_13",7,"black"
"20110800_E3D_15",1,"turquoise"
"20110800_E3D_16",7,"black"
"20110800_E3D_17",1,"turquoise"
"20110800_E3D_18",1,"turquoise"
"20110800_E3D_19",1,"turquoise"
"20110800_E3D_20",1,"turquoise"
"20110800_E3D_22",1,"turquoise"
"20110800_E3D_26",11,"greenyellow"
"20110800_E3D_28",1,"turquoise"
"20110800_E3D_3",1,"turquoise"
"20110800_E3D_30",1,"turquoise"
"20110800_E3D_35",1,"turquoise"
"20110800_E3D_36",1,"turquoise"
"20110800_E3D_38",1,"turquoise"
"20110800_E3D_4",1,"turquoise"
"20110800_E3D_40",1,"turquoise"
"20110800_E3D_41",2,"blue"
"20110800_E3D_5",1,"turquoise"
"20110800_E3D_9",5,"green"
"20110800_E3M_2",9,"magenta"
"20110800_E3M_4",9,"magenta"
"20110800_E3M_6",9,"magenta"
"20110800_E3S_2",9,"magenta"
"20110800_P1D_16",2,"blue"
"20110800_P1D_29",1,"turquoise"
"20110800_P1M_9",11,"greenyellow"
"20110800_S1D_14",5,"green"
"20110800_S1D_5",5,"green"
"20110800_S1M_17",5,"green"
"20110800_S2M_3",6,"red"
"20110800_S3D_28",6,"red"
"20111000_E3D_3",8,"pink"
"20111000_E3D_5",7,"black"
"20111000_E3D_7",7,"black"
"20111000_E3D_9",7,"black"
"20111000_P1D_14",11,"greenyellow"
"20111000_P2D_16",0,"grey"
"20111000_P2D_3",1,"turquoise"
"20111000_P2D_4",1,"turquoise"
"20111000_P3M_22",2,"blue"
"20111000_P3M_32",10,"purple"
"20111000_P3M_44",11,"greenyellow"
"20111000_S1D_14",2,"blue"
"20120500_P19_10",10,"purple"
"20120500_P19_7",1,"turquoise"
"20120500_P19_8",1,"turquoise"
"20120500_P26_1",10,"purple"
"20120500_P26_12",10,"purple"
"20120500_P26_5",11,"greenyellow"
"20120500_P26_8",11,"greenyellow"
"20120500_P28_11",6,"red"
"20120500_P38_6",1,"turquoise"
"20120600_E1D_13",4,"yellow"
"20120600_E1D_16",2,"blue"
"20120600_E1D_17",4,"yellow"
"20120600_E1D_18",3,"brown"
"20120600_E1D_19",3,"brown"
"20120600_E1D_20",4,"yellow"
"20120600_E1D_25",4,"yellow"
"20120600_E1D_30",3,"brown"
"20120600_E1D_31",4,"yellow"
"20120600_E1D_32",3,"brown"
"20120600_E1D_34",4,"yellow"
"20120600_E1D_37",7,"black"
"20120600_E1D_38",4,"yellow"
"20120600_E1D_41",5,"green"
"20120600_E1D_42",3,"brown"
"20120600_E1D_48",3,"brown"
"20120600_E1D_5",2,"blue"
"20120600_E1D_51",4,"yellow"
"20120600_E1D_52",8,"pink"
"20120600_E1D_53",8,"pink"
"20120600_E1D_55",4,"yellow"
"20120600_E1D_6",3,"brown"
"20120600_E1D_9",2,"blue"
"20120600_E2D_1",5,"green"
"20120600_E2D_11",4,"yellow"
"20120600_E2D_12",0,"grey"
"20120600_E2D_15",7,"black"
"20120600_E2D_16",4,"yellow"
"20120600_E2D_19",9,"magenta"
"20120600_E2D_2",4,"yellow"
"20120600_E2D_21",5,"green"
"20120600_E2D_24",4,"yellow"
"20120600_E2D_27",2,"blue"
"20120600_E2D_28",5,"green"
"20120600_E2D_33",4,"yellow"
"20120600_E2D_36",3,"brown"
"20120600_E2D_38",2,"blue"
"20120600_E2D_39",5,"green"
"20120600_E2D_41",8,"pink"
"20120600_E2D_47",2,"blue"
"20120600_E2D_49",9,"magenta"
"20120600_E2D_57",3,"brown"
"20120600_E2D_7",3,"brown"
"20120600_E2D_8",2,"blue"
"20120600_E2D_9",2,"blue"
"20120600_E3D_13",2,"blue"
"20120600_E3D_14",4,"yellow"
"20120600_E3D_17",4,"yellow"
"20120600_E3D_18",4,"yellow"
"20120600_E3D_2",2,"blue"
"20120600_E3D_20",4,"yellow"
"20120600_E3D_25",2,"blue"
"20120600_E3D_27",4,"yellow"
"20120600_E3D_29",2,"blue"
"20120600_E3D_3",3,"brown"
"20120600_E3D_33",9,"magenta"
"20120600_E3D_36",2,"blue"
"20120600_E3D_37",9,"magenta"
"20120600_E3D_38",6,"red"
"20120600_E3D_41",7,"black"
"20120600_E3D_42",7,"black"
"20120600_E3D_45",2,"blue"
"20120600_E3D_46",4,"yellow"
"20120600_E3D_48",4,"yellow"
"20120600_E3D_49",4,"yellow"
"20120600_E3D_50",4,"yellow"
"20120600_E3D_8",4,"yellow"
"20120600_S1D_7",5,"green"
"20120600_S2D_6",3,"brown"
"20120600_S3D_1",5,"green"
"20120700_E1D_7",6,"red"
"20120700_E1X_4",11,"greenyellow"
"20120700_E2D_6",7,"black"
"20120700_E2X_1",9,"magenta"
"20120700_E3M_1",9,"magenta"
"20120700_E3M_2",9,"magenta"
"20120700_E3M_5",2,"blue"
"20120700_E3X_7",1,"turquoise"
"20120700_P1D_3",6,"red"
"20120700_P3D_1",3,"brown"
"20120700_P3D_10",11,"greenyellow"
"20120700_P3D_100",10,"purple"
"20120700_P3D_101",1,"turquoise"
"20120700_P3D_102",1,"turquoise"
"20120700_P3D_105",1,"turquoise"
"20120700_P3D_108",1,"turquoise"
"20120700_P3D_117",0,"grey"
"20120700_P3D_12",1,"turquoise"
"20120700_P3D_140",1,"turquoise"
"20120700_P3D_142",1,"turquoise"
"20120700_P3D_148",3,"brown"
"20120700_P3D_2",10,"purple"
"20120700_P3D_20",3,"brown"
"20120700_P3D_35",4,"yellow"
"20120700_P3D_44",9,"magenta"
"20120700_P3D_55",1,"turquoise"
"20120700_P3D_7",1,"turquoise"
"20120700_P3D_73",1,"turquoise"
"20120700_P3D_84",1,"turquoise"
"20120700_P3D_87",1,"turquoise"
"20120700_P3D_90",1,"turquoise"
"20120700_P3D_99",1,"turquoise"
"20120700_S1D_102",3,"brown"
"20120700_S1D_104",5,"green"
"20120700_S1D_106",4,"yellow"
