"","net$colors","mergedColors"
"20110600_P1D_1",2,"blue"
"20110600_P1M_17",5,"green"
"20110600_P1M_18",2,"blue"
"20110600_P1M_4",2,"blue"
"20110600_P1M_7",2,"blue"
"20110600_P3S_13",1,"turquoise"
"20110600_P3S_14",1,"turquoise"
"20110600_P3S_5",1,"turquoise"
"20110600_P3S_9",1,"turquoise"
"20110600_S1D_17",6,"red"
"20110700_P1M_3",2,"blue"
"20110700_P1S_10",4,"yellow"
"20110700_P1S_11",1,"turquoise"
"20110700_P1S_12",1,"turquoise"
"20110700_P1S_2",1,"turquoise"
"20110700_P2D_26",6,"red"
"20110700_P2D_30",5,"green"
"20110700_P2D_37",7,"black"
"20110700_P2D_7",5,"green"
"20110700_P2M_2",2,"blue"
"20110700_P2M_8",2,"blue"
"20110700_P2S_4",3,"brown"
"20110700_P2S_6",3,"brown"
"20110700_P3D_13",7,"black"
"20110700_P3M_11",2,"blue"
"20110700_P3M_3",4,"yellow"
"20110700_P3M_9",4,"yellow"
"20110700_P3S_3",1,"turquoise"
"20110700_P3S_5",4,"yellow"
"20110700_P3S_8",1,"turquoise"
"20110800_E2D_15",8,"pink"
"20110800_P1D_22",5,"green"
"20110800_P1M_19",5,"green"
"20110800_P1M_9",5,"green"
"20110800_P1S_2",3,"brown"
"20110800_P1S_5",4,"yellow"
"20110800_P2D_12",5,"green"
"20110800_P2D_8",7,"black"
"20110800_P2D_9",5,"green"
"20110800_P3M_11",2,"blue"
"20110800_P3M_18",2,"blue"
"20110800_P3M_3",2,"blue"
"20110800_P3S_2",4,"yellow"
"20110800_P3S_5",4,"yellow"
"20110800_P3S_8",1,"turquoise"
"20110800_P3S_9",1,"turquoise"
"20110800_S2M_3",6,"red"
"20110800_S3D_28",6,"red"
"20110800_S3D_3",7,"black"
"20111000_P1M_5",5,"green"
"20111000_P1S_1",1,"turquoise"
"20111000_P1S_2",1,"turquoise"
"20111000_P1S_5",1,"turquoise"
"20111000_P1S_6",1,"turquoise"
"20111000_P2D_13",6,"red"
"20111000_P2D_14",6,"red"
"20111000_P2D_3",6,"red"
"20111000_P2D_6",8,"pink"
"20111000_P2M_3",7,"black"
"20111000_P2M_7",2,"blue"
"20111000_P2S_1",1,"turquoise"
"20111000_P3M_44",5,"green"
"20120500_P13_5",7,"black"
"20120500_P13_9",7,"black"
"20120500_P15_4",2,"blue"
"20120500_P17_2",8,"pink"
"20120500_P23_1",2,"blue"
"20120500_P23_4",2,"blue"
"20120500_P23_5",2,"blue"
"20120500_P23_6",2,"blue"
"20120500_P24_5",7,"black"
"20120500_P24_7",2,"blue"
"20120500_P24_8",2,"blue"
"20120500_P25_12",5,"green"
"20120500_P26_1",8,"pink"
"20120500_P26_5",8,"pink"
"20120500_P26_8",8,"pink"
"20120500_P28_11",8,"pink"
"20120500_P28_12",5,"green"
"20120500_P31_3",3,"brown"
"20120500_P31_6",4,"yellow"
"20120500_P31_8",4,"yellow"
"20120500_P32_2",2,"blue"
"20120500_P32_4",2,"blue"
"20120500_P32_5",0,"grey"
"20120500_P32_6",2,"blue"
"20120600_E2D_21",6,"red"
"20120600_P1M_1",1,"turquoise"
"20120600_P2M_10",3,"brown"
"20120600_P2M_5",4,"yellow"
"20120600_P2M_7",3,"brown"
"20120600_P2M_8",4,"yellow"
"20120600_P2M_9",3,"brown"
"20120600_P2S_3",1,"turquoise"
"20120600_P2S_4",1,"turquoise"
"20120600_P3D_1",2,"blue"
"20120600_P3D_3",2,"blue"
"20120600_P3M_10",3,"brown"
"20120600_P3M_11",4,"yellow"
"20120600_P3M_2",4,"yellow"
"20120600_P3M_3",3,"brown"
"20120600_P3M_4",1,"turquoise"
"20120600_P3M_5",1,"turquoise"
"20120600_P3M_6",1,"turquoise"
"20120600_P3M_9",3,"brown"
"20120600_P3S_2",1,"turquoise"
"20120700_P1D_3",5,"green"
"20120700_P1M_1",4,"yellow"
"20120700_P1M_6",2,"blue"
"20120700_P2D_1",6,"red"
"20120700_P2D_10",7,"black"
"20120700_P2D_11",7,"black"
"20120700_P2D_5",7,"black"
"20120700_P2D_8",7,"black"
"20120700_P2M_1",2,"blue"
"20120700_P2M_5",4,"yellow"
"20120700_P3D_11",5,"green"
"20120700_P3D_119",5,"green"
"20120700_P3D_136",5,"green"
"20120700_P3D_139",8,"pink"
"20120700_P3D_143",5,"green"
"20120700_P3D_25",5,"green"
"20120700_P3D_27",8,"pink"
"20120700_P3D_33",5,"green"
"20120700_P3D_35",8,"pink"
"20120700_P3D_38",5,"green"
"20120700_P3D_40",5,"green"
"20120700_P3D_46",5,"green"
"20120700_P3D_5",5,"green"
"20120700_P3D_58",6,"red"
"20120700_P3D_71",5,"green"
"20120700_P3D_74",5,"green"
"20120700_P3D_75",8,"pink"
"20120700_P3D_83",5,"green"
"20120700_P3D_84",5,"green"
"20120700_P3D_87",7,"black"
"20120700_P3D_88",8,"pink"
"20120700_P3D_9",8,"pink"
"20120700_P3D_97",5,"green"
"20120700_P3S_1",3,"brown"
"20120700_P3S_2",3,"brown"
"20120700_S1D_69",6,"red"
"20120700_S1X_12",6,"red"
"20120700_S2X_13",6,"red"
"20120700_S3X_7",6,"red"
"20120800_E1D_14",6,"red"
"20120800_P1D_1",6,"red"
"20120800_P1D_2",7,"black"
"20120800_P2D_2",7,"black"
"20120800_P2D_5",7,"black"
"20120800_P2M_7",4,"yellow"
"20120800_S3X_7",8,"pink"
"20130700_C2M_2",1,"turquoise"
"20130700_C2Y_2",8,"pink"
"20130700_P1Y_10",6,"red"
"20130700_P1Y_11",6,"red"
"20130700_P1Y_12",7,"black"
"20130700_P1Y_3",6,"red"
"20130700_P1Y_5",6,"red"
"20130700_P1Y_8",6,"red"
"20130700_S1X_7",2,"blue"
"20130700_S3M_11",2,"blue"
"20140700_S31_11",3,"brown"
"20150700_P11_4",0,"grey"
"20150700_P11_6",1,"turquoise"
"20150700_P13_2",3,"brown"
"20150700_P13_7",3,"brown"
"20150700_P13_8",0,"grey"
"20150700_P14_12",4,"yellow"
"20150700_P14_6",4,"yellow"
"20150700_P14_7",4,"yellow"
"20150700_P15_1",2,"blue"
"20150700_P15_11",4,"yellow"
"20150700_P15_12",2,"blue"
"20150700_P15_13",4,"yellow"
"20150700_P15_16",4,"yellow"
"20150700_P15_3",3,"brown"
"20150700_P15_4",4,"yellow"
"20150700_P15_5",4,"yellow"
"20150700_P15_9",4,"yellow"
"20150700_P21_1",4,"yellow"
"20150700_P21_10",3,"brown"
"20150700_P21_2",3,"brown"
"20150700_P21_5",1,"turquoise"
"20150700_P21_8",3,"brown"
"20150700_P23_11",4,"yellow"
"20150700_P23_7",2,"blue"
"20150700_P24_12",2,"blue"
"20150700_P24_5",2,"blue"
"20150700_P24_7",7,"black"
"20150700_P24_8",7,"black"
"20150700_P31_13",3,"brown"
"20150700_P31_3",3,"brown"
"20150700_P31_7",3,"brown"
"20150700_S23_11",1,"turquoise"
"20160700_P15_10",2,"blue"
"20160700_P15_13",2,"blue"
"20160700_P15_15",2,"blue"
"20160700_P15_16",7,"black"
"20160700_P15_17",7,"black"
"20160700_P15_18",2,"blue"
"20160700_P15_19",2,"blue"
"20160700_P15_2",2,"blue"
"20160700_P15_24",2,"blue"
"20160700_P15_25",7,"black"
"20160700_P15_3",2,"blue"
"20160700_P15_5",7,"black"
"20160700_P15_8",2,"blue"
"20160700_P15_9",5,"green"
"20160700_S14_9",6,"red"
"20160700_S23_13",2,"blue"
"20160700_S23_14",7,"black"
"20160700_S23_17",2,"blue"
"20160700_S23_5",3,"brown"
"20170700_P14_3",2,"blue"
"20170700_P31_1",3,"brown"
"20170700_P33_1",4,"yellow"
"20170700_P34_4",2,"blue"
"20170700_S25_1",6,"red"
"20170700_S25_13",6,"red"
"20170700_S25_3",6,"red"
"20170700_S25_36",3,"brown"
"20170700_S33_22",2,"blue"
"20170700_S34_32",3,"brown"
"3300031525_28",3,"brown"
"3300036901_8",4,"yellow"
"3300037138_9",2,"blue"
"3300037139_5",7,"black"
"3300037147_7",0,"grey"
"3300037159_8",2,"blue"
"3300037180_6",2,"blue"
"3300037228_7",4,"yellow"
"3300037241_7",2,"blue"
"3300037353_11",2,"blue"
"3300037394_5",2,"blue"
"3300038478_6",3,"brown"
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.157_96.49_2.63",8,"pink"
