node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
344,20130700_P1Y_10,0.0421686746988,0.0159916846694,5.516851998533274e-08,7,7
345,20130700_P1Y_12,0.078313253012,0.0190089327528,4.048606189732388e-08,13,7
346,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.238_96.77_6.03,,,,,7
347,PMSU01,,,,,7
340,20170700_P23_1,,,,,7
341,20110800_E2D_31,,,,,7
342,20150700_P21_10,0.078313253012,0.00529071423831,-1.0619115719078517e-17,13,7
343,20130700_P1Y_11,,,,,7
348,3300037076_33,,,,,7
349,3300037076_30,,,,,7
298,20120700_P3D_73,,,,,7
299,20120700_P3D_72,,,,,7
296,PMZK01,,,,,7
297,20120700_P3D_71,,,,,7
294,20120700_P3D_75,,,,,7
295,20120700_P3D_74,,,,,7
292,20120500_P19_11,,,,,7
293,20120700_P3D_79,,,,,7
290,Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48,0.0240963855422,0.0,-8.287239476181269e-17,4,7
291,20120500_P19_10,,,,,7
199,20110800_E2D_8,,,,,7
198,20110800_E2D_9,,,,,7
195,20120700_P2D_5,,,,,7
194,20120500_P34_3,,,,,7
197,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.320_77.36_1.34,0.0602409638554,0.0108172768159,2.024551546285189e-17,10,7
196,20110800_E2D_20,,,,,7
191,20120700_P2M_5,0.0843373493976,0.014604068718,1.936485518763846e-17,14,7
190,20120700_P2M_1,0.0180722891566,0.00686381891201,3.178083798858038e-07,3,7
193,20120700_P2D_1,0.00602409638554,0.0,3.2402909950088676e-10,1,7
192,20120700_P2D_8,0.0301204819277,0.00708896190824,4.083100268652032e-09,5,7
270,20110700_P2D_26,,,,,7
271,20150700_P13_8,0.00602409638554,0.0,1.0667770766611153e-17,1,7
272,3300037159_6,,,,,7
273,20110700_P2D_21,,,,,7
274,3300037159_8,0.0240963855422,0.0307849580139,0.012210011460539882,4,7
275,20150700_P13_2,0.0240963855422,0.0,1.654248243667835e-17,4,7
276,20120600_P3D_3,0.0180722891566,0.0,2.1035815997811443e-17,3,7
277,20150700_P13_7,,,,,7
278,20120600_P3D_1,,,,,7
279,3300037237_7,,,,,7
449,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.128_97.22_0.00,,,,,7
448,20130700_S1X_7,0.00602409638554,0.0,2.856165558546086e-07,1,7
443,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.137_79.13_4.55,,,,,7
