level,bin_type,contig_type,sample,num_binned,num_assembled,num_not_found,percent_binned,percent_assembled
genus,derep95,10000,novaseq.20170700_S24,65227,51348,4353,90.7,71.4
genus,derep95,10000,novaseq.713_CPNO2-1-M,30900,23591,9176,72.0,55.0
genus,all,2500,novaseq.20150700_E23,24362,24117,5754,74.6,73.8
species,derep95,10000,20110600_S3D,8394,6415,4069,62.2,47.5
genus,all,2500,I_Fen_E2_2,31396,37618,34065,40.9,49.0
species,derep95,10000,II_Palsa_N1_3,17997,19694,43934,25.7,28.1
genus,derep95,10000,novaseq.20160700_S23,54812,42593,5430,86.9,67.5
species,derep95,10000,20140700_S32,6023,5000,13974,28.0,23.2
genus,derep95,10000,II_Bog_N3_2,48526,38219,8676,80.1,63.1
species,derep95,10000,20150700_P23,5261,4673,15090,23.8,21.2
species,derep95,10000,II_Fen_N3_2,10485,8758,49648,16.5,13.8
genus,derep95,10000,novaseq.20120700_S1X,42670,31888,3164,90.8,67.8
genus,all,2500,novaseq.II_Bog_C1,19708,19956,3126,78.7,79.7
species,all,2500,20170700_S31,8261,10630,15106,30.0,38.7
species,all,2500,20130700_P1Y,6187,7040,7151,39.7,45.2
genus,derep95,10000,20111000_S2D,15282,11613,1668,87.1,66.2
genus,all,2500,II_Palsa_E3_1,34973,35793,12849,65.4,67.0
genus,derep95,10000,20110700_S3M,28150,21802,2440,89.4,69.2
genus,derep95,10000,20170700_S31,18901,14383,7076,68.7,52.3
genus,all,2500,20120600_P1D,4618,4741,1385,68.3,70.1
species,derep95,10000,novaseq.Fen_T0_1,13838,16178,336381,3.8,4.5
genus,derep95,10000,20130700_C2S,7000,4923,5408,54.0,38.0
genus,all,2500,20150700_P33,12006,12624,3273,69.7,73.3
genus,derep95,10000,novaseq.20130700_S1Y,9539,7246,487,92.6,70.3
species,derep95,10000,20110800_P1S,2432,2122,11111,16.8,14.7
species,all,2500,20120800_E3D,6754,6710,15639,27.7,27.5
species,derep95,10000,20120700_E2X,42015,36655,485687,7.7,6.7
species,derep95,10000,20140700_S24,7104,5573,6507,47.9,37.6
species,derep95,10000,novaseq.IV_Palsa_F2,1968,1955,6798,20.6,20.5
genus,all,2500,novaseq.20110700_P3S,22607,23610,5896,70.2,73.3
species,all,2500,20150700_P14,6754,8503,14729,27.2,34.2
genus,derep95,10000,20120600_E3D,73436,47443,59511,53.2,34.4
species,derep95,10000,novaseq.713_CPNO1-2-M,9570,11271,25468,23.2,27.4
species,all,2500,20110700_E2D,6637,8268,11757,31.0,38.6
species,derep95,10000,novaseq.20150700_P25,22102,17110,10635,59.8,46.3
species,all,2500,novaseq.20110700_P2S,13731,20806,29958,25.3,38.3
species,derep95,10000,20150700_P13,4821,4006,17305,20.3,16.9
genus,all,2500,20110800_P3M,13914,14073,3492,71.9,72.7
genus,derep95,10000,20110700_E2D,13804,8946,6744,64.4,41.7
species,derep95,10000,20170700_S21,4483,3660,10984,26.9,22.0
genus,all,2500,novaseq.IRBS_T0,9684,9027,3410,67.2,62.6
genus,derep95,10000,20170700_E34,7029,5336,3087,65.8,50.0
genus,all,2500,20120500_P28,15471,13777,3828,71.3,63.5
genus,all,2500,novaseq.IRFS_T100,9661,9412,2922,71.2,69.4
species,all,2500,I_Fen_E1_1,3641,7125,29919,9.6,18.9
species,derep95,10000,III_Bog_E1_1,13739,11931,19253,37.3,32.4
species,all,2500,novaseq.20170700_S24,52334,53072,9991,72.8,73.8
species,derep95,10000,20120500_P32,2251,1632,7595,21.4,15.5
genus,all,2500,20150700_P35,9686,9871,1634,76.5,77.9
species,all,2500,20170700_S35,16162,19324,21870,36.6,43.7
genus,all,2500,20120800_S3X,7049,6694,240,93.6,88.9
genus,all,2500,20120700_E3X,4570,4256,1876,65.6,61.1
species,all,2500,I_Palsa_N3_2,15574,24826,31995,26.0,41.4
species,all,2500,20120700_S1M,7793,8244,8257,43.1,45.6
species,all,2500,20120600_S1D,6943,6849,2211,67.7,66.8
species,all,2500,novaseq.20150700_S35,43601,40630,8711,76.6,71.4
species,all,2500,20130700_C1X,9228,10341,20819,27.6,31.0
