MAG	Data Origin	VIP Score	Module Color	Environmental Variable	Pathways
20120500_P23_6	All	2.25745276877	blue	d15N_peat	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20170700_P14_3	All	2.15941898863	blue	d15N_peat	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-xylonate_hydratase_pathway
3300037180_6	All	1.81993105305	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
20160700_P15_13	All	1.80035454901	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,urea_degradation-all,xylose_degradation-isomerase_pathway
20120700_P2M_1	All	1.71727428937	blue	d15N_peat	Calvin_Benson-all,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,chemotaxis-all,lactate_fermentation-all,urea_degradation-all
20160700_P15_3	All	1.41688618784	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Xyloglucan,chemotaxis-all,glycerol_degradation-glycerol
20150700_P24_12	All	1.40336254217	blue	d15N_peat	acetogenesis-simple,CAZy-Alpha_galactans,CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-xylonate_hydratase_pathway
20120600_P3D_3	All	1.33695464307	blue	d15N_peat	CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,glycerol_degradation-glycerol,reductive_glycine-serine_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
20120700_P1M_6	All	1.31788699553	blue	d15N_peat	CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway
20110700_P3M_11	All	1.28822866857	blue	d15N_peat	Calvin_Benson-all,CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
