value,Var1,Var2,Depth1,Depth2,Year1,Year2,Habitat1,Habitat2,year_comparison
0.35635897,X711_E.1.M,X711_E.1.S,0-9,0-9,2011,2011,Fen,Fen,within
0.51044108,X711_E.1.S,X711_E.2.S,0-9,0-9,2011,2011,Fen,Fen,within
0.61908431,X711_E.1.S,X711_E.2.M,0-9,0-9,2011,2011,Fen,Fen,within
0.39146829,X711_E.1.S,X711_E.3.S,0-9,0-9,2011,2011,Fen,Fen,within
0.46901475,X711_E.1.S,X711_E.3.M,0-9,0-9,2011,2011,Fen,Fen,within
0.607795,X711_E.1.S,X712_E.1.M,0-9,0-9,2011,2012,Fen,Fen,between
0.50174265,X711_E.1.S,X712_E.2.S,0-9,0-9,2011,2012,Fen,Fen,between
0.47325625,X711_E.1.S,X712_E.2.M,0-9,0-9,2011,2012,Fen,Fen,between
0.56321629,X711_E.1.S,X712_E.3.S,0-9,0-9,2011,2012,Fen,Fen,between
0.39940856,X711_E.1.S,X712_E.3.M,0-9,0-9,2011,2012,Fen,Fen,between
0.58277118,X711_E.1.S,X713_E.1.S,0-9,0-9,2011,2013,Fen,Fen,between
0.58773579,X711_E.1.S,X713_E.1.M,0-9,0-9,2011,2013,Fen,Fen,between
0.27544296,X711_E.1.S,X713_E.2.S,0-9,0-9,2011,2013,Fen,Fen,between
0.37996508,X711_E.1.S,X713_E.2.M,0-9,0-9,2011,2013,Fen,Fen,between
0.41550193,X711_E.1.S,X713_E.3.S,0-9,0-9,2011,2013,Fen,Fen,between
0.56081793,X711_E.1.S,X713_E.3.M,0-9,0-9,2011,2013,Fen,Fen,between
0.60079603,X711_E.1.S,X714_E1_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.62858342,X711_E.1.S,X714_E1_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.56513304,X711_E.1.S,X714_E2_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.74404196,X711_E.1.S,X714_E2_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.52863702,X711_E.1.S,X715_E1_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.39625274,X711_E.1.S,X715_E2_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.65438451,X711_E.1.S,X715_E3_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.45042021,X711_E.1.S,X716_E1_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.6158218,X711_E.1.S,X716_E3_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.38705596,X711_E.1.S,X717_E2_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.47074993,X711_E.1.S,X717_E3_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.36699285,X711_E.1.M,X711_E.2.S,0-9,0-9,2011,2011,Fen,Fen,within
0.43091118,X711_E.1.M,X711_E.2.M,0-9,0-9,2011,2011,Fen,Fen,within
0.37263889,X711_E.1.M,X711_E.3.S,0-9,0-9,2011,2011,Fen,Fen,within
0.29711513,X711_E.1.M,X711_E.3.M,0-9,0-9,2011,2011,Fen,Fen,within
0.46241576,X711_E.1.M,X712_E.1.M,0-9,0-9,2011,2012,Fen,Fen,between
0.36531085,X711_E.1.M,X712_E.2.S,0-9,0-9,2011,2012,Fen,Fen,between
0.40090944,X711_E.1.M,X712_E.2.M,0-9,0-9,2011,2012,Fen,Fen,between
0.52397337,X711_E.1.M,X712_E.3.S,0-9,0-9,2011,2012,Fen,Fen,between
0.50257432,X711_E.1.M,X712_E.3.M,0-9,0-9,2011,2012,Fen,Fen,between
0.4588333,X711_E.1.M,X713_E.1.S,0-9,0-9,2011,2013,Fen,Fen,between
0.43170193,X711_E.1.M,X713_E.1.M,0-9,0-9,2011,2013,Fen,Fen,between
0.39402992,X711_E.1.M,X713_E.2.S,0-9,0-9,2011,2013,Fen,Fen,between
0.34770746,X711_E.1.M,X713_E.2.M,0-9,0-9,2011,2013,Fen,Fen,between
0.18212435,X711_E.1.M,X713_E.3.S,0-9,0-9,2011,2013,Fen,Fen,between
0.48407694,X711_E.1.M,X713_E.3.M,0-9,0-9,2011,2013,Fen,Fen,between
0.56446502,X711_E.1.M,X714_E1_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.54799158,X711_E.1.M,X714_E1_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.47101316,X711_E.1.M,X714_E2_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.572162,X711_E.1.M,X714_E2_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.31026497,X711_E.1.M,X715_E1_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.38013159,X711_E.1.M,X715_E2_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.63889335,X711_E.1.M,X715_E3_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.43877553,X711_E.1.M,X716_E1_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.66917249,X711_E.1.M,X716_E3_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.41694261,X711_E.1.M,X717_E2_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.52136781,X711_E.1.M,X717_E3_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.29957044,X711_E.1.D,X711_E.2.D,20-29,20-29,2011,2011,Fen,Fen,within
0.36216696,X711_E.1.D,X711_E.3.D,20-29,20-29,2011,2011,Fen,Fen,within
0.54662255,X711_E.1.D,X712_E.1.D,20-29,20-29,2011,2012,Fen,Fen,between
0.31229629,X711_E.1.D,X712_E.2.D,20-29,20-29,2011,2012,Fen,Fen,between
0.30401183,X711_E.1.D,X712_E.3.D,20-29,20-29,2011,2012,Fen,Fen,between
0.78513522,X711_E.1.D,X713_E.1.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.72589301,X711_E.1.D,X713_E.2.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.8434384,X711_E.1.D,X713_E.3.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.57317104,X711_E.1.D,X714_E1_20.24,20-29,20-29,2011,2014,Fen,Fen,between
0.34894505,X711_E.1.D,X714_E2_20.24,20-29,20-29,2011,2014,Fen,Fen,between
0.27120727,X711_E.1.D,X715_E2_20.24,20-29,20-29,2011,2015,Fen,Fen,between
0.38413246,X711_E.1.D,X715_E3_20.24,20-29,20-29,2011,2015,Fen,Fen,between
0.24349278,X711_E.1.D,X716_E1_20.24,20-29,20-29,2011,2016,Fen,Fen,between
0.40457936,X711_E.1.D,X717_E2_20.24,20-29,20-29,2011,2017,Fen,Fen,between
0.38952131,X711_E.2.M,X711_E.2.S,0-9,0-9,2011,2011,Fen,Fen,within
0.42951737,X711_E.2.S,X711_E.3.S,0-9,0-9,2011,2011,Fen,Fen,within
0.3762568,X711_E.2.S,X711_E.3.M,0-9,0-9,2011,2011,Fen,Fen,within
0.58628394,X711_E.2.S,X712_E.1.M,0-9,0-9,2011,2012,Fen,Fen,between
0.36507289,X711_E.2.S,X712_E.2.S,0-9,0-9,2011,2012,Fen,Fen,between
0.2417265,X711_E.2.S,X712_E.2.M,0-9,0-9,2011,2012,Fen,Fen,between
0.66531923,X711_E.2.S,X712_E.3.S,0-9,0-9,2011,2012,Fen,Fen,between
0.53032282,X711_E.2.S,X712_E.3.M,0-9,0-9,2011,2012,Fen,Fen,between
0.51897005,X711_E.2.S,X713_E.1.S,0-9,0-9,2011,2013,Fen,Fen,between
0.51000561,X711_E.2.S,X713_E.1.M,0-9,0-9,2011,2013,Fen,Fen,between
0.47572454,X711_E.2.S,X713_E.2.S,0-9,0-9,2011,2013,Fen,Fen,between
0.54898433,X711_E.2.S,X713_E.2.M,0-9,0-9,2011,2013,Fen,Fen,between
0.40221579,X711_E.2.S,X713_E.3.S,0-9,0-9,2011,2013,Fen,Fen,between
0.61809813,X711_E.2.S,X713_E.3.M,0-9,0-9,2011,2013,Fen,Fen,between
0.57875015,X711_E.2.S,X714_E1_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.61006054,X711_E.2.S,X714_E1_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.42076167,X711_E.2.S,X714_E2_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.6128867,X711_E.2.S,X714_E2_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.45803289,X711_E.2.S,X715_E1_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.40891683,X711_E.2.S,X715_E2_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.56639735,X711_E.2.S,X715_E3_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.34855401,X711_E.2.S,X716_E1_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.64475655,X711_E.2.S,X716_E3_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.50563186,X711_E.2.S,X717_E2_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.52663732,X711_E.2.S,X717_E3_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.586225,X711_E.2.M,X711_E.3.S,0-9,0-9,2011,2011,Fen,Fen,within
0.46081235,X711_E.2.M,X711_E.3.M,0-9,0-9,2011,2011,Fen,Fen,within
0.48475849,X711_E.2.M,X712_E.1.M,0-9,0-9,2011,2012,Fen,Fen,between
