Date,Date__,DOY,ALD_palsa_135,WTD_palsa_135,ALD_bog_246,WTD_bog_246,ALD_fen_78,WTD_fen_78,ALD_tussok_9,WTD_tussok_9,ALD_bog_E,WTD_bog_E,ALD_bog_F,WTD_bog_F,staffgauge.m,ALD_palsa_center,WTD_palsa_center
6/18/2003,2003-06-18,169,-21,,,,,,,,-36,-5,,,,,
6/20/2003,2003-06-20,171,-25,,,,,,,,-35,-7,,,,,
6/22/2003,2003-06-22,173,-25,,,,,,,,-36,-6,,,,,
6/25/2003,2003-06-25,176,-25,,,,,,,,-37,-9,,,,,
6/27/2003,2003-06-27,178,-26,,,,,,,,-35,-11,,,,,
6/29/2003,2003-06-29,180,-29,0,-32,-20,-90,-4,,,-38,-12,,,,,
7/2/2003,2003-07-02,183,-26,0,-32,-20,-90,0,,,-42,-9,,,,,
7/4/2003,2003-07-04,185,-30,0,-34,-20,-105,0,,,-40,-12,,,,,
7/6/2003,2003-07-06,187,-30,0,-36,-20,-120,0,,,-43,-14,,,,,
7/9/2003,2003-07-09,190,-30,0,-37,-20,-120,1,,,-43,-6,,,,,
7/11/2003,2003-07-11,192,-30,0,-38,-20,>130,1,,,-43,-7,,,,,
7/13/2003,2003-07-13,194,-32,0,-39,-20,>130,1,,,-45,-10,,,,,
7/16/2003,2003-07-16,197,-33,0,-42,-17,>130,1,,,-45,-5,,,,,
7/20/2003,2003-07-20,201,-39,0,-42.5,-21,>130,-4,-44,-12,-47,-8,-42.5,-15,,,
7/25/2003,2003-07-25,206,-40,0,-43,-20,>130,-4,-102,-10,-49,-7,-44,-14,,,
7/27/2003,2003-07-27,208,-38,0,-44,-17,>130,-3,-116,-9,-53,-5,-46,-11,,,
8/1/2003,2003-08-01,213,-42,0,-47,-19,>130,-4,-115,-11,-55,-6,-49,-13,,,
8/6/2003,2003-08-06,218,-44,0,-50,-15,>130,-5,-115,-10,-83,-5,-50,-12,,,
8/8/2003,2003-08-08,220,-44,0,-52,-15,>130,-4,-115,-9,>130,-5,-52,-11,,,
8/10/2003,2003-08-10,222,-45,0,-51,-16,>130,-5,-115,-12,>130,-7,-52,-13,,,
8/14/2003,2003-08-14,226,-46,0,-52,-18,>130,-5,-120,-13,>130,-7,-53,-13,,,
8/16/2003,2003-08-16,228,-49,0,-54,-20,>130,-7,>130,-15,>130,-8,-53,-14,,,
8/20/2003,2003-08-20,232,-49,0,-56,-22,>130,-5,>130,-17,>130,-11,-55,-15,,,
8/24/2003,2003-08-24,236,-56,0,-57,-25,>130,-9,>130,-18,>130,-13,-55,-17,,,
8/27/2003,2003-08-27,239,-52,0,-58,-18,>130,-5,>130,-12,>130,-6,-58,-13,,,
8/31/2003,2003-08-31,243,-54,0,-58,-16,>130,-6,>130,-13,>130,-7,-59,-11,,,
6/5/2004,2004-06-05,157,-21,0,-25,-26,-21.5,-4.5,-27.5,-13,-26,-16.5,-27,-10,,,
6/7/2004,2004-06-07,159,-22,0,-25,-17.5,-20,-2.5,-27,-7.5,-32,-5,-27,-15,,,
6/9/2004,2004-06-09,161,-22,0,-24,-19.5,-20,-7,-27,-4,-32,-5,-28,-15,,,
6/11/2004,2004-06-11,163,-23,0,-24,-21.5,-23,-4,-28,-8,-31,-5,-28,-15,,,
6/14/2004,2004-06-14,166,-25,0,-26,-22,-24,-5,-30,-9.5,-31,-8,-30,-16,,,
6/16/2004,2004-06-16,168,-24,0,-28,-18.5,-26,-4,-30,-8,-31,-5,-34,-10,,,
6/22/2004,2004-06-22,174,-27,0,-30,-23,-28,-3,-30,-7,-31,-4,-31,-16,,,
