"Site__","Year__","Interval","Start_Date","End_Date","Sampling_Date","samplingdate_mean_AirTemperature","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","n_AirTemperature","median_AirTemperature","mean_AirTemperature","sd_AirTemperature","n_WTD","median_WTD","mean_WTD","sd_WTD","n_ALD","median_ALD","mean_ALD","sd_ALD"
"Eriophorum Autochamber Site",2011,"7d",2011-07-05,2011-07-12,2011-07-12,9.2,5.7,11.8,8,14.35,14.1,3.08127988249781,4,10,9.75,0.5,4,-130,-130,0
"Eriophorum Autochamber Site",2012,"7d",2012-07-13,2012-07-20,2012-07-20,8.6,6.3,11.7,8,10.35,10.425,1.64468842033985,5,15,13.7,3.63318042491699,5,-130,-130,0
"Eriophorum Autochamber Site",2013,"7d",2013-07-17,2013-07-24,2013-07-24,16.2,9.5,22.9,8,9.8,10.6125,2.61229920622756,6,10.75,11.9166666666667,3.27744819435284,0,NA,NA,NA
"Eriophorum Autochamber Site",2014,"7d",2014-07-10,2014-07-17,2014-07-17,13.2,10.9,15.6,8,18.65,18.1625,2.7861583895085,3,9,8.83333333333333,0.763762615825973,0,NA,NA,NA
"Eriophorum Autochamber Site",2015,"7d",2015-07-08,2015-07-15,2015-07-15,13.09,6.22,19.13,8,12.61,11.26375,2.81200963979246,4,10,10,0,0,NA,NA,NA
"Eriophorum Autochamber Site",2016,"7d",2016-07-16,2016-07-23,2016-07-23,18.52,12.7,25.84,8,10.695,12.62,4.23692610947404,3,10.5,13.1666666666667,5.05799696849784,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"7d",2017-07-17,2017-07-24,2017-07-24,13.58,6.88,19.4,8,9.97,10.57625,2.10596389536275,1,10,10,NA,0,NA,NA,NA
"Palsa Autochamber Site",2011,"7d",2011-07-05,2011-07-12,2011-07-12,9.2,5.7,11.8,8,14.35,14.1,3.08127988249781,0,NA,NA,NA,4,-33.75,-33.75,1.84842275106824
"Palsa Autochamber Site",2012,"7d",2012-07-13,2012-07-20,2012-07-20,8.6,6.3,11.7,8,10.35,10.425,1.64468842033985,0,NA,NA,NA,5,-35,-34.8,0.758287544405155
"Palsa Autochamber Site",2013,"7d",2013-07-18,2013-07-25,2013-07-25,16.2,9.1,22.2,8,9.85,11.4125,3.2339438549769,0,NA,NA,NA,6,-39,-39,1.09544511501033
"Palsa Autochamber Site",2014,"7d",2014-07-12,2014-07-19,2014-07-19,16.9,10.5,21.9,8,17.5,17.325,2.42472384289133,0,NA,NA,NA,2,-34.25,-34.25,3.18198051533946
"Palsa Autochamber Site",2015,"7d",2015-07-08,2015-07-15,2015-07-15,13.09,6.22,19.13,8,12.61,11.26375,2.81200963979246,0,NA,NA,NA,4,-31,-30.875,0.629152869605896
