hash,SampleID__,Month__,Year__,Date__,FieldSampling__,Habitat__,Site__,Core__,GPS__,image_url__,DepthCode__,DepthMin__,DepthMax__,DepthAvg__,metaG_ACE__,metaG_JGI_HiSeq__,metaG_JGI_NovaSeq__,FTIR__,EEMS__,ALD.cm__,WTD.cm_neg.is.below.sfc__,"T, air (C)","T, soil (C)",Weather Conditions on Day of Coring,O2 (%),pH (porewater),pH (peat),BulkDensity,percentWater_wt,CH4.mM__,CO2.mM__,CH4.percent,CO2.percent,d13C_CH4__,d13C_CO2__,dD_CH4__,dD_H2O,d18O_H2O,DOC.mM__,TN.mM__,Acetate.uM__,Propionate.uM__,Formate.uM__,Sulfate.uM__,Phosphate.uM__,Nitrate.uM__,Ammonia.uM__,C.percent__,N.percent__,d13C_peat__,d15N_peat__,pool.DOM,pool.dD_CH4,UpdateDate__.DepthInfo,UpdateDate__.Biogeochemistry,Notes__.DepthInfo,Notes__.Biogeochemistry,sample,temporal_sample_id,DepthCodeMod,WTD,ALD
19d13f8d-574b-439c-94de-4318f5c85a81,201107_E1_01-04,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,1,"N 68 21.2034, E 19 02.7998",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-1-jul11.JPG'],S,1,4,2.5,20110700_E1S,NA,711 E-1-S,X,X,Below Detection (>90),20,10.9,NA,"Overcast, drizzle, light breeze",NA,6,NA,NA,91.73113151,0.051595286,1.085063271,NA,NA,-52.2155,-16.0795,-353.369,-81.26418095,-10.04130434,0.996887492,0.044167521,NA,NA,NA,8.9,NA,1.45,2.250436009,44.73001239,1.870621255,-26.7282278,2.6230984,FALSE,FALSE,20200924,20200924,"Notes: negative water table depths denote surface water, depth to peat. No 3 cm temperatures- soil temps denote water temperature.  | Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E1_01-04,711_E-1-S,S,20,101
fe1cd940-7edd-4ee4-ba2c-78c8bef2369c,201107_E1_05-08,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,1,"N 68 21.2034, E 19 02.7998",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-1-jul11.JPG'],M,5,8,6.5,20110700_E1M,NA,711 E-1-M,X,NA,Below Detection (>90),20,10.9,NA,"Overcast, drizzle, light breeze",NA,5.7,NA,NA,92.26566021,0.156570094,1.413474274,NA,NA,-53.2615,-14.8285,-318.181,NA,NA,1.243896833,0.045167799,NA,NA,NA,2.9,NA,4.2,0.1162536,42.78508936,1.266344689,-25.931255,1.5646312,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E1_05-08,711_E-1-M,M,20,101
8aaea16f-c40c-4e71-a409-546de49ed489,201107_E1_21-24,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,1,"N 68 21.2034, E 19 02.7998",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-1-jul11.JPG'],D,21,24,22.5,20110700_E1D,NA,711 E-1-D,X,X,Below Detection (>90),20,10.9,NA,"Overcast, drizzle, light breeze",NA,5.6,NA,NA,93.49192404,0.248245273,1.748499008,NA,NA,-51.30291667,-13.9655,-340.982,-82.76468862,-10.61198179,1.39772301,0,NA,NA,NA,1.65,NA,5,0,43.35244025,1.198991943,-25.11704,1.5049432,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E1_21-24,711_E-1-D,X1,20,101
7d5821a1-5fff-4306-a2c4-359f5082c06a,201107_E2_01-04,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,2,"N 68 21.1993, E 19 02.7953",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-2-jul11.JPG'],S,1,4,2.5,20110700_E2S,NA,711 E-2-S,X,X,Below Detection (>90),7,11.6,NA,"Overcast, drizzle, light breeze",NA,5.8,NA,NA,87.5191294,0.060932489,1.21560422,NA,NA,-51.29048333,-13.98877134,-318.704,NA,NA,1.243403801,0,NA,NA,NA,3.25,NA,0.8,0.264346763,48.01652865,2.414018868,-27.8307707,4.5042652,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E2_01-04,711_E-2-S,S,7,101
e1d85bcc-badf-4399-a16b-6ceec50fda13,201107_E2_05-08,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,2,"N 68 21.1993, E 19 02.7953",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-2-jul11.JPG'],M,5,8,6.5,20110700_E2M,NA,711 E-2-M,X,X,Below Detection (>90),7,11.6,NA,"Overcast, drizzle, light breeze",NA,5.5,NA,NA,89.86674563,0.286548143,2.768928915,NA,NA,-51.32615,-11.258626,-314.308,-83.70798529,-10.80587462,1.42237464,0,NA,NA,NA,1.25,NA,2.4,0.486234238,47.00120909,1.607479127,-26.802944,1.1100076,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E2_05-08,711_E-2-M,M,7,101
0f9c738e-3ad2-461f-ae1b-6a03ecf14e1a,201107_E2_24-27,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,2,"N 68 21.1993, E 19 02.7953",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-2-jul11.JPG'],D,24,27,25.5,20110700_E2D,NA,711 E-2-D,X,NA,Below Detection (>90),7,11.6,NA,"Overcast, drizzle, light breeze",NA,5.6,NA,NA,92.41528763,0.461941423,3.48955779,NA,NA,-57.028,-8.341459337,-376.161,-82.83212716,-11.11940344,1.412020955,0.038073384,NA,NA,NA,1.25,NA,5.45,0,41.6082641,1.291334276,-24.4321415,0.3649024,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E2_24-27,711_E-2-D,X1,7,101
f8cb8217-c10f-405e-9dec-4ebac33ce55c,201107_E3_01-04,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,3,"N 68 21.1964, E 19 02.8028",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-3-jul11.JPG'],S,1,4,2.5,20110700_E3S,NA,711 E-3-S,X,X,Below Detection (>90),16,11,NA,"Overcast, drizzle, light breeze",NA,5.7,NA,NA,92.10100897,0.421490329,3.486538409,NA,NA,-52.86162857,-12.35379267,-354.0785,-84.35623832,-11.42330637,1.03978133,0,NA,NA,NA,1.65,NA,0,0.338342891,48.70265391,1.809623434,-27.3815156,3.3443284,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E3_01-04,711_E-3-S,S,16,101
63de5498-00f8-4969-bbcd-594a4e855497,201107_E3_05-08,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,3,"N 68 21.1964, E 19 02.8028",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-3-jul11.JPG'],M,5,8,6.5,20110700_E3M,NA,711 E-3-M,X,X,Below Detection (>90),16,11,NA,"Overcast, drizzle, light breeze",NA,5.6,NA,NA,93.37275466,0.403365032,3.598804802,NA,NA,-53.13137857,-12.73529267,-389.3215,-83.87300193,-10.87485289,1.061474765,0,NA,NA,NA,0.9,NA,0,0,42.79922115,1.405771888,-26.486837,2.9399422,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E3_05-08,711_E-3-M,M,16,101
f7c54f1f-2f86-47d6-9023-59c1d9ceb19f,201107_E3_21-24,7,2011,2011-07-12,2011-07,Fen,Eriophorum Autochamber Site,3,"N 68 21.1964, E 19 02.8028",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/E-3-jul11.JPG'],D,21,24,22.5,20110700_E3D,NA,711 E-3-D,X,X,Below Detection (>90),16,11,NA,"Overcast, drizzle, light breeze",NA,5.5,NA,NA,93.59652157,0.387695607,4.026489231,NA,NA,-51.54082143,-12.34845934,-346.178,NA,NA,1.196565702,0.048131823,NA,NA,NA,1.3,NA,1.95,0,42.23404591,0.714313339,-24.1907507,-0.0817628,FALSE,FALSE,20200924,20200924,"Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.","notes_Suzanne: NOT acidified for DOC.  | QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct.",201107_E3_21-24,711_E-3-D,X1,16,101
df1a6250-0adb-4554-b1e8-5b9a44e2ec5d,201107_P1_01-04,7,2011,2011-07-12,2011-07,Palsa,Palsa Autochamber Site,1,"N 68 21.2071, E 19 02.8278",['https://isogenie-db.asc.ohio-state.edu/images/raw/Tyler_Logan/core_pics_jul2011/P-1-jul11.JPG'],S,1,4,2.5,20110700_P1S,NA,711 P-1-S,NA,NA,36.5,NA,11.6,NA,"Overcast, drizzle, light breeze",NA,NA,4.1,NA,74.33575599,NA,NA,0,0.058843649,NA,-13.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.62239195,0.893366136,-26.4801317,0.2952664,NA,NA,20200924,20200924,"Notes: pore gas sample taken | Notes (additional): Forgot one set of 47 mm filter papers, so DOC samples were filtered at lab on July 12, ~16:00 from collected whole water samples. Eriophorum and sphagnum cores suffered a fair deal of compression, though difficult to quantify. Will likely need to use Wardenaar next time- will cause time constraint. Pore water sampling is quite time consumptive. Will not be able to 'suck' and core in the same day with only 2 ppl. If using Waardenaar. When collecting extra 1 cm section for bulk isotope/biogeochem samples, S and D was always 1 cm below microbial interval, M was always 1 cm above microbial interval. Bulk samples were refrigerated over night and split on the morning of the 13th. One should not use field styrofoam vial rack in -80 freezer if it has been a wet day. Instead one should dry the vials and transfer to new, dry cylinder rack. They freeze very tightly in place and make a mess of the foam when removing to tranfer into cryo-box.",NA,201107_P1_01-04,711_P-1-S,S,NA,36.5
