node_id,genome_id
1,20170700_S25_23
2,20111000_S1D_6
3,20170700_S25_26
4,20111000_S1D_3
5,20170700_S25_25
6,Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.142_89.72_0.85
7,20160700_E21_3
8,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.96_95.35_0.00
9,20140700_S32_12
294,20130700_P1Y_10
371,20160700_S15_2
11,20111000_S3M_6
12,20110700_S2D_6
13,20130700_S3M_8
14,3300037134_11
15,20120700_P2D_11
16,20130700_S3M_3
17,Bog.None.R2.T0.trimmomatic.megahit_bin.66_95.61_5.83
18,20120700_S1D_29
19,20110800_S3S_31
20,20110800_S3S_33
21,20160700_E23_6
22,20120700_S1D_19
23,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.11_87.40_5.27
24,Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29
25,20110800_S1D_14
26,20120700_S1D_13
27,PLNV01
28,3300036876_9
29,20120800_S3X_7
30,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.35_75.21_2.71
31,20110800_E2D_31
32,20160700_S23_5
33,20140700_S36_11
34,20120500_P28_11
35,3300037349_11
36,20160700_S23_8
37,20120700_S3X_22
38,20130700_S1Z_14
356,Bog.None.R2.T0.JGI.BFC.metaspades_bin.94_71.04_6.96
40,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.91_72.76_1.72
41,20110800_S1M_32
42,Bog.None.R3.T0.JGI.BFC.metaspades_bin.344_98.63_5.75
43,Bog.None.R3.T0.trimmomatic.megahit_bin.32_99.32_2.03
44,20110800_E3D_9
45,20150700_P24_5
46,Bog.None.R2.T0.JGI.BFC.metaspades_bin.58_85.62_4.48
47,20140700_S16_1
48,Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.16_87.66_1.12
49,3300037207_8
50,20111000_S2S_7
51,20111000_S2S_6
52,Bog.None.R1.T0.trimmomatic.megahit_bin.120_96.00_3.87
53,3300037138_9
54,PLPO01
310,20130700_C2X_13
361,Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.103_98.32_1.01
56,20120800_P1D_1
