node_id,genome_id
1,20120600_E3D_48
2,20120600_E3D_49
3,20120700_P3D_55
4,20120600_E3D_45
5,20120600_E3D_41
6,20130700_E2Y_3
7,20130700_E2Y_4
8,20120800_E2D_22
9,20130700_E2Y_17
10,20130700_E2Y_10
11,PMJT01
12,20120800_E3S_10
13,20120800_E3S_15
14,20120800_E3S_17
15,20120800_E3S_18
16,20120800_E1X_21
17,PMKW01
18,PLNV01
19,20110800_E2D_35
20,20110800_E2D_32
21,20110800_E2D_31
22,3300037049_8
23,PLLC01
24,PLNU01
25,3300037104_22
26,20130700_E1Y_5
27,20130700_E1Y_1
28,20130700_E1Y_3
29,3300037132_9
30,PMCP01
31,20110800_E3D_9
32,20110800_E3D_4
33,20110800_E3D_5
34,20110700_S2D_6
35,20110800_E3D_1
36,20120600_E2D_41
243,Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.16_87.66_1.12
38,Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38
39,3300036913_19
40,20120600_E3D_17
41,PLPO01
42,PMBT01
43,3300038458_11
44,20110800_E1S_2
45,20150700_E34_11
46,20110800_E1S_5
47,20120700_P3D_100
48,20120700_P3D_102
49,20120800_E2X_5
50,20120700_P3D_108
51,Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00
52,3300037090_15
53,Fen.Unlabelled.R1.T3.F4.trimmomatic.megahit_bin.27_72.03_1.57
54,PLNE01
55,20110800_E3D_36
56,20110800_E3D_35
57,20110800_E3D_38
58,20170700_S35_19
59,20120700_E1D_7
60,20130700_E3Z_8
61,20120500_P38_6
62,PMDB01
63,20120800_E3X_29
64,20120800_E3X_27
65,20120800_E3X_22
66,20120800_E3X_23
67,20120800_E1X_14
68,20120800_E1X_12
69,PMNG01
70,3300037360_7
71,20111000_P2D_4
188,20130700_C1D_3
73,Fen.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.38_73.55_6.79
74,20110800_E1D_1
75,20110800_E1D_2
76,20110800_E1D_3
77,20110800_E1D_5
78,20110800_E1D_6
79,PMBG01
80,3300037076_10
81,PLGY01
82,20140700_E22_1
83,3300037105_13
84,3300024238_3
85,20110800_S1D_5
86,20120600_E2D_39
87,PMDM01
88,20170700_S34_24
89,20120600_E2D_19
90,PMYM01
91,20120600_E2D_15
92,20120600_E2D_11
93,20140700_E14_11
94,PMDX01
95,20120800_E1D_8
96,PMCR01
97,20160700_E25_15
98,20120800_E1D_7
99,20160700_E25_11
100,20110800_E1D_22
101,3300038461_4
102,20110700_S2D_21
103,20130700_C2M_17
104,PMMQ01
105,20160700_S14_9
106,20120600_E1D_51
107,20120600_E1D_53
108,20120600_E1D_52
109,20120600_E1D_55
110,PLND01
111,20120700_P3D_7
112,20140700_E15_7
113,20150700_E35_2
114,20140700_E15_2
115,20140700_E15_1
116,3300037225_17
117,3300037225_15
118,20120800_E1X_6
327,20140700_S12_11
120,20120500_P26_12
121,20100900_E3D_12
122,Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10
341,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92
124,Fen.Unlabelled.R1.T2.F4.trimmomatic.metaspades_bin.48_89.46_5.98
125,3300037365_14
126,20130700_E3Z_10
127,20120700_S1D_114
128,PMCB01
129,20170700_S25_38
130,20110800_E2D_26
131,20110800_E2D_20
132,20110800_E2D_22
133,20110800_E2D_9
134,20110800_E2D_5
135,20110800_E2D_6
136,20110800_E2D_3
137,20150700_E14_13
138,PNBO01
139,20120800_E3D_2
140,20120800_E3D_5
141,20120800_E3D_4
142,20120800_E3D_7
143,20160700_E25_27
144,20160700_E33_2
145,20120800_E3S_6
146,3300037076_20
147,PMJR01
148,PMAZ01
149,20120700_P3D_84
150,20120600_E1D_19
151,20120600_E3D_38
288,20120600_E1D_17
153,20120600_E3D_36
154,20120600_E1D_13
155,20120600_E2D_27
156,20120600_E2D_24
157,20120600_E2D_21
158,20110800_E3D_40
159,20170700_S25_9
160,20170700_S25_8
161,20100900_E1D_4
162,20100900_E1D_8
163,20100900_E1D_9
164,3300036929_5
165,PLLE01
166,20120800_E1D_12
167,PLNS01
168,20120800_E1D_15
169,20120800_E1D_14
170,20120800_E1D_19
171,20120800_E1D_18
172,PLMQ01
173,20110700_E1D_5
152,20120600_E3D_37
175,20120800_E3X_14
176,20150700_E34_4
177,20140700_E14_2
178,20140700_E14_1
174,PMDS01
179,20110700_P2D_21
180,20130700_C2X_3
181,20110800_E2S_4
182,20110800_E2S_1
183,PMMV01
184,PMGM01
185,3300037091_10
186,20130700_C1D_6
187,20130700_C1D_5
72,20130700_C1X_17
189,20170700_S34_13
190,20100900_E1D_13
191,20100900_E1D_10
192,20130700_C2D_3
193,20120700_E2D_6
194,20120700_S1X_2
195,PMBR01
196,20130700_C1X_6
197,3300037239_6
198,20130700_C1X_8
199,20120500_P19_10
200,PLWQ01
201,PMZK01
202,20120600_E2D_16
203,20100900_E2D_7
204,20120600_E1D_42
205,20120600_E1D_41
206,20120600_E1D_48
207,20120600_E3D_8
208,PMDY01
209,20120600_E3D_3
210,20120600_E3D_2
211,20120600_E1D_6
212,20110800_E3D_18
213,20110800_E3D_19
214,20110800_E3D_15
215,20110800_E3D_16
216,20110800_E3D_17
217,20110800_E3D_10
218,20110800_E3D_11
219,20110800_E3D_13
220,3300037089_15
221,20160700_E13_6
222,20110800_E3D_3
223,20110800_E2S_11
224,20110800_E2S_12
225,PMBW01
226,20130700_C2M_3
227,20120800_E2X_14
228,20120800_E2X_16
229,20120800_E2X_13
230,PMEE01
231,20111000_E3D_9
232,20130700_C1D_19
233,20130700_C1D_18
234,20130700_C1D_16
235,20111000_E3D_3
236,20111000_E3D_5
237,20111000_E3D_7
238,20130700_C1D_10
239,20110800_E2D_18
240,3300037049_16
241,20110800_E2D_12
242,20110800_E2D_15
37,20120600_E2D_49
244,20120800_E3X_6
245,20100900_E3S_1
246,20120800_E3X_3
247,20120800_E2D_3
248,20130700_E1Y_16
249,20130700_C1M_6
250,20140700_E15_15
251,20140700_E15_14
252,20140700_E15_11
253,20140700_E15_18
254,3300038461_13
255,3300038461_16
256,20140700_S11_11
257,20120800_S3X_7
258,Fen.Unlabelled.R3.T3.F4.trimmomatic.metaspades_bin.1_78.97_1.10
259,20120800_E2X_6
260,20120600_E3D_29
261,20120800_E2X_3
262,20120600_E3D_20
263,20120600_E3D_27
264,20120600_E3D_25
265,20170700_S34_41
266,20120600_E2D_33
267,20120600_E2D_38
268,20130700_C2Y_6
269,20120600_E2D_1
270,20120600_E2D_2
271,20130700_C2X_11
272,20130700_C2X_13
273,20120600_E2D_8
274,20120600_E2D_9
275,PMBY01
276,20120700_P3D_20
277,20120600_E3D_50
278,20120800_E2D_10
279,3300036884_7
280,20120800_E2D_18
281,20150700_S15_12
282,3300038473_8
283,3300038475_6
284,PMXQ01
285,20170700_S24_14
286,PLTW01
287,3300037355_2
289,20120700_E3X_7
290,20140700_E22_12
291,20110600_S1D_11
292,PMZX01
293,3300037104_19
294,3300037085_4
295,3300036884_16
329,PMBS01
297,20120700_E2X_1
298,3300037224_12
299,3300037198_12
300,20130700_E2X_2
301,20120500_P26_1
302,PMBV01
303,20130700_E3X_9
304,20130700_E2M_4
305,20120700_P3D_61
306,20130700_E2M_2
307,20120600_E3D_13
308,20120600_E1D_32
309,20120600_E1D_31
310,20120600_E1D_30
311,20120600_E1D_37
312,20120600_E1D_38
313,20130700_E3Z_1
314,PMBI01
315,20130700_E3Z_5
316,3300038476_2
317,20110800_E3D_28
318,20110800_E3D_20
319,20110800_E3D_22
320,20110800_E3D_26
321,20130700_E3M_6
322,20120700_P3D_12
323,20120800_E2X_21
324,PMCJ01
325,20130700_E1Z_4
326,20130700_E1X_5
119,PMBA01
328,3300036886_10
296,3300036884_17
330,20130700_C2X_5
331,PMBF01
332,20120700_S1X_15
333,3300038519_6
334,3300037062_11
335,20110800_E3S_2
336,20170700_E15_8
337,20170700_E15_6
338,PMCS01
339,PMBM01
340,PMKN01
123,PLMA01
342,20150700_E25_9
343,20110800_E3M_6
344,20110800_E3M_4
345,20110800_E3M_2
346,PMEC01
347,PMCN01
348,3300037132_13
349,20130700_E1M_4
350,PMZI01
351,PLLP01
